,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,SD_unscaled,SD_monthly,isPartial,scale,SD,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-10-05,2,0.014605442176870747,0.8718395815170008,SD,18.020000457763672,21.5,15.75,21.100000381469727,21.100000381469727,1156300,89,77.0,,0.77,68.53,,
1,2016-10-10,12,0.08263265306122448,4.657661853749418,SD,21.0,22.450000762939453,20.40999984741211,21.56999969482422,21.56999969482422,667300,88,77.0,,0.77,67.76,0.9500007629394531,0.04418608199718377
2,2016-10-27,2,0.014605442176870747,0.8718395815170008,SD,24.299999237060547,25.0,22.75,23.280000686645508,23.280000686645508,218500,82,77.0,,0.77,63.14,2.549999237060547,0.11358570825841996
3,2016-11-29,2,0.014605442176870747,0.8718395815170008,SD,23.100000381469727,23.100000381469727,21.520000457763672,21.8799991607666,21.8799991607666,182100,90,80.0,,0.8,72.0,-1.8999996185302734,-0.07599998474121095
4,2017-01-17,1,0.007802721088435374,0.0,SD,22.1299991607666,22.1299991607666,21.40999984741211,21.520000457763672,21.520000457763672,39500,89,80.0,,0.8,71.2,-0.970001220703125,-0.04199139414219388
5,2017-01-20,1,0.007802721088435374,0.0,SD,22.290000915527344,22.290000915527344,21.5,21.549999237060547,21.549999237060547,80300,85,80.0,,0.8,68.0,0.1600017547607422,0.0072300840862391524
6,2017-02-22,1,0.007802721088435374,0.0,SD,20.299999237060547,20.36000061035156,19.959999084472656,20.01000022888184,20.01000022888184,88100,87,76.0,,0.76,66.12,-1.9300003051757848,-0.0865859231002245
7,2017-02-23,1,0.007802721088435374,0.0,SD,20.26000022888184,20.63999938964844,19.290000915527344,19.670000076293945,19.670000076293945,268300,92,76.0,,0.76,69.92,0.2799987792968821,0.013752395427460096
8,2017-03-01,7,0.04861904761904762,5.231037489102005,SD,18.899999618530277,19.46999931335449,18.832000732421875,19.15999984741211,19.15999984741211,128200,89,80.0,False,0.8,71.2,-1.1700000762939524,-0.05668605188432041
9,2017-03-10,1,0.007802721088435374,0.0,SD,18.0,18.1299991607666,17.479999542236328,17.68000030517578,17.68000030517578,140100,87,80.0,,0.8,69.60000000000001,-1.340000152587887,-0.0688238417999727
10,2017-03-24,1,0.007802721088435374,0.0,SD,17.34000015258789,17.399999618530273,17.010000228881836,17.25,17.25,106600,97,80.0,,0.8,77.60000000000001,-0.7299995422363281,-0.04026473116535223
11,2017-03-30,1,0.007802721088435374,-0.6355258976803304,SD,18.489999771118164,18.68000030517578,18.26000022888184,18.299999237060547,18.299999237060547,88100,91,80.0,,0.8,72.8,1.2800006866455078,0.07356325946595765
12,2017-04-20,1,0.007802721088435374,0.0,SD,18.75,18.940000534057617,18.5,18.700000762939453,18.700000762939453,80900,92,78.0,,0.78,71.76,0.26000022888183594,0.01391864157570688
13,2017-06-05,2,0.014605442176870747,0.8718395815170008,SD,19.420000076293945,19.68000030517578,18.90999984741211,19.190000534057617,19.190000534057617,139100,92,91.0,,0.91,83.72,0.7399997711181641,0.03907073654974336
14,2017-06-12,1,0.007802721088435374,-0.46576618537494174,SD,19.26000022888184,19.84000015258789,18.59000015258789,18.71999931335449,18.71999931335449,220000,93,91.0,,0.91,84.63000000000001,0.15999984741210938,0.008130073421291018
15,2017-06-20,18,0.12344897959183673,14.821272885789016,SD,16.969999313354492,17.229999542236328,16.606000900268555,16.950000762939453,16.950000762939453,225300,92,91.0,,0.91,83.72,-2.6100006103515625,-0.13155244910676678
16,2017-06-26,3,0.02140816326530612,-0.8265829062654985,SD,15.739999771118164,16.520000457763672,15.630000114440918,16.110000610351562,16.110000610351562,376700,96,91.0,,0.91,87.36,-0.7099990844726562,-0.04120714470898379
17,2017-06-27,2,0.014605442176870747,-0.3177629488401653,SD,16.239999771118164,16.540000915527344,16.20400047302246,16.290000915527344,16.290000915527344,292200,94,91.0,,0.91,85.54,0.020000457763671875,0.001210681429144378
18,2017-06-28,1,0.007802721088435374,-0.46576618537494174,SD,16.270000457763672,16.84000015258789,16.15999984741211,16.760000228881836,16.760000228881836,233900,95,91.0,,0.91,86.45,0.2999992370605469,0.018137800511178526
19,2017-06-29,1,0.007802721088435374,0.0,SD,16.729999542236328,17.350000381469727,16.65999984741211,17.209999084472656,17.209999084472656,190500,93,91.0,,0.91,84.63000000000001,0.5100002288818359,0.03028504894659756
20,2017-06-30,4,0.028210884353741496,2.615518744551003,SD,17.290000915527344,17.43000030517578,16.90999984741211,17.209999084472656,17.209999084472656,174600,97,91.0,,0.91,88.27,0.07999992370605469,0.004610946509920444
21,2017-07-03,5,0.035013605442176875,3.487358326068004,SD,17.25,17.920000076293945,17.25,17.530000686645508,17.530000686645508,119000,93,92.0,,0.92,85.56,0.48999977111816406,0.028112436175497857
22,2017-07-05,6,0.04181632653061224,-0.9269492673535599,SD,17.450000762939453,17.520000457763672,16.739999771118164,17.3700008392334,17.3700008392334,387600,95,92.0,,0.92,87.4,-0.39999961853027344,-0.022321407189022646
23,2017-07-06,5,0.035013605442176875,-0.16268098259313468,SD,17.3700008392334,17.969999313354492,17.239999771118164,17.600000381469727,17.600000381469727,151400,91,92.0,,0.92,83.72,0.4499988555908203,0.02568486551559479
