,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,NEW_unscaled,NEW_monthly,isPartial,scale,NEW,Stock_Price_Change,Stock_Price_Change_Percent
0,2018-06-15,5,0.03188803088803089,0.09988014382740706,NEW,170.0,221.8000030517578,170.0,210.0,210.0,420250,94,86.0,,0.86,80.84,,
1,2018-06-18,31,0.056984555984555985,0.22899492047630932,NEW,236.3999938964844,293.5,215.5,288.0,288.0,291080,95,86.0,,0.86,81.7,71.69999694824219,0.3232641837769079
2,2018-06-19,8,0.03478378378378379,-0.3895927908394877,NEW,301.79998779296875,350.0,280.3999938964844,300.0,300.0,383240,94,86.0,,0.86,80.84,56.5,0.19250425894378198
3,2018-06-20,8,0.03478378378378379,0.0,NEW,325.0,327.0,250.0,261.1000061035156,261.1000061035156,246150,93,86.0,,0.86,79.98,-23.0,-0.06571428571428573
4,2018-06-21,3,0.02995752895752896,-0.13875013875013875,NEW,250.6999969482422,259.3999938964844,212.6000061035156,213.6000061035156,213.6000061035156,166100,95,86.0,,0.86,81.7,-67.60000610351562,-0.20672784741136274
5,2018-06-22,6,0.03285328185328185,0.09666194097177461,NEW,233.0,233.0,187.5,187.5,187.5,169890,90,86.0,,0.86,77.4,-26.399993896484375,-0.10177330191850165
6,2018-06-25,2,0.028992277992277993,-0.2103270585760858,NEW,182.3999938964844,207.3999938964844,182.0,204.3000030517578,204.3000030517578,147470,94,86.0,,0.86,80.84,-25.600006103515597,-0.10987127083053905
7,2018-06-26,2,0.028992277992277993,0.0,NEW,215.8000030517578,228.7899932861328,212.3000030517578,226.1999969482422,226.1999969482422,110970,95,86.0,,0.86,81.7,21.38999938964841,0.10313404059367715
8,2018-06-27,182,0.20273745173745175,5.992808629644427,NEW,235.0,237.0,206.91000366210935,208.1999969482422,208.1999969482422,128640,96,86.0,,0.86,82.56,8.210006713867188,0.03588446590668615
9,2018-06-28,1,0.02802702702702703,-0.8617570321278257,NEW,209.3999938964844,215.0,201.6000061035156,212.3000030517578,212.3000030517578,37180,97,86.0,,0.86,83.42,-22.0,-0.09282700421940926
10,2018-06-29,1,0.02802702702702703,0.0,NEW,220.6000061035156,220.6999969482422,210.2899932861328,214.0,214.0,27160,100,86.0,,0.86,86.0,5.6999969482421875,0.026511613712754345
11,2018-07-05,2,0.028992277992277993,-0.2854695974878675,NEW,198.0,200.0,189.8000030517578,190.1000061035156,190.1000061035156,47470,88,86.0,,0.86,75.67999999999999,-20.699996948242188,-0.09379246594686941
12,2018-07-06,5,0.03188803088803089,0.09988014382740706,NEW,187.0,194.8000030517578,187.0,190.3999938964844,190.3999938964844,20260,86,86.0,,0.86,73.96,-5.1999969482421875,-0.025999984741210902
13,2018-07-09,-5,0.022235521235521236,-0.2066400330624053,NEW,192.3999938964844,194.3999938964844,188.8999938964844,189.6000061035156,189.6000061035156,21350,88,86.0,,0.86,75.67999999999999,-0.4000091552734091,-0.002053435056503239
14,2018-07-12,6,0.03285328185328185,0.47751345719743,NEW,190.5,209.6999969482422,190.5,202.3000030517578,202.3000030517578,56700,87,86.0,,0.86,74.82,15.300003051757784,0.07870372187308217
15,2018-07-19,1,0.02802702702702703,-0.1469032788811846,NEW,191.8999938964844,194.0,188.8000030517578,190.8000030517578,190.8000030517578,14120,88,86.0,,0.86,75.67999999999999,-15.699996948242188,-0.07486884681317962
16,2018-07-25,1,0.02802702702702703,0.0,NEW,192.5,199.3000030517578,192.5,198.5,198.5,12710,86,86.0,,0.86,73.96,5.3000030517578125,0.027319603359576394
17,2018-07-27,1,0.02802702702702703,0.0,NEW,189.0,190.6999969482422,186.5,189.3000030517578,189.3000030517578,11870,95,86.0,,0.86,81.7,-8.600006103515625,-0.043151058564119604
18,2018-08-01,0,0.027061776061776063,-0.03444000551040094,NEW,167.1999969482422,174.60000610351562,163.83999633789062,170.0,170.0,11840,98,86.0,False,0.86,84.28,-16.099990844726562,-0.08442575302765343
19,2018-08-02,2,0.028992277992277993,0.07133685261806244,NEW,169.39999389648438,169.39999389648438,158.60000610351562,164.3000030517578,164.3000030517578,16430,96,86.0,,0.86,82.56,-5.20001220703125,-0.029782428552426854
20,2018-08-06,1,0.02802702702702703,-0.03329338127580228,NEW,160.3000030517578,161.6999969482422,157.0,158.0,158.0,6130,99,86.0,,0.86,85.14,-7.6999969482421875,-0.04545452907718195
21,2018-08-07,2,0.028992277992277993,0.03444000551040083,NEW,157.39999389648438,164.3000030517578,156.50999450683594,162.39999389648438,162.39999389648438,4970,97,86.0,,0.86,83.42,2.600006103515625,0.01607919698568616
22,2018-08-08,2,0.028992277992277993,0.0,NEW,162.39999389648438,167.0,157.1999969482422,157.60000610351562,157.60000610351562,6640,96,86.0,,0.86,82.56,2.6999969482421875,0.016433334741884575
23,2018-08-14,2,0.028992277992277993,0.0,NEW,151.60000610351562,152.10000610351562,146.60000610351562,146.6999969482422,146.6999969482422,10720,97,86.0,,0.86,83.42,-14.899993896484375,-0.08922152033822983
24,2018-08-15,10,0.03671428571428571,0.2663470502064189,NEW,143.6999969482422,146.60000610351562,138.5,138.60000610351562,138.60000610351562,14110,91,86.0,,0.86,78.26,-5.5,-0.036160419324749005
25,2018-08-17,1,0.02802702702702703,-0.2366179408980964,NEW,141.89999389648438,148.1999969482422,138.6999969482422,141.5,141.5,6340,98,86.0,,0.86,84.28,1.5999908447265625,0.010913988936649854
26,2018-08-21,3,0.02995752895752896,-0.0605400169512047,NEW,144.10000610351562,146.0,126.4000015258789,130.0,130.0,77980,91,86.0,,0.86,78.26,-2.1999969482421875,-0.014844784032016722
27,2018-08-22,4,0.030922779922779923,0.03222064699059146,NEW,130.5,161.5,130.5,159.0,159.0,62330,91,86.0,,0.86,78.26,15.5,0.10616438356164393
28,2018-08-24,8,0.03478378378378379,0.12485953302534658,NEW,143.0,145.64999389648438,142.5800018310547,145.0,145.0,14800,91,86.0,,0.86,78.26,-15.850006103515625,-0.09814245265334753
29,2018-08-28,11,0.03767953667953668,0.08325008325008332,NEW,139.0,141.60000610351562,137.8000030517578,140.0,140.0,12090,89,86.0,,0.86,76.53999999999999,-4.04998779296875,-0.027806302524441828
30,2018-08-29,7,0.033818532818532816,-0.10246951531919268,NEW,139.5,140.25999450683594,131.5,132.0,132.0,14410,92,86.0,,0.86,79.12,-1.3400115966796875,-0.009463358325705773
31,2018-09-04,3,0.02995752895752896,-0.11416828405069057,NEW,129.5,129.5,124.5999984741211,124.8000030517578,124.8000030517578,5280,91,90.0,,0.9,81.9,-10.759994506835938,-0.07671463659091704
32,2018-09-05,1,0.02802702702702703,-0.06444129398118315,NEW,125.0999984741211,125.5999984741211,122.0,122.0999984741211,122.0999984741211,8920,87,90.0,,0.9,78.3,-3.9000015258789062,-0.030115841898678775
33,2018-09-10,1,0.02802702702702703,0.0,NEW,118.4000015258789,118.4000015258789,109.83000183105467,110.1999969482422,110.1999969482422,9970,88,90.0,,0.9,79.2,-7.1999969482421875,-0.057324817163319386
34,2018-09-12,1,0.02802702702702703,0.0,NEW,102.6999969482422,106.7699966430664,99.4000015258789,102.0,102.0,19060,97,90.0,,0.9,87.3,-11.6300048828125,-0.0982263913254301
35,2018-09-13,8,0.03478378378378379,0.24108003857280624,NEW,97.4000015258789,106.8000030517578,97.4000015258789,99.9000015258789,99.9000015258789,31130,96,90.0,,0.9,86.4,0.03000640869139204,0.00028103783492383627
36,2018-09-14,48,0.07339382239382239,1.1100011100011096,NEW,100.0,100.5,97.0,97.5,97.5,11250,100,90.0,,0.9,90.0,-6.300003051757798,-0.05898879093387921
37,2018-09-17,4,0.030922779922779923,0.10332001653120249,NEW,97.6999969482422,97.6999969482422,90.3000030517578,90.3000030517578,90.3000030517578,9800,90,90.0,,0.9,81.0,-2.8000030517577983,-0.027860726883162212
38,2018-09-19,1,0.02802702702702703,-0.09364464976900977,NEW,82.80000305175781,84.0,75.30000305175781,75.30000305175781,75.30000305175781,19960,87,90.0,,0.9,78.3,-13.699996948242202,-0.14022515226382193
39,2018-09-20,1,0.02802702702702703,0.0,NEW,75.0,88.30000305175781,74.2699966430664,83.0999984741211,83.0999984741211,28910,86,90.0,,0.9,77.4,4.3000030517578125,0.051190512520926434
40,2018-09-24,2,0.028992277992277993,0.03444000551040083,NEW,89.30000305175781,96.4000015258789,89.0,93.5999984741211,93.5999984741211,9820,93,90.0,,0.9,83.7,8.099998474121094,0.09173270888080509
41,2018-09-25,2,0.028992277992277993,0.0,NEW,94.1999969482422,95.04000091552734,84.5,85.9000015258789,85.9000015258789,9640,88,90.0,,0.9,79.2,-1.3600006103515625,-0.014107889925566663
42,2018-09-26,1,0.02802702702702703,-0.03329338127580228,NEW,86.69999694824219,87.7699966430664,80.5,82.5,82.5,12360,88,90.0,,0.9,79.2,-7.2700042724609375,-0.07649415196157883
43,2018-09-27,2,0.028992277992277993,0.03444000551040083,NEW,82.80000305175781,93.8000030517578,82.30000305175781,87.19999694824219,87.19999694824219,14990,86,90.0,,0.9,77.4,6.030006408691392,0.06870236572086896
44,2018-10-03,1,0.02802702702702703,-0.03329338127580228,NEW,89.19999694824219,92.69000244140624,88.0,90.0,90.0,3030,92,84.0,,0.84,77.28,-1.1100006103515625,-0.011833694821300589
45,2018-10-05,1,0.02802702702702703,0.0,NEW,91.0,91.9000015258789,88.5,90.9000015258789,90.9000015258789,6480,94,84.0,,0.84,78.96,-0.7900009155273295,-0.00852304342128729
46,2018-10-10,273,0.29057528957528955,9.367681498829038,NEW,87.0,89.9000015258789,80.0,80.0,80.0,6710,100,84.0,,0.84,84.0,-2.0,-0.02176278527521902
47,2018-10-11,1,0.02802702702702703,-0.903546419697312,NEW,80.0,83.69999694824219,70.5999984741211,71.5,71.5,6760,91,84.0,,0.84,76.44,-6.200004577636719,-0.06896556699002909
48,2018-10-12,3,0.02995752895752896,0.06888001102080166,NEW,79.69999694824219,83.9000015258789,73.5,77.4000015258789,77.4000015258789,20070,94,84.0,,0.84,78.96,0.20000457763671875,0.00238954103857858
49,2018-10-17,1,0.02802702702702703,-0.06444129398118315,NEW,84.80000305175781,87.19999694824219,80.0,84.30000305175781,84.30000305175781,5900,86,84.0,,0.84,72.24,3.2999954223632812,0.0393324834606279
50,2018-10-19,1,0.02802702702702703,0.0,NEW,86.4000015258789,91.0,81.5,91.0,91.0,16890,88,84.0,,0.84,73.92,3.8000030517578125,0.04357801817370843
51,2018-10-22,-11,0.016444015444015445,-0.4132800661248106,NEW,89.5,93.4000015258789,87.5,92.5,92.5,18050,91,84.0,,0.84,76.44,2.4000015258789062,0.02637364314152646
52,2018-10-24,1,0.02802702702702703,0.7043907020427331,NEW,88.0,90.6999969482422,84.5,85.5,85.5,17810,92,84.0,,0.84,77.28,-2.7000045776367045,-0.028907971451034742
53,2018-11-07,1,0.02802702702702703,-0.03329338127580228,NEW,72.80000305175781,76.9000015258789,69.9000015258789,71.4000015258789,71.4000015258789,9890,100,82.0,,0.82,82.0,-13.799995422363295,-0.15214989952246905
54,2018-11-09,1,0.02802702702702703,0.0,NEW,70.30000305175781,70.9000015258789,66.69999694824219,69.9000015258789,69.9000015258789,6360,86,82.0,,0.82,70.52,-6.0,-0.07802340547393671
55,2018-11-19,2,0.028992277992277993,0.03444000551040083,NEW,60.09999847412109,60.09999847412109,55.09999847412109,55.5,55.5,5260,88,82.0,,0.82,72.16,-10.80000305175782,-0.15232726120345363
56,2018-11-20,7,0.033818532818532816,0.16646690637901185,NEW,53.400001525878906,55.900001525878906,50.59999847412109,52.0,52.0,6400,83,82.0,,0.82,68.06,-4.19999694824218,-0.06988347845051424
57,2018-12-04,15,0.041540540540540544,0.432813956585431,NEW,60.0,62.5,55.0,57.59999847412109,57.59999847412109,4310,36,96.0,,0.96,34.56,6.599998474121094,0.11806794801366194
58,2018-12-07,-18,0.009687258687258688,-0.7667998884654708,NEW,57.09999847412109,60.0,55.59999847412109,57.0,57.0,3310,37,96.0,,0.96,35.52,-2.5,-0.040000000000000036
59,2018-12-10,0,0.027061776061776063,1.7935432443204462,NEW,56.70000076293945,59.0,56.70000076293945,57.5,57.5,5120,36,96.0,,0.96,34.56,-1.0,-0.01666666666666672
60,2018-12-13,10,0.03671428571428571,0.3566842630903124,NEW,66.80000305175781,72.0,64.0,65.80000305175781,65.80000305175781,13690,36,96.0,,0.96,34.56,13.0,0.22033898305084754
