,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,CO_unscaled,CO_monthly,isPartial,scale,CO,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-12,3,0.14926021180030258,0.020690868085370573,CO,6.150000095367432,6.230000019073486,6.150000095367432,6.210000038146973,6.086085319519043,150000,94,93.0,,0.93,87.42,,
1,2016-05-20,1,0.14623449319213314,-0.020271434508063013,CO,6.050000190734863,6.059999942779541,6.050000190734863,6.059999942779541,5.939077854156494,4900,93,93.0,,0.93,86.49000000000001,-0.1700000762939453,-0.027287331584828323
2,2016-06-09,1,0.14623449319213314,0.0,CO,5.929999828338623,5.989999771118164,5.929999828338623,5.980000019073486,5.860674381256104,7800,92,100.0,,1.0,92.0,-0.07000017166137695,-0.011551183551541389
3,2016-06-14,1,0.14623449319213314,0.0,CO,5.75,6.050000190734863,5.75,5.929999828338623,5.811671733856201,117500,94,100.0,,1.0,94.0,0.06000041961669922,0.010016764926436439
4,2016-06-28,3,0.14926021180030258,0.020690868085370573,CO,5.679999828338623,5.78000020980835,5.679999828338623,5.75,5.635263919830322,8500,100,100.0,,1.0,100.0,-0.26999998092651367,-0.04462809461394712
5,2016-07-01,1,0.14623449319213314,-0.020271434508063013,CO,5.760000228881836,5.840000152587891,5.71999979019165,5.829999923706055,5.713667392730713,11300,90,99.0,False,0.99,89.1,0.059999942779541016,0.010380612560830782
6,2016-07-11,2,0.14774735249621784,0.010345434042685175,CO,5.429999828338623,5.460000038146973,5.360000133514404,5.420000076293945,5.311848640441895,23600,100,99.0,,0.99,99.0,-0.38000011444091797,-0.06506851104661837
7,2016-07-14,12,0.16287594553706505,0.1023950195062513,CO,5.480000019073486,5.480000019073486,5.409999847412109,5.460000038146973,5.35105037689209,15600,91,99.0,,0.99,90.09,0.019999980926513672,0.003663000144099149
8,2016-07-20,1,0.14623449319213314,-0.1021725601657053,CO,5.570000171661377,5.590000152587891,5.5,5.53000020980835,5.41965389251709,18100,95,99.0,,0.99,94.05,0.1100001335144043,0.020073016994806903
9,2016-07-21,5,0.15228593040847202,0.041381736170741146,CO,5.590000152587891,5.650000095367432,5.53000020980835,5.559999942779541,5.449055194854736,8200,92,99.0,,0.99,91.08,0.059999942779541016,0.010733442064713383
