,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,NOW_unscaled,NOW_monthly,isPartial,scale,NOW,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-04,1,0.06230268199233716,0.0,NOW,69.4800033569336,69.83000183105469,67.5199966430664,67.61000061035156,67.61000061035156,1703400,79,67.0,,0.67,52.93,,
1,2016-05-05,2,0.06357982120051085,0.020498944304368383,NOW,68.06999969482422,68.62999725341797,67.2699966430664,67.79000091552734,67.79000091552734,1510400,75,67.0,,0.67,50.25,-1.2000045776367188,-0.017184656253339203
2,2016-05-12,1,0.06230268199233716,-0.0200871783540566,NOW,69.29000091552734,69.58000183105469,67.19999694824219,67.47000122070312,67.47000122070312,1687600,80,67.0,,0.67,53.6,0.9500045776367188,0.0138424102528929
3,2016-05-13,1,0.06230268199233716,0.0,NOW,67.26000213623047,68.37999725341797,66.83999633789062,67.44000244140625,67.44000244140625,1477000,82,67.0,,0.67,54.940000000000005,-1.2000045776367188,-0.017246400489474234
4,2016-05-18,1,0.06230268199233716,-0.0200871783540566,NOW,69.58999633789062,71.05000305175781,69.2300033569336,70.02999877929688,70.02999877929688,1006500,77,67.0,,0.67,51.59,2.6700057983398438,0.03904659119018006
5,2016-05-25,12,0.07635121328224777,2.7878096686308056,NOW,71.3499984741211,71.5,70.62999725341797,70.76000213623047,70.76000213623047,1116000,86,67.0,,0.67,57.620000000000005,0.4499969482421875,0.00633352468562709
6,2016-05-27,18,0.08401404853128991,0.1003629794423162,NOW,69.91000366210938,70.88999938964844,68.91000366210938,70.7300033569336,70.7300033569336,1349700,83,67.0,,0.67,55.61000000000001,-0.6100006103515625,-0.008531477067854065
7,2016-06-02,1,0.06230268199233716,-0.25842542906221977,NOW,72.79000091552734,74.26000213623047,72.51000213623047,74.2300033569336,74.2300033569336,1184700,62,75.0,,0.75,46.5,3.3700027465820312,0.04753847898994512
8,2016-06-09,4,0.06613409961685823,0.061496832913104926,NOW,76.43000030517578,77.26000213623047,75.4000015258789,75.55999755859375,75.55999755859375,856000,80,75.0,,0.75,60.0,3.0,0.04039859835307413
9,2016-06-14,3,0.06485696040868455,0.040997888608736766,NOW,72.51000213623047,73.5199966430664,72.19000244140625,72.9800033569336,72.9800033569336,934800,75,75.0,,0.75,56.25,-3.7400054931640625,-0.04840804283915778
10,2016-06-16,16,0.08145977011494253,0.25599117815016825,NOW,73.80999755859375,73.95999908447266,72.68000030517578,73.68000030517578,73.68000030517578,776900,75,75.0,,0.75,56.25,0.44000244140625,0.005984799530696749
11,2016-06-20,1,0.06230268199233716,-0.23517238135553364,NOW,73.16999816894531,73.62999725341797,72.5,72.5999984741211,72.5999984741211,1109200,97,75.0,,0.75,72.75,-0.3300018310546875,-0.004461896094370976
12,2016-06-22,1,0.06230268199233716,0.0,NOW,72.47000122070312,72.62000274658203,71.80000305175781,71.91999816894531,71.91999816894531,751500,73,75.0,,0.75,54.75,-1.0099945068359375,-0.013717160729475042
