,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,DE_unscaled,DE_monthly,isPartial,scale,DE,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-03,9,0.007686478454680535,0.16956816640289385,DE,83.55000305175781,83.8499984741211,82.52999877929688,83.4000015258789,75.10851287841797,1957400,61,87.0,,0.87,53.07,,
1,2016-05-06,1,0.006200594353640416,-0.19331142470520013,DE,80.73999786376953,81.69999694824219,80.58999633789062,81.44999694824219,73.35236358642578,1258800,69,87.0,,0.87,60.03,-2.1500015258789062,-0.025641044305355187
2,2016-05-11,1,0.006200594353640416,0.0,DE,83.6500015258789,84.94999694824219,83.0199966430664,83.9000015258789,75.55880737304688,3344400,55,87.0,,0.87,47.85,3.25,0.03977968324844494
3,2016-05-19,1,0.006200594353640416,0.0,DE,82.18000030517578,83.33999633789062,81.68000030517578,82.25,74.07283782958984,5062000,57,87.0,,0.87,49.59,-1.6100006103515625,-0.018952332762677937
4,2016-05-20,2,0.006386329866270431,0.029954469206805667,DE,80.80000305175781,80.94999694824219,77.5,77.73999786376953,70.01122283935547,12350200,54,87.0,,0.87,46.98,-2.3899993896484375,-0.028677699720054073
5,2016-05-31,4,0.006757800891530461,0.05816658911121464,DE,82.0999984741211,83.12000274658203,81.86000061035156,82.29000091552734,74.10888671875,6380000,55,87.0,,0.87,47.85,2.1700057983398438,0.02680674342368783
6,2016-06-20,10,0.00787221396731055,0.16490765171503963,DE,86.76000213623047,86.98999786376953,85.45999908447266,85.58999633789062,77.08080291748047,3069700,85,76.0,,0.76,64.6,3.8699951171875,0.0465591312477025
7,2016-06-24,4,0.006757800891530461,-0.14156285390713486,DE,81.58000183105469,83.16000366210938,81.4000015258789,81.72000122070312,73.59552764892578,4897600,88,76.0,,0.76,66.88,-3.8299942016601562,-0.04402798362701543
8,2016-06-29,8,0.00750074294205052,0.10993843447669294,DE,82.02999877929688,82.27999877929688,80.55000305175781,81.51000213623047,73.95710754394531,2821400,93,76.0,,0.76,70.68,-0.8800048828125,-0.010582068831888058
9,2016-07-19,1,0.006200594353640416,0.17615558060879377,DE,82.81999969482422,83.31999969482422,82.47000122070312,83.26000213623047,75.54495239257812,2487600,91,79.0,,0.79,71.89,1.0400009155273438,0.012639777964958299
10,2016-07-20,1,0.006200594353640416,0.0,DE,83.04000091552734,83.45999908447266,82.75,82.80999755859375,75.13663482666016,2297600,92,79.0,,0.79,72.68,0.1399993896484375,0.0016802615237783147
11,2016-07-27,1,0.006200594353640416,0.0,DE,79.36000061035156,79.5,78.38999938964844,78.44999694824219,71.1806411743164,2496500,82,79.0,,0.79,64.78,-3.9599990844726562,-0.04744786877441265
12,2016-08-05,1,0.006200594353640416,0.0,DE,78.06999969482422,78.83000183105469,77.70999908447266,78.33999633789062,71.08084869384766,2460100,89,77.0,,0.77,68.53,-0.6699981689453125,-0.008427649923840375
13,2016-08-31,2,0.006386329866270431,0.029954469206805667,DE,85.48999786376953,85.48999786376953,83.91999816894531,84.55000305175781,76.71542358398438,4440300,88,77.0,,0.77,67.76,6.659996032714844,0.08448554963868049
14,2016-09-01,23,0.010286775631500742,0.6107491856677523,DE,84.5,84.81999969482422,83.37999725341797,83.55000305175781,75.80809020996094,2996600,92,76.0,False,0.76,69.92,-0.6699981689453125,-0.007837152715958307
15,2016-09-02,1,0.006200594353640416,-0.3972266358515094,DE,83.94999694824219,84.19000244140625,83.73999786376953,84.05000305175781,76.26176452636719,2071200,91,76.0,,0.76,69.16,-0.6299972534179688,-0.007427461161101712
16,2016-09-27,2,0.006386329866270431,0.029954469206805667,DE,83.22000122070312,83.55000305175781,82.80000305175781,83.05000305175781,75.35442352294922,2797900,93,76.0,,0.76,70.68,-0.6399993896484375,-0.007601845481520875
