,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,DIS_unscaled,DIS_monthly,isPartial,scale,DIS,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-03,1,0.0017062146892655367,0.0,DIS,103.87999725341795,103.98999786376952,103.19000244140624,103.77999877929688,97.91053009033205,6243300,53,47.0,,0.47,24.91,,
1,2016-05-06,2,0.0024124293785310735,0.4139072847682119,DIS,104.51000213623048,105.73999786376952,104.38999938964844,105.54000091552734,99.57099151611328,7407500,53,47.0,,0.47,24.91,1.75,0.016828541551588083
2,2016-05-09,5,0.004531073446327683,0.8782201405152223,DIS,106.01000213623048,106.68000030517578,104.97000122070312,105.33999633789062,99.3823013305664,8130300,62,47.0,,0.47,29.14,0.9400024414062642,0.008889752793614702
3,2016-05-10,20,0.015124293785310734,2.337905236907731,DIS,105.52999877929688,106.75,105.4499969482422,106.5999984741211,100.571044921875,15177200,100,47.0,,0.47,47.0,0.06999969482421875,0.0006561651164602722
4,2016-05-11,4,0.003824858757062147,-0.7471049682480388,DIS,101.45999908447266,102.5,100.62000274658205,102.29000091552734,96.50480651855467,27068100,92,47.0,,0.47,43.24,-4.25,-0.03981264637002346
5,2016-05-12,3,0.00311864406779661,-0.18463810930576074,DIS,102.5,102.8499984741211,101.12999725341795,101.70999908447266,95.95759582519533,11251700,66,47.0,,0.47,31.02,0.34999847412109375,0.003414619259717977
6,2016-05-13,3,0.00311864406779661,0.0,DIS,101.70999908447266,102.04000091552734,100.36000061035156,100.5199966430664,94.83489990234376,9570200,59,47.0,,0.47,27.73,-0.80999755859375,-0.007875523292278475
7,2016-05-16,2,0.0024124293785310735,-0.22644927536231885,DIS,100.41000366210938,100.66999816894533,99.37000274658205,100.36000061035156,94.68395233154295,9113000,52,47.0,,0.47,24.44,-1.370002746582017,-0.013426134205115847
8,2016-05-18,2,0.0024124293785310735,0.0,DIS,99.58999633789062,99.7699966430664,98.36000061035156,99.0,93.40087127685548,9323100,50,47.0,,0.47,23.5,-0.9000015258789205,-0.008940116640992923
9,2016-05-19,1,0.0017062146892655367,-0.2927400468384075,DIS,98.58000183105467,98.61000061035156,97.51000213623048,98.41000366210938,92.84425354003906,7063500,57,47.0,,0.47,26.79,-1.1599960327148438,-0.011626702132353506
10,2016-05-20,2,0.0024124293785310735,0.4139072847682119,DIS,99.0,99.93000030517578,98.7699966430664,99.77999877929688,94.13675689697266,7297000,53,47.0,,0.47,24.91,1.3199996948242188,0.013386063144245064
11,2016-05-25,1,0.0017062146892655367,-0.2927400468384075,DIS,99.91999816894533,100.8000030517578,99.80999755859376,99.86000061035156,94.21224212646484,5667300,62,47.0,,0.47,29.14,0.870002746582017,0.008706121724458393
12,2016-05-27,5,0.004531073446327683,1.6556291390728473,DIS,99.80999755859376,100.52999877929688,99.80999755859376,100.29000091552734,94.61791229248048,4589100,49,47.0,,0.47,23.03,-0.2700042724609233,-0.002678613733000379
13,2016-06-01,1,0.0017062146892655367,0.0,DIS,98.66999816894533,98.98999786376952,97.7300033569336,98.5199966430664,92.9480209350586,7243900,79,38.0,False,0.38,30.02,-1.540000915527358,-0.015318819598399425
14,2016-06-10,3,0.00311864406779661,0.8278145695364238,DIS,97.1500015258789,97.70999908447266,96.77999877929688,97.33999633789062,91.83477020263672,7204400,92,38.0,,0.38,34.96,-1.2799987792968608,-0.012930586997874305
15,2016-06-15,4,0.003824858757062147,0.585480093676815,DIS,98.19000244140624,99.0,98.19000244140624,98.2699966430664,92.712158203125,6663200,91,38.0,,0.38,34.58,1.2900009155273438,0.01320234292922362
16,2016-06-20,1,0.0017062146892655367,0.7062146892655368,DIS,100.08000183105467,100.95999908447266,99.5,99.56999969482422,93.93862915039062,8268600,73,38.0,,0.38,27.74,1.9599990844726562,0.019797970550228916
17,2016-06-21,1,0.0017062146892655367,0.0,DIS,99.7300033569336,99.79000091552734,98.7699966430664,98.81999969482422,93.2310562133789,5202500,77,38.0,,0.38,29.26,-1.1699981689453125,-0.011588729987669466
18,2016-06-30,2,0.0024124293785310735,0.4139072847682119,DIS,97.0999984741211,98.06999969482422,96.87999725341795,97.81999969482422,92.28761291503906,7189500,89,38.0,,0.38,33.82,-1.720001220703125,-0.01723620808621007
19,2016-07-06,1,0.0017062146892655367,-0.2927400468384075,DIS,97.0,98.5199966430664,96.76000213623048,98.4499969482422,92.88197326660156,6223300,91,34.0,,0.34,30.94,0.4499969482421875,0.0045885280885336055
20,2016-07-11,3,0.00311864406779661,0.8278145695364238,DIS,99.8000030517578,100.3499984741211,99.4000015258789,99.9800033569336,95.01065063476562,5428000,88,34.0,,0.34,29.92,1.8300018310546875,0.018574927866519264
21,2016-07-20,4,0.003824858757062147,1.2417218543046356,DIS,98.6500015258789,98.69000244140624,97.13999938964844,98.22000122070312,93.33811950683594,10664900,96,34.0,,0.34,32.64,-1.659996032714858,-0.016542063357808057
22,2016-07-21,1,0.0017062146892655367,-0.5539143279172821,DIS,98.16999816894533,99.12999725341795,97.62000274658205,98.01000213623048,93.13856506347656,6726600,83,34.0,,0.34,28.22,0.43999481201171875,0.004458352428078571
