,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,CPA_unscaled,CPA_monthly,isPartial,scale,CPA,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-18,10,0.01409662398137369,0.2282178719951311,CPA,53.77999877929688,55.02000045776367,52.970001220703125,53.54999923706055,47.77325820922852,364800,87,74.0,,0.74,64.38,,
1,2016-05-19,1,0.011477299185098953,-0.1858122057973407,CPA,53.18000030517578,54.33000183105469,52.79999923706055,53.65999984741211,47.87139892578125,378000,84,74.0,,0.74,62.16,-0.6899986267089844,-0.012540869156092871
2,2016-06-02,4,0.012350407450523865,0.049460876446730806,CPA,50.68000030517578,52.709999084472656,50.560001373291016,51.83000183105469,46.67975997924805,353800,78,72.0,,0.72,56.16,-1.6200027465820312,-0.029817829780672822
3,2016-06-03,2,0.011768335273573922,-0.04712979545668783,CPA,52.0099983215332,53.13999938964844,51.84000015258789,52.0099983215332,46.84186935424805,430700,74,72.0,,0.72,53.28,0.43000030517578125,0.008157850742639194
4,2016-06-21,-21,0.005074505238649592,-0.5688000791374023,CPA,53.04999923706055,54.380001068115234,52.380001068115234,54.16999816894531,48.787235260009766,334900,99,72.0,,0.72,71.28,1.2400016784667969,0.02333461973483475
5,2016-07-21,162,0.058334109429569264,10.49552649690296,CPA,66.41000366210938,67.62000274658203,65.72000122070312,66.0999984741211,59.53177261352539,446200,89,65.0,,0.65,57.85,13.240001678466797,0.2434718907394402
6,2016-07-22,15,0.015551804423748546,-0.7334011854157936,CPA,66.48999786376953,67.45999908447266,66.41000366210938,67.19999694824219,60.5224609375,198600,73,65.0,,0.65,47.45,-0.160003662109375,-0.0023662179179290144
7,2016-07-29,2,0.011768335273573922,-0.14756724850324654,CPA,67.41000366210938,68.2300033569336,65.66999816894531,67.0,60.34234237670898,439000,85,65.0,,0.65,55.25,0.7700042724609375,0.01141423484896209
8,2016-08-08,1,0.011477299185098953,-0.02473043822336507,CPA,74.88999938964844,77.97000122070312,74.83999633789062,76.47000122070312,68.87133026123047,741600,73,73.0,,0.73,53.29,9.739997863769531,0.1427524165991374
9,2016-08-15,18,0.016424912689173458,0.4310782026574702,CPA,82.08000183105469,83.45999908447266,81.5,82.75,74.52729034423828,434700,67,73.0,,0.73,48.91,5.489997863769531,0.07041166830598677
10,2016-08-16,5,0.012641443538998837,-0.23034942235452538,CPA,83.5,85.16999816894531,82.62999725341797,83.44999694824219,75.15775299072266,685800,74,73.0,,0.73,54.02,1.7099990844726562,0.02048884619255631
11,2016-08-17,1,0.011477299185098953,-0.09208951100469653,CPA,82.58000183105469,84.4800033569336,81.25,83.73999786376953,75.41891479492188,964700,69,73.0,,0.73,50.37,-0.6899948120117188,-0.008101383431323161
12,2016-08-18,1,0.011477299185098953,0.0,CPA,84.08999633789062,85.30000305175781,83.30999755859375,84.25,75.87825012207031,526400,68,73.0,,0.73,49.64,0.8199996948242188,0.009706435395837598
13,2016-08-24,3,0.012059371362048894,0.050715082665584665,CPA,81.77999877929688,82.11000061035156,80.0199966430664,81.77999877929688,73.65369415283203,355100,81,73.0,,0.73,59.13,-3.19000244140625,-0.03739744815097645
14,2016-09-08,14,0.015260768335273574,0.26546963992663386,CPA,80.88999938964844,85.97000122070312,80.52999877929688,85.69999694824219,77.68243408203125,921200,92,70.0,,0.7,64.39999999999999,3.8600006103515625,0.047010115475080605
15,2016-09-14,16,0.015842840512223517,0.03814173468609372,CPA,87.01000213623047,89.05999755859375,87.01000213623047,87.68000030517578,79.4771957397461,658400,89,70.0,,0.7,62.3,3.089996337890625,0.035942727626093074
16,2016-09-15,3,0.012059371362048894,-0.23881255051803962,CPA,88.87000274658203,89.7300033569336,87.73999786376953,89.19999694824219,80.8550033569336,576200,85,70.0,,0.7,59.49999999999999,0.6700057983398438,0.007523083502209094
17,2016-10-03,5,0.012641443538998837,-0.7843682360650529,CPA,87.81999969482422,89.20999908447266,86.52999877929688,87.0,78.86082458496094,486600,93,66.0,,0.66,61.38,-0.5200042724609375,-0.005795210665405115
