,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,III_unscaled,III_monthly,isPartial,scale,III,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-11,1,0.04793760732684602,-0.0233244311754347,III,4.099999904632568,4.139999866485596,4.039999961853027,4.050000190734863,3.450380325317383,20100,96,93.0,,0.93,89.28,,
1,2016-05-12,3,0.049082427017744706,0.023881452469939335,III,4.059999942779541,4.099999904632568,4.03000020980835,4.050000190734863,3.450380325317383,20400,96,93.0,,0.93,89.28,-0.039999961853027344,-0.009661826846140142
2,2016-05-20,1,0.04793760732684602,-0.0233244311754347,III,3.849999904632568,3.940000057220459,3.819999933242798,3.890000104904175,3.3140687942504883,26800,92,93.0,,0.93,85.56,-0.15999984741210938,-0.03902435393506387
3,2016-05-26,0,0.047365197481396684,-0.011940726234969556,III,3.829999923706055,3.880000114440918,3.7899999618530273,3.809999942779541,3.245913028717041,23300,91,93.0,,0.93,84.63000000000001,-0.059999942779541016,-0.015228411651818319
4,2016-06-01,1,0.04793760732684602,0.012085030273000674,III,3.740000009536743,3.829999923706055,3.700000047683716,3.829999923706055,3.2629520893096924,53700,50,88.0,False,0.88,44.0,-0.05000019073486284,-0.0128866467165214
5,2016-06-03,2,0.04851001717229536,0.011940726234969556,III,3.7699999809265137,3.799999952316284,3.7200000286102295,3.740000009536743,3.186276912689209,88600,52,88.0,,0.88,45.76,-0.029999971389770952,-0.00783289085832195
6,2016-06-06,15,0.05595134516313681,0.15339776039269837,III,3.7799999713897705,3.799999952316284,3.7100000381469727,3.7300000190734863,3.177757501602173,22000,50,88.0,,0.88,44.0,0.0,0.0
7,2016-06-07,7,0.051372066399542074,-0.08184394405966422,III,3.700000047683716,3.859999895095825,3.619999885559082,3.75,3.194796323776245,58200,52,88.0,,0.88,45.76,0.059999942779541016,0.015789458824326585
8,2016-06-14,1,0.04793760732684602,-0.0117998277225152,III,3.849999904632568,3.849999904632568,3.7100000381469727,3.759999990463257,3.203315734863281,18900,51,88.0,,0.88,44.88,-0.00999999046325728,-0.002590671174878101
9,2016-06-15,3,0.049082427017744706,0.023881452469939335,III,3.759999990463257,3.759999990463257,3.690000057220459,3.7300000190734863,3.177757501602173,21000,49,88.0,,0.88,43.12,-0.08999991416931108,-0.02337660166199418
