,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,AN_unscaled,AN_monthly,isPartial,scale,AN,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-25,9,0.002218501730272457,0.18173793389931725,AN,48.08000183105469,49.72999954223633,48.08000183105469,49.52000045776367,49.52000045776367,1022800,89,68.0,,0.68,60.52,,
1,2016-05-31,7,0.0021210215918506603,-0.04393962695256726,AN,50.619998931884766,51.040000915527344,50.13999938964844,50.43999862670898,50.43999862670898,1647600,83,68.0,,0.68,56.440000000000005,1.3100013732910156,0.02634227599737682
2,2016-06-06,0,0.0017798411073743725,-0.1608566767010593,AN,48.34000015258789,49.16999816894531,48.22999954223633,49.06999969482422,49.06999969482422,973500,98,61.0,,0.61,59.78,-1.8700027465820312,-0.03663798418963471
3,2016-06-07,-2,0.001682360968952576,-0.05476901169318393,AN,49.04999923706055,50.59999847412109,48.77999877929688,50.29999923706055,50.29999923706055,1203700,95,61.0,,0.61,57.95,1.4300003051757741,0.029082781338782615
4,2016-06-10,12,0.002364721937905152,0.4055972419387548,AN,49.09999847412109,49.380001068115234,47.5,47.630001068115234,47.630001068115234,1333100,91,61.0,,0.61,55.51,-1.2199974060058523,-0.024110621399125343
5,2016-06-21,4,0.0019748013842179656,-0.16489065688315452,AN,48.9900016784668,49.11000061035156,47.790000915527344,47.88999938964844,47.88999938964844,1350600,96,61.0,,0.61,58.56,-0.2700004577636719,-0.005467809880992713
6,2016-07-14,6,0.0020722815226397622,0.04936199619912629,AN,51.04999923706055,51.5,50.790000915527344,50.790000915527344,50.790000915527344,952700,96,56.0,,0.56,53.760000000000005,2.3899993896484375,0.04866624638454331
7,2016-07-20,0,0.0017798411073743725,-0.14112002257920364,AN,51.02999877929688,51.52999877929688,50.75,51.27999877929688,51.27999877929688,1246600,98,56.0,,0.56,54.88,0.029998779296882105,0.0005825005688715468
8,2016-07-21,12,0.002364721937905152,0.32861407015910404,AN,51.5099983215332,52.72999954223633,51.2599983215332,51.630001068115234,51.630001068115234,1532300,98,56.0,,0.56,54.88,1.200000762939446,0.02328742075230883
9,2016-08-02,1,0.0018285811765852708,-0.22672465321433732,AN,51.81999969482422,52.060001373291016,48.72999954223633,48.7400016784668,48.7400016784668,2312800,81,59.0,,0.59,47.79,-0.6699981689453125,-0.01270620471765127
10,2016-08-18,2,0.001877321245796169,0.02665458325559067,AN,48.2400016784668,48.84000015258789,47.7400016784668,48.77000045776367,48.77000045776367,1060300,83,59.0,,0.59,48.97,-3.220001220703125,-0.06185173138230304
11,2016-09-30,1,0.0018285811765852708,-0.02596256198561664,AN,47.5099983215332,48.93999862670898,47.290000915527344,48.709999084472656,48.709999084472656,956200,88,71.0,,0.71,62.48,0.09999847412108664,0.002047470798703266
12,2016-10-17,2,0.001877321245796169,0.02665458325559067,AN,48.34000015258789,48.560001373291016,47.900001525878906,47.91999816894531,47.91999816894531,419000,93,71.0,,0.71,66.03,-0.37999725341796164,-0.0077645538226595034
13,2016-10-20,4,0.0019748013842179656,0.0519251239712335,AN,47.630001068115234,47.90999984741211,46.72999954223633,46.84999847412109,46.84999847412109,993700,96,71.0,,0.71,68.16,-0.6500015258789062,-0.013385533515170356
14,2016-10-26,1,0.0018285811765852708,-0.07404299429868944,AN,45.619998931884766,46.880001068115234,45.41999816894531,46.70000076293945,46.70000076293945,933400,96,71.0,,0.71,68.16,-1.029998779296875,-0.021498617878883408
15,2016-11-15,4,0.0019748013842179656,0.07996374976677245,AN,46.29999923706055,46.68000030517578,44.33000183105469,44.72999954223633,44.72999954223633,969500,100,70.0,,0.7,70.0,-0.20000076293945312,-0.00426622778119945
16,2016-11-16,1,0.0018285811765852708,-0.07404299429868944,AN,44.70000076293945,44.70000076293945,43.970001220703125,44.02999877929688,44.02999877929688,996700,94,70.0,,0.7,65.8,-1.9799995422363281,-0.042416442358437334
17,2016-11-28,1,0.0018285811765852708,0.0,AN,44.790000915527344,44.91999816894531,43.97999954223633,44.63999938964844,44.63999938964844,684900,87,70.0,,0.7,60.9,0.21999740600585938,0.004921642108522306
18,2016-12-01,3,0.0019260613150070675,0.05330916651118156,AN,44.95000076293945,47.119998931884766,44.880001068115234,46.34000015258789,46.34000015258789,1276300,100,65.0,False,0.65,65.0,2.200000762939453,0.04897597623813765
19,2016-12-08,2,0.001877321245796169,-0.025305564693676286,AN,48.54999923706055,49.93999862670898,48.369998931884766,49.880001068115234,49.880001068115234,1518800,95,65.0,,0.65,61.75,2.8199996948242116,0.05984719352181478
20,2016-12-23,1,0.0018285811765852708,-0.02596256198561664,AN,48.79999923706055,49.47999954223633,48.79999923706055,48.9900016784668,48.9900016784668,487600,62,65.0,,0.65,40.3,-0.45999908447264914,-0.009211035184663263
21,2016-12-28,1,0.0018285811765852708,0.0,AN,49.56999969482422,49.900001525878906,48.20000076293945,48.400001525878906,48.400001525878906,614600,69,65.0,,0.65,44.85,0.4200019836425781,0.00848831826047336
22,2017-01-20,1,0.0018285811765852708,0.0,AN,51.66999816894531,52.0,51.43000030517578,51.68999862670898,51.68999862670898,701400,85,70.0,,0.7,59.49999999999999,2.0999984741210938,0.04208413647105802
23,2017-01-25,1,0.0018285811765852708,0.0,AN,53.47999954223633,53.7400016784668,52.43000030517578,52.959999084472656,52.959999084472656,1907300,96,70.0,,0.7,67.19999999999999,1.7400016784667969,0.033461570739746094
24,2017-02-02,2,0.001877321245796169,0.02665458325559067,AN,52.22999954223633,52.560001373291016,51.720001220703125,51.77000045776367,51.77000045776367,1240800,94,76.0,,0.76,71.44,-1.1800003051757812,-0.02195757849498914
25,2017-02-03,2,0.001877321245796169,0.0,AN,51.43999862670898,51.650001525878906,49.650001525878906,49.77000045776367,49.77000045776367,2287900,88,76.0,,0.76,66.88,-0.9099998474121094,-0.017313543067647985
26,2017-02-09,16,0.002559682214748745,0.3634758677986345,AN,47.650001525878906,48.0099983215332,47.290000915527344,47.34999847412109,47.34999847412109,1028100,93,76.0,,0.76,70.68,-3.640003204345703,-0.07047440652101244
27,2017-02-21,3,0.0019260613150070675,0.05330916651118156,AN,48.02000045776367,48.75,47.75,48.27000045776367,48.27000045776367,859700,92,76.0,,0.76,69.92,0.7400016784667969,0.015413491029740323
28,2017-02-24,5,0.002023541453428864,0.05061112938735235,AN,46.52999877929688,47.20000076293945,45.9900016784668,46.83000183105469,46.83000183105469,835900,89,76.0,,0.76,67.64,-1.5499992370605469,-0.031794856144831685
29,2017-03-13,15,0.002510942145537847,0.37316416557827115,AN,44.75,44.90999984741211,44.34000015258789,44.83000183105469,44.83000183105469,733100,89,73.0,,0.73,64.97,-2.2900009155273438,-0.0485169677650813
30,2017-03-15,6,0.0020722815226397622,-0.17469961371974307,AN,44.97999954223633,45.72999954223633,44.470001220703125,45.380001068115234,45.380001068115234,797300,91,73.0,,0.73,66.42999999999999,0.8199996948242188,0.018258732968387426
31,2017-03-27,1,0.0018285811765852708,-0.11760001881600302,AN,41.54999923706055,42.47999954223633,41.54999923706055,42.27999877929688,42.27999877929688,754500,93,73.0,,0.73,67.89,-3.25,-0.07106932063269089
32,2017-03-28,11,0.0023159818686942536,0.266545832555908,AN,42.27999877929688,43.18000030517578,42.209999084472656,43.060001373291016,43.060001373291016,702600,97,73.0,,0.73,70.81,0.7000007629394531,0.016478360887068
33,2017-03-29,1,0.0018285811765852708,-0.2104509964854684,AN,43.02000045776367,43.810001373291016,43.0,43.41999816894531,43.41999816894531,852700,92,73.0,,0.73,67.16,0.6300010681152344,0.014590112636931218
34,2017-03-30,6,0.0020722815226397622,0.133272916277954,AN,43.34999847412109,43.77000045776367,43.310001373291016,43.4900016784668,43.4900016784668,555600,93,73.0,,0.73,67.89,-0.04000091552734375,-0.0009130544230416815
35,2017-04-05,48,0.00411936442949749,0.9878401580544254,AN,40.47999954223633,41.0,39.560001373291016,39.65999984741211,39.65999984741211,1531200,94,73.0,,0.73,68.62,-2.770000457763672,-0.06328536506268978
36,2017-04-07,1,0.0018285811765852708,-0.5561011394157389,AN,40.13999938964844,40.369998931884766,39.959999084472656,40.13999938964844,40.13999938964844,893600,88,73.0,,0.73,64.24,-0.6300010681152344,-0.015365879710127706
37,2017-04-19,0,0.0017798411073743725,-0.02665458325559078,AN,41.720001220703125,43.68999862670898,41.70000076293945,43.29999923706055,43.29999923706055,3580000,93,73.0,,0.73,67.89,3.3199996948242116,0.0822392812153887
