,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,BOOM_unscaled,BOOM_monthly,isPartial,scale,BOOM,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-06,1,0.002597444089456869,0.0,BOOM,9.960000038146973,10.630000114440918,9.890000343322754,10.09000015258789,9.849250793457031,81200,91,76.0,,0.76,69.16,,
1,2016-06-01,1,0.002597444089456869,-0.38080731150038083,BOOM,10.460000038146973,10.75,10.149999618530272,10.59000015258789,10.337322235107422,69400,83,79.0,False,0.79,65.57000000000001,0.11999988555908203,0.011288794380732048
2,2016-06-13,1,0.002597444089456869,0.0,BOOM,9.720000267028809,10.0600004196167,9.479999542236328,10.0,9.76140022277832,148800,73,79.0,,0.79,57.67,-0.6899995803833008,-0.06418600747751635
3,2016-06-20,1,0.002597444089456869,0.0,BOOM,10.100000381469728,10.1899995803833,10.029999732971191,10.029999732971191,9.790682792663574,48800,72,79.0,,0.79,56.88,0.12999916076660156,0.0129223812469339
4,2016-07-14,89,0.14317252396166133,54.12054120541205,BOOM,12.380000114440918,12.380000114440918,11.90999984741211,12.09000015258789,11.825617790222168,109700,44,81.0,,0.81,35.64,2.190000534057617,0.21491664614722583
5,2016-07-15,1,0.002597444089456869,-0.9818579430076094,BOOM,12.199999809265137,12.300000190734863,11.770000457763672,12.199999809265137,11.933210372924805,47600,47,81.0,,0.81,38.07,-0.07999992370605469,-0.006462029318783036
6,2016-07-18,1,0.002597444089456869,0.0,BOOM,12.229999542236328,12.34000015258789,12.06999969482422,12.31999969482422,12.050586700439451,34300,57,81.0,,0.81,46.17,0.039999961853027344,0.003252029368516318
7,2016-07-25,1,0.002597444089456869,0.0,BOOM,10.34000015258789,10.34000015258789,9.9399995803833,10.029999732971191,9.810664176940918,86500,40,81.0,,0.81,32.400000000000006,-2.0,-0.16207455229087409
8,2016-08-17,1,0.002597444089456869,0.0,BOOM,11.880000114440918,11.880000114440918,11.68000030517578,11.779999732971191,11.522396087646484,36800,83,64.0,,0.64,53.120000000000005,1.5399999618530273,0.14893616432564527
9,2016-09-15,1,0.002597444089456869,0.0,BOOM,9.970000267028809,10.369999885559082,9.970000267028809,10.34000015258789,10.113885879516602,20800,81,67.0,,0.67,54.27,-1.510000228881836,-0.12710439514611893
