,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,USD_unscaled,USD_monthly,isPartial,scale,USD,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,1,0.0018335814230425723,-0.031451486082717306,USD,3.1162500381469727,3.194582939147949,3.1162500381469727,3.194582939147949,3.102949380874634,148800,91,56.0,,0.56,50.96000000000001,,
1,2016-05-03,13,0.0025480797856504912,0.38967364831953244,USD,3.141249895095825,3.1479170322418213,3.102916955947876,3.134166955947876,3.0442662239074707,115200,95,56.0,,0.56,53.2,-0.04666590690612793,-0.014607824493852228
2,2016-05-04,1,0.0018335814230425723,-0.28040658955485454,USD,3.0808329582214355,3.1329169273376465,3.046250104904175,3.078749895095825,2.99043869972229,432000,95,56.0,,0.56,53.2,-0.015000104904174805,-0.004765089025708047
3,2016-05-05,4,0.002012206013694552,0.09741841207988311,USD,3.076667070388794,3.112916946411133,3.072082996368408,3.0829169750213623,2.9944865703582764,108000,91,56.0,,0.56,50.96000000000001,-0.019999980926513672,-0.0063838210174023136
4,2016-05-09,5,0.0020717475439118787,0.09435445824815236,USD,3.077500104904175,3.1191670894622803,3.063333034515381,3.063333034515381,2.9754638671875,300000,97,56.0,,0.56,54.32000000000001,0.006250143051147461,0.002007809125249338
5,2016-05-10,4,0.002012206013694552,-0.02873976145998003,USD,3.060832977294922,3.166249990463257,3.060832977294922,3.165416955947876,3.074619770050049,302400,93,56.0,,0.56,52.080000000000005,0.04708290100097656,0.015094703057120684
6,2016-05-12,1,0.0018335814230425723,-0.0887705281846426,USD,3.122499942779541,3.122499942779541,3.0133330821990967,3.045833110809326,2.958466053009033,69600,96,56.0,,0.56,53.760000000000005,-0.04375004768371582,-0.013817622681560504
7,2016-05-13,0,0.0017740398928252456,-0.032472804026627666,USD,3.081666946411133,3.125,3.058332920074463,3.0758330821990967,2.987605094909668,105600,87,56.0,,0.56,48.720000000000006,0.0025000572204589844,0.0008006588522893043
8,2016-05-18,1,0.0018335814230425723,-0.24512807942149772,USD,3.166666984558105,3.237499952316284,3.15625,3.178333044052124,3.087165594100952,103200,95,56.0,,0.56,53.2,0.11249995231628418,0.03599998474121091
9,2016-05-19,2,0.0018931229532598987,0.032472804026627555,USD,3.125,3.139583110809326,3.1145830154418945,3.139583110809326,3.0495269298553467,40800,100,56.0,,0.56,56.00000000000001,-0.09791684150695801,-0.030244584694712695
10,2016-05-24,103,0.007906817505209884,3.176600094354459,USD,3.391666889190674,3.5358328819274902,3.391666889190674,3.5358328819274902,3.43441104888916,74400,98,56.0,,0.56,54.88,0.39624977111816406,0.1262109513055758
11,2016-05-25,27,0.0033816612086930635,-0.5723107044692948,USD,3.572916984558105,3.5883328914642334,3.545417070388794,3.565000057220459,3.4627411365509038,88800,94,56.0,,0.56,52.64000000000001,0.052500009536743164,0.014847989509086723
12,2016-05-26,2,0.0018931229532598987,-0.44017959327405587,USD,3.5975000858306885,3.628750085830689,3.583750009536743,3.583750009536743,3.480953454971313,228000,92,56.0,,0.56,51.52,0.04041719436645552,0.01126350190713854
13,2016-05-27,1,0.0018335814230425723,-0.031451486082717306,USD,3.65041708946228,3.651249885559082,3.611249923706055,3.612499952316284,3.5088791847229004,187200,86,56.0,,0.56,48.16,0.02249979972839311,0.0062004269228264075
14,2016-06-02,6,0.002131289074129205,0.12580594433086967,USD,3.668750047683716,3.680000066757202,3.641249895095825,3.671250104904175,3.565943956375122,506400,21,69.0,,0.69,14.489999999999998,0.028750181198120117,0.007874065621153115
15,2016-06-03,64,0.005584697826734147,1.6203380360385529,USD,3.7079169750213614,3.746249914169312,3.660417079925537,3.712083101272583,3.605604887008667,110400,20,69.0,,0.69,13.8,0.06624984741210982,0.018002675600625517
16,2016-06-06,9,0.002309913664781185,0.14795088030773806,USD,3.703332901000977,3.734582901000977,3.682499885559082,3.734582901000977,3.627459764480591,33600,21,69.0,,0.69,14.489999999999998,-0.011667013168334961,-0.0031143179007377952
17,2016-06-07,5,0.0020717475439118787,-0.10310607036989305,USD,3.734167098999024,3.777082920074463,3.7200000286102295,3.759999990463257,3.6521477699279785,105600,22,69.0,,0.69,15.18,0.042500019073485884,0.011380124688648463
18,2016-06-08,10,0.0023694551949985116,0.14369880729989948,USD,3.793750047683716,3.793750047683716,3.717916965484619,3.7391669750213614,3.631912708282471,60000,22,69.0,,0.69,15.18,0.01666712760925293,0.0044126983605974335
19,2016-06-09,3,0.0019526644834772255,-0.17590149516270892,USD,3.6741669178009033,3.721250057220459,3.670417070388794,3.6987500190734863,3.5926547050476074,36000,20,69.0,,0.69,13.8,-0.07249999046325684,-0.01911037615868283
20,2016-06-10,6,0.002131289074129205,0.09147735935355983,USD,3.6575000286102295,3.688333034515381,3.6549999713897705,3.688333034515381,3.5825366973876958,28800,19,69.0,,0.69,13.11,-0.032917022705078125,-0.008845689539515922
21,2016-06-13,1,0.0018335814230425723,-0.06098490623570674,USD,3.6262500286102295,3.728332996368408,3.6262500286102295,3.6458330154418954,3.541255474090576,40800,21,69.0,,0.69,14.489999999999998,0.039999961853027344,0.01084499731415467
22,2016-06-14,2,0.0018931229532598987,0.032472804026627555,USD,3.625,3.660000085830689,3.589582920074463,3.660000085830689,3.555016279220581,88800,21,69.0,,0.69,14.489999999999998,-0.06833291053771928,-0.018328006270973973
23,2016-06-15,1,0.0018335814230425723,-0.031451486082717306,USD,3.6270830631256095,3.6458330154418954,3.6270830631256095,3.6458330154418954,3.541255474090576,14400,21,69.0,,0.69,14.489999999999998,-0.014167070388793501,-0.003870784168459429
24,2016-06-16,25,0.0032625781482584102,0.7793472966390647,USD,3.5204169750213623,3.625,3.5174999237060547,3.625,3.5210201740264893,67200,21,69.0,,0.69,14.489999999999998,-0.02083301544189542,-0.005714199019444255
25,2016-06-17,3,0.0019526644834772255,-0.4014964869057396,USD,3.608333110809326,3.608333110809326,3.608333110809326,3.608333110809326,3.504831552505493,4800,20,69.0,,0.69,13.8,-0.016666889190673828,-0.004597762535358263
26,2016-06-20,1,0.0018335814230425723,0.0,USD,3.6362500190734863,3.7108330726623535,3.6362500190734863,3.7108330726623535,3.604391098022461,9600,20,69.0,,0.69,13.8,0.10249996185302734,0.02840645769260397
