,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,TQQQ_unscaled,TQQQ_monthly,isPartial,scale,TQQQ,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-13,2,0.004126085446335533,-0.3355892387717435,TQQQ,3.859999895095825,3.923332929611206,3.797916889190674,3.81583309173584,3.8000876903533936,77983200,17,6.0,,0.06,1.02,,
1,2016-06-08,1,0.0037787426189649182,-0.0841821702163481,TQQQ,4.359582901000977,4.382500171661377,4.308332920074463,4.355000019073486,4.337029933929443,41131200,35,7.0,,0.07,2.45,0.4591672420501709,0.11703499302458464
2,2016-06-28,1,0.0037787426189649182,0.0,TQQQ,3.569582939147949,3.6862499713897705,3.5662500858306885,3.681250095367432,3.666060209274292,99734400,71,7.0,,0.07,4.970000000000001,-0.6962502002716064,-0.15887054717619387
3,2016-06-29,3,0.004473428273706148,0.1838404265097895,TQQQ,3.771250009536743,3.899583101272583,3.764167070388794,3.872499942779541,3.8565211296081534,104232000,100,7.0,,0.07,7.000000000000001,0.2133331298828125,0.057872670475025645
4,2016-07-01,2,0.004126085446335533,-0.07764577995185973,TQQQ,4.006249904632568,4.1170830726623535,4.001667022705078,4.068333148956299,4.051546096801758,65712000,55,7.0,False,0.07,3.850000000000001,0.2174999713897705,0.05577518563940642
5,2016-07-05,0,0.0034313997915943035,-0.09192021325489474,TQQQ,4.015832901000977,4.0233330726623535,3.93166708946228,3.996249914169312,3.97976016998291,65469600,66,7.0,,0.07,4.62,-0.09375,-0.022770976039445223
6,2016-07-06,5,0.005168113928447377,0.5061241016297195,TQQQ,3.941667079925537,4.099166870117188,3.90291690826416,4.09041690826416,4.073538780212402,86738400,36,7.0,,0.07,2.5200000000000005,0.07583379745483487,0.018848501002839857
7,2016-07-13,1,0.0037787426189649182,-0.26883527118757977,TQQQ,4.499166965484619,4.501667022705078,4.428750038146973,4.431666851043701,4.4133806228637695,63206400,46,7.0,,0.07,3.22,0.40250015258788974,0.0981907215151705
8,2016-08-10,2,0.004126085446335533,0.09192021325489463,TQQQ,5.137083053588867,5.144999980926514,5.052083015441895,5.09375,5.0727314949035645,43860000,61,4.0,,0.04,2.44,0.6433329582214355,0.142909938690857
9,2016-08-23,5,0.005168113928447377,0.25254651064904476,TQQQ,5.241666793823242,5.271667003631592,5.205832958221436,5.209582805633545,5.18808650970459,31327200,0,4.0,,0.04,0.0,0.12666702270507812,0.024619440850273344
