,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,QCOM_unscaled,QCOM_monthly,isPartial,scale,QCOM,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-17,13,0.16825978647686832,0.2351035761866198,QCOM,51.7400016784668,52.27999877929688,51.5,51.9900016784668,43.66347885131836,9386200,60,21.0,,0.21,12.6,,
1,2016-05-25,4,0.13623131672597866,-0.19035130390643162,QCOM,55.70000076293945,56.27000045776367,55.68999862670898,55.97999954223633,47.01445388793945,9266500,77,21.0,,0.21,16.169999999999998,3.9900016784667898,0.0763198502607243
2,2016-06-30,2,0.12911387900355872,-0.05224523915258228,QCOM,52.900001525878906,53.56999969482422,52.459999084472656,53.56999969482422,45.422325134277344,9254400,84,19.0,,0.19,15.96,-2.700000762939453,-0.047982952567524495
3,2016-07-14,1,0.12555516014234874,-0.02756263609051579,QCOM,55.18999862670898,55.369998931884766,54.560001373291016,54.880001068115234,46.5330810546875,6601500,14,28.0,,0.28,3.92,1.7999992370605469,0.03360088197339417
4,2016-07-15,2,0.12911387900355872,0.02834386780420073,QCOM,54.86000061035156,54.86000061035156,54.16999816894531,54.75,46.422847747802734,10236900,14,28.0,,0.28,3.92,-0.5099983215332031,-0.009210733815628092
5,2016-07-18,1,0.12555516014234874,-0.1018304014663578,QCOM,55.13999938964844,55.650001525878906,54.97999954223633,55.34999847412109,46.93159866333008,9225900,15,28.0,,0.28,4.2,0.7900009155273438,0.014400308179695509
6,2016-07-19,6,0.1433487544483986,0.14171933902100298,QCOM,55.72999954223633,55.900001525878906,54.95000076293945,55.13999938964844,46.753536224365234,8164200,28,28.0,,0.28,7.840000000000001,0.25,0.004492362859751964
7,2016-07-20,20,0.19317081850533807,0.3475584022243736,QCOM,55.36000061035156,55.95000076293945,55.040000915527344,55.81999969482422,47.33010482788086,17204300,86,28.0,,0.28,24.08,0.049999237060546875,0.0008944407101205698
8,2016-07-21,6,0.1433487544483986,-0.2579171349090841,QCOM,59.79999923706055,60.470001220703125,59.130001068115234,59.93000030517578,50.81500244140625,33912300,100,28.0,,0.28,28.000000000000004,4.520000457763672,0.08078642352329801
9,2016-07-22,1,0.12555516014234874,-0.12412800079441932,QCOM,60.209999084472656,61.18000030517578,59.83000183105469,61.150001525878906,51.84944915771485,12505700,72,28.0,,0.28,20.160000000000004,0.7099990844726562,0.011741343974532192
10,2016-07-25,1,0.12555516014234874,-0.02756263609051579,QCOM,60.959999084472656,60.970001220703125,60.150001525878906,60.72999954223633,51.49332427978516,9166200,25,28.0,,0.28,7.000000000000001,-0.20999908447265625,-0.0034324792975669594
11,2016-07-26,14,0.1718185053380783,0.3684702814546075,QCOM,61.0,61.5,60.77000045776367,61.34999847412109,52.01903533935547,11272600,31,28.0,,0.28,8.680000000000001,0.529998779296875,0.008692779542161189
12,2016-07-27,1,0.12555516014234874,-0.2692570576417225,QCOM,61.81999969482422,62.65999984741211,61.650001525878906,62.5099983215332,53.00259780883789,13395100,47,28.0,,0.28,13.160000000000002,1.1599998474121094,0.018861786136782355
13,2016-07-28,1,0.12555516014234874,0.0,QCOM,62.43999862670898,62.790000915527344,62.16999816894531,62.43000030517578,52.93476867675781,8514200,24,28.0,,0.28,6.720000000000001,0.13000106811523438,0.0020747058479382297
14,2016-08-04,3,0.13267259786476868,0.056687735608401235,QCOM,61.11000061035156,61.22999954223633,60.72999954223633,60.97999954223633,51.70530319213867,5169600,44,24.0,,0.24,10.56,-1.5600013732910156,-0.02484474200581266
15,2016-08-12,1,0.12555516014234874,-0.05364662965049227,QCOM,61.540000915527344,61.9900016784668,61.27999877929688,61.709999084472656,52.32428359985352,4947700,58,24.0,,0.24,13.92,0.7600021362304688,0.012412251215292214
16,2016-08-23,1,0.12555516014234874,0.0,QCOM,63.0,63.68999862670898,62.83000183105469,63.09000015258789,53.494388580322266,5970600,33,24.0,,0.24,7.92,1.6999969482421804,0.027423728056337637
17,2016-09-09,1,0.12555516014234874,-0.02756263609051579,QCOM,62.0099983215332,62.290000915527344,60.5,60.52000045776367,51.75084686279297,10625600,20,21.0,,0.21,4.2,-1.3999977111816335,-0.021981437295784945
18,2016-09-22,3,0.13267259786476868,0.056687735608401235,QCOM,63.709999084472656,64.0,63.36000061035156,63.52000045776367,54.31615447998047,7895700,25,21.0,,0.21,5.25,1.7099990844726562,0.027452224423493155
19,2016-09-30,1,0.12555516014234874,-0.05364662965049227,QCOM,68.4000015258789,70.4000015258789,68.1500015258789,68.5,58.57456970214844,34879500,100,21.0,,0.21,21.0,6.400001525878906,0.10000002384185791
20,2016-10-11,1,0.12555516014234874,0.0,QCOM,67.0,67.08999633789062,65.44999694824219,66.08999633789062,56.51375961303711,8910600,33,24.0,,0.24,7.92,-3.3100051879882812,-0.047017118128492186
21,2016-10-24,14,0.1718185053380783,0.3684702814546075,QCOM,68.4000015258789,68.44999694824219,67.4800033569336,68.05999755859375,58.19831848144531,6669600,37,24.0,,0.24,8.879999999999999,1.3600006103515625,0.020271287592595444
22,2016-10-27,1,0.12555516014234874,-0.2692570576417225,QCOM,70.80000305175781,71.62000274658203,70.0,70.08999633789062,59.934173583984375,33941700,100,24.0,,0.24,24.0,3.1700057983398438,0.046311262814764165
23,2016-10-28,5,0.1397900355871886,0.11337547121680225,QCOM,70.5199966430664,70.52999877929688,67.66000366210938,68.4000015258789,58.48905563354492,17952700,83,24.0,,0.24,19.92,-1.0900039672851562,-0.015219267320360053
24,2016-12-14,1,0.12555516014234874,-0.1018304014663578,QCOM,68.63999938964844,69.18000030517578,67.3499984741211,67.55999755859375,58.22262954711914,9957700,71,21.0,,0.21,14.91,-1.3499984741210938,-0.01914076984951496
25,2017-01-03,2,0.12911387900355872,0.02834386780420073,QCOM,65.86000061035156,66.13999938964844,64.5999984741211,65.4000015258789,56.36116027832031,9519800,12,45.0,,0.45,5.4,-3.0400009155273438,-0.04394334926448251
26,2017-01-23,9,0.15402491103202848,0.19293845263360998,QCOM,58.66999816894531,58.66999816894531,53.77000045776367,54.880001068115234,47.29512405395508,94436000,100,45.0,,0.45,45.0,-7.470001220703125,-0.112942263224034
27,2017-01-24,2,0.12911387900355872,-0.16173378618793466,QCOM,55.02000045776367,55.77000045776367,54.70000076293945,55.0,47.39853286743164,41751800,75,45.0,,0.45,33.75,-2.8999977111816406,-0.049428972246272185
28,2017-01-25,4,0.13623131672597866,0.05512527218103136,QCOM,56.09999847412109,56.97999954223633,55.5,56.900001525878906,49.03594207763672,27307900,91,45.0,,0.45,40.95,1.2099990844726562,0.021696235871273117
29,2017-01-26,2,0.12911387900355872,-0.05224523915258228,QCOM,55.34999847412109,55.4900016784668,53.5,54.04999923706055,46.57983016967773,37888200,91,45.0,,0.45,40.95,-1.4899978637695312,-0.026149488868722703
30,2017-01-27,5,0.1397900355871886,0.08268790827154704,QCOM,54.650001525878906,54.7599983215332,54.0,54.2400016784668,46.74357986450195,23474400,36,45.0,,0.45,16.2,-0.7300033569335938,-0.01315558361600977
