,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,TLRY_unscaled,TLRY_monthly,isPartial,scale,TLRY,Stock_Price_Change,Stock_Price_Change_Percent
0,2018-07-19,1,0.0012157962883038412,,TLRY,23.049999237060547,24.0,20.100000381469727,22.38999938964844,22.38999938964844,11934500,84,7.0,,0.07,5.880000000000001,,
1,2018-07-20,2,0.0014315925766076824,0.17749378771742985,TLRY,24.25,31.799999237060547,23.5,29.770000457763672,29.770000457763672,13938200,100,7.0,,0.07,7.000000000000001,7.799999237060547,0.3249999682108562
2,2018-07-23,2,0.0014315925766076824,0.0,TLRY,33.47999954223633,34.099998474121094,29.309999465942383,29.450000762939453,29.450000762939453,10042900,73,7.0,,0.07,5.11,2.299999237060547,0.0723270217686065
3,2018-07-25,3,0.0016473888649115235,0.15073861923424792,TLRY,25.309999465942383,27.149999618530277,24.200000762939453,26.489999771118164,26.489999771118164,3844100,59,7.0,,0.07,4.130000000000001,-6.949998855590817,-0.2038122922751816
4,2018-08-02,3,0.0016473888649115235,0.0,TLRY,23.1299991607666,23.989999771118164,22.559999465942383,23.8700008392334,23.8700008392334,1131200,9,16.0,,0.16,1.44,-3.159999847412113,-0.11639041958790186
5,2018-08-15,5,0.002078981441519206,0.2619858527639507,TLRY,26.780000686645508,30.0,26.11000061035156,29.100000381469727,29.100000381469727,6160300,19,16.0,,0.16,3.04,6.010000228881836,0.25052106236855165
6,2018-08-16,1,0.0012157962883038412,-0.41519618019514215,TLRY,29.399999618530277,31.229999542236328,27.649999618530277,29.270000457763672,29.270000457763672,3142700,16,16.0,,0.16,2.56,1.2299995422363281,0.040999984741211026
7,2018-08-20,1,0.0012157962883038412,0.0,TLRY,31.450000762939453,37.459999084472656,31.450000762939453,35.900001525878906,35.900001525878906,6057600,20,16.0,,0.16,3.2,6.229999542236328,0.199487660376386
8,2018-08-21,1,0.0012157962883038412,0.0,TLRY,39.29999923706055,41.75,37.95000076293945,39.93999862670898,39.93999862670898,10261900,34,16.0,,0.16,5.44,4.290000915527344,0.11452218420650118
9,2018-08-22,4,0.0018631851532153647,0.5324813631522896,TLRY,39.31999969482422,40.09000015258789,36.59999847412109,39.0,39.0,5430200,34,16.0,,0.16,5.44,-1.6599998474121094,-0.039760475387116356
10,2018-08-23,1,0.0012157962883038412,-0.3474635163307853,TLRY,39.7400016784668,39.84000015258789,37.650001525878906,38.25,38.25,3231100,24,16.0,,0.16,3.84,-0.25,-0.006235969045858436
11,2018-08-24,6,0.002294777729823047,0.8874689385871495,TLRY,40.0,44.369998931884766,39.34999847412109,43.86000061035156,43.86000061035156,8963500,36,16.0,,0.16,5.76,4.529998779296875,0.11370478820147834
