,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,LOW_unscaled,LOW_monthly,isPartial,scale,LOW,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-06,1,0.03321649484536082,0.0,LOW,75.11000061035156,75.62000274658203,74.55999755859375,75.54000091552734,68.21329498291016,3420800,82,81.0,,0.81,66.42,,
1,2016-05-16,4,0.03708247422680412,0.45509708737864063,LOW,75.0199966430664,77.36000061035156,75.01000213623047,77.0,69.53166961669922,6820800,92,81.0,,0.81,74.52000000000001,1.7399978637695312,0.023009756685683058
2,2016-05-18,1,0.03321649484536082,-0.10425354462051706,LOW,77.5,79.48999786376953,77.36000061035156,78.5999984741211,70.97650909423828,13724600,91,81.0,,0.81,73.71000000000001,2.1299972534179688,0.027533573379172838
3,2016-06-01,1,0.03321649484536082,-0.16246425786327023,LOW,80.12999725341797,80.55999755859375,79.48999786376953,80.2699966430664,72.48453521728516,4205800,87,84.0,False,0.84,73.08,1.0699996948242188,0.013460809203416968
4,2016-06-02,3,0.03579381443298969,0.07759155803848561,LOW,80.41999816894531,80.76000213623047,79.81999969482422,80.76000213623047,72.92701721191406,4693900,88,84.0,,0.84,73.92,0.20000457763671875,0.002482678546399608
5,2016-06-24,28,0.06801030927835051,0.9000576036866359,LOW,76.5199966430664,78.05000305175781,76.4000015258789,77.05999755859375,69.58586883544922,5995300,81,84.0,,0.84,68.03999999999999,-2.7099990844726562,-0.03355620372447832
6,2016-06-30,1,0.03321649484536082,-0.5115961800818554,LOW,77.76000213623047,79.80000305175781,77.5199966430664,79.16999816894531,71.4912109375,7606600,87,84.0,,0.84,73.08,1.75,0.02242152378699469
7,2016-07-12,2,0.03450515463917526,0.038795779019242804,LOW,83.11000061035156,83.6500015258789,82.62000274658203,82.94000244140625,74.89557647705078,5347200,98,80.0,,0.8,78.4,3.8499984741210938,0.048245593068762194
8,2016-08-12,1,0.03321649484536082,-0.037346877801015865,LOW,81.0,82.12999725341797,81.0,81.72000122070312,74.11149597167969,4095000,88,77.0,,0.77,67.76,-1.5200042724609375,-0.018171001132506803
9,2016-08-15,2,0.03450515463917526,0.0,LOW,82.08999633789062,82.68000030517578,81.30999755859375,81.54000091552734,73.94825744628906,5315400,87,77.0,,0.77,66.99,0.5500030517578125,0.006696737734700475
