,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,BEST_unscaled,BEST_monthly,isPartial,scale,BEST,Stock_Price_Change,Stock_Price_Change_Percent
0,2017-10-10,1,0.0035316455696202532,-0.8113590263691683,BEST,10.800000190734863,11.09000015258789,10.70199966430664,11.0,11.0,1528400,81,78.0,,0.78,63.18,,
1,2017-10-16,1,0.0035316455696202532,0.0,BEST,11.949999809265137,12.380000114440918,11.649999618530272,11.779999732971191,11.779999732971191,4799300,83,78.0,,0.78,64.74000000000001,1.2899999618530273,0.11632100487861585
2,2017-10-26,1,0.0035316455696202532,0.0,BEST,10.630000114440918,10.75,10.5,10.670000076293944,10.670000076293944,889100,81,78.0,,0.78,63.18,-1.630000114440918,-0.13166398217876984
3,2017-10-27,1,0.0035316455696202532,0.0,BEST,10.649999618530272,11.020000457763672,10.649999618530272,10.93000030517578,10.93000030517578,684400,81,78.0,,0.78,63.18,0.2700004577636719,0.025116321652434603
4,2017-11-21,1,0.0035316455696202532,2.5316455696202533,BEST,10.850000381469728,10.949999809265137,10.699999809265137,10.729999542236328,10.729999542236328,792400,58,91.0,,0.91,52.78,-0.07000064849853516,-0.006352145697890554
5,2017-12-05,1,0.0035316455696202532,0.0,BEST,9.449999809265137,9.5,8.930000305175781,9.039999961853027,9.039999961853027,1796000,71,93.0,,0.93,66.03,-1.4499998092651367,-0.13242007621207874
6,2017-12-12,1,0.0035316455696202532,0.0,BEST,9.5600004196167,9.75,9.260000228881836,9.380000114440918,9.380000114440918,963700,74,93.0,,0.93,68.82000000000001,0.25,0.026315789473684292
7,2017-12-13,1,0.0035316455696202532,0.0,BEST,9.25,9.489999771118164,9.100000381469728,9.289999961853027,9.289999961853027,1114900,72,93.0,,0.93,66.96000000000001,-0.26000022888183594,-0.026666690141726734
8,2017-12-20,1,0.0035316455696202532,0.0,BEST,9.050000190734863,9.140000343322754,8.920000076293945,8.930000305175781,8.930000305175781,692100,77,93.0,,0.93,71.61,-0.34999942779541016,-0.03688086788585576
9,2018-01-11,1,0.0035316455696202532,0.0,BEST,9.100000381469728,9.220000267028809,9.039999961853027,9.149999618530272,9.149999618530272,590200,73,85.0,,0.85,62.05,0.07999992370605469,0.008752726553724832
