,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,EVER_unscaled,EVER_monthly,isPartial,scale,EVER,Stock_Price_Change,Stock_Price_Change_Percent
0,2018-06-28,2,0.02639332045266354,0.010568255075404487,EVER,20.59000015258789,22.09000015258789,18.0,18.020000457763672,18.020000457763672,4390200,82,76.0,,0.76,62.32,,
1,2018-06-29,27,0.03329367927132211,0.26144337659349737,EVER,18.530000686645508,18.530000686645508,16.6299991607666,18.1200008392334,18.1200008392334,1432500,79,76.0,,0.76,60.04,-3.559999465942383,-0.161158870138139
2,2018-07-10,1,0.026117306099917196,-0.21554761529724853,EVER,17.239999771118164,17.364999771118164,16.809999465942383,17.149999618530273,17.149999618530273,296800,78,81.0,,0.81,63.18000000000001,-1.1650009155273438,-0.06287106704572087
3,2018-07-13,8,0.028049406569141597,0.07397778552783163,EVER,16.530000686645508,17.100000381469727,16.139999389648438,16.899999618530273,16.899999618530273,196500,83,81.0,,0.81,67.23,-0.2649993896484375,-0.015260546682482001
4,2018-07-16,32,0.034673751035053824,0.23616700943684,EVER,17.84000015258789,17.84000015258789,16.030000686645508,16.700000762939453,16.700000762939453,173200,78,81.0,,0.81,63.18000000000001,0.7399997711181641,0.043274839450884395
5,2018-07-17,3,0.02666933480540988,-0.230849446359345,EVER,16.31999969482422,16.834999084472656,16.0,16.43000030517578,16.43000030517578,122500,77,81.0,,0.81,62.370000000000005,-1.0050010681152344,-0.05633414010758553
6,2018-07-19,6,0.02749737786364891,0.031048508119184914,EVER,17.309999465942383,18.149999618530277,17.09000015258789,17.56999969482422,17.56999969482422,77900,80,81.0,,0.81,64.80000000000001,1.3150005340576207,0.07811111408200078
7,2018-07-25,13,0.02942947833287331,0.11503508570113885,EVER,17.707000732421875,17.707000732421875,16.530000686645508,16.600000381469727,16.600000381469727,78000,77,81.0,,0.81,62.370000000000005,-0.442998886108402,-0.024407652640175304
8,2018-07-26,11,0.028877449627380626,-0.01875767892480984,EVER,16.59000015258789,16.610000610351562,15.81999969482422,15.90999984741211,15.90999984741211,171900,77,81.0,,0.81,62.370000000000005,-1.0970001220703125,-0.06195290431437572
9,2018-07-27,2,0.02639332045266354,-0.08602314978542003,EVER,15.989999771118164,16.780000686645508,15.989999771118164,16.420000076293945,16.420000076293945,48600,78,81.0,,0.81,63.18000000000001,0.1700000762939453,0.010234802531433829
10,2018-08-03,1,0.026117306099917196,0.0,EVER,14.0600004196167,14.5,13.8100004196167,14.350000381469728,14.350000381469728,57600,88,74.0,,0.74,65.12,-2.280000686645508,-0.13587607826858217
11,2018-08-06,3,0.02666933480540988,0.021136510150808974,EVER,14.460000038146973,15.539999961853027,14.350000381469728,15.050000190734863,15.050000190734863,71400,85,74.0,,0.74,62.9,1.0399999618530273,0.07172413530020871
12,2018-08-07,15,0.029981507038365995,0.12419403247673944,EVER,14.460000038146973,15.770000457763672,14.460000038146973,15.039999961853027,15.039999961853027,151500,85,74.0,,0.74,62.9,0.23000049591064453,0.014800546748728438
