,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,AR_unscaled,AR_monthly,isPartial,scale,AR,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,21,0.01462297496318115,0.9171654759606103,AR,27.959999084472656,27.959999084472656,26.65999984741211,27.100000381469727,26.473922729492188,3150100,95,83.0,,0.83,78.85,,
1,2016-05-03,6,0.009100147275405007,-0.37768153892637735,AR,26.540000915527344,26.780000686645508,25.520000457763672,25.850000381469727,25.25279998779297,3331300,90,83.0,,0.83,74.7,-1.1799983978271484,-0.0422030914329482
2,2016-05-04,2,0.0076273932253313696,-0.16183848519177857,AR,25.93000030517578,26.270000457763672,25.440000534057617,25.899999618530277,25.301645278930664,3478400,91,83.0,,0.83,75.53,-0.5100002288818359,-0.01904407079183379
3,2016-05-05,6,0.009100147275405007,0.1930874686232864,AR,26.6299991607666,26.86000061035156,25.690000534057617,25.799999237060547,25.203954696655277,3208300,93,83.0,,0.83,77.19,0.5900001525878871,0.02245908421419629
4,2016-05-06,2,0.0076273932253313696,-0.16183848519177857,AR,25.350000381469727,26.399999618530277,25.149999618530277,25.899999618530277,25.301645278930664,2429400,93,83.0,,0.83,77.19,-0.46000099182128196,-0.01712587421327172
5,2016-05-09,2,0.0076273932253313696,-0.08804366966015131,AR,25.84000015258789,25.899999618530277,25.06999969482422,25.489999771118164,25.129121780395508,2222900,98,83.0,,0.83,81.33999999999999,-0.5,-0.01893939421306079
6,2016-05-11,4,0.008363770250368188,0.09654373431164309,AR,25.780000686645508,26.38999938964844,25.420000076293945,26.020000457763672,25.65161895751953,2523300,94,83.0,,0.83,78.02,0.48999977111816406,0.018918910360430807
7,2016-05-12,2,0.0076273932253313696,-0.08804366966015131,AR,26.200000762939453,26.46999931335449,25.61000061035156,25.88999938964844,25.52345848083496,2687800,100,83.0,,0.83,83.0,0.07999992370604758,0.003031448486407573
8,2016-05-13,15,0.01241384388807069,0.6275342730256805,AR,25.600000381469727,26.25,25.38999938964844,25.5,25.13898086547852,1792700,93,83.0,,0.83,77.19,-0.21999931335448863,-0.00831127008165411
9,2016-05-17,8,0.009836524300441827,-0.20761656186973532,AR,26.040000915527344,27.280000686645508,25.90999984741211,27.190000534057617,26.805055618286133,3294700,93,83.0,,0.83,77.19,1.0300006866455078,0.03923812139601934
10,2016-05-18,2,0.0076273932253313696,-0.2245845186405151,AR,27.020000457763672,27.709999084472656,26.11000061035156,26.36000061035156,25.98680686950684,2052000,91,83.0,,0.83,75.53,0.42999839782714844,0.015762404215687864
11,2016-05-20,7,0.009468335787923415,0.24135933577910773,AR,26.40999984741211,26.690000534057617,25.690000534057617,26.46999931335449,26.09524726867676,1994700,97,83.0,,0.83,80.50999999999999,-1.019998550415039,-0.036809764854398574
12,2016-05-23,8,0.009836524300441827,0.03888629646912456,AR,26.26000022888184,27.21999931335449,25.959999084472656,27.1200008392334,26.736047744750977,2357300,94,83.0,,0.83,78.02,0.5299987792968714,0.019857578444802515
13,2016-05-24,7,0.009468335787923415,-0.0374307531067527,AR,27.1299991607666,27.489999771118164,26.950000762939453,27.26000022888184,26.87406349182129,2200700,93,83.0,,0.83,77.19,0.2700004577636754,0.00991919414308029
14,2016-05-25,4,0.008363770250368188,-0.11665888940737279,AR,27.3700008392334,28.11000061035156,27.200000762939453,27.920000076293945,27.52471923828125,2057600,95,83.0,,0.83,78.85,0.6200008392333949,0.02255368659132495
15,2016-05-26,3,0.00799558173784978,-0.0440218348300756,AR,28.190000534057617,28.479999542236328,27.6299991607666,27.729999542236328,27.33740997314453,2092100,95,83.0,,0.83,78.85,0.3699989318847692,0.013162537312379818
