,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,ME_unscaled,ME_monthly,isPartial,scale,ME,Stock_Price_Change,Stock_Price_Change_Percent
0,2020-11-23,18,0.002407679674669586,0.9501488566542087,ME,9.829999923706056,10.399999618530272,9.649999618530272,9.800000190734863,9.800000190734863,608900,82,74.0,,0.74,60.68,,
1,2020-11-24,20,0.0025640885274106516,0.06496248416539463,ME,9.989999771118164,9.989999771118164,9.800000190734863,9.890000343322754,9.890000343322754,231700,80,74.0,,0.74,59.2,-0.4099998474121076,-0.039423063697193506
2,2020-11-25,34,0.0036589504965981075,0.4269985055052308,ME,9.84000015258789,10.6899995803833,9.8100004196167,9.899999618530272,9.899999618530272,601000,83,74.0,,0.74,61.42,0.6999998092651367,0.0700700525828728
3,2020-11-27,29,0.0032679283647454446,0.4028603081881357,ME,10.420000076293944,10.789999961853027,10.15999984741211,10.15999984741211,10.15999984741211,4164000,89,74.0,,0.74,65.86,0.10000038146972656,0.009354573002344324
4,2020-11-30,32,0.0035025416438570424,1.263455804315965,ME,10.649999618530272,10.75,10.300000190734863,10.489999771118164,10.489999771118164,5120600,75,74.0,,0.74,55.5,-0.039999961853027344,-0.003707132714962258
5,2020-12-01,20,0.0025640885274106516,-0.2679348918212874,ME,10.670000076293944,10.770000457763672,10.489999771118164,10.550000190734863,10.550000190734863,4413300,70,80.0,False,0.8,56.0,0.020000457763671875,0.00186050769894619
6,2020-12-02,31,0.0034243372174865097,0.33549882575410983,ME,10.420000076293944,10.479999542236328,10.25,10.390000343322754,10.390000343322754,1852800,70,80.0,,0.8,56.0,-0.29000091552734375,-0.026926731959263095
7,2020-12-03,21,0.0026422929537811843,-0.2283782857925868,ME,10.470000267028809,10.479999542236328,10.350000381469728,10.399999618530272,10.399999618530272,1372200,78,80.0,,0.8,62.400000000000006,0.0,0.0
8,2020-12-04,15,0.0021730663955579887,-0.17758309408944273,ME,10.40999984741211,10.9399995803833,10.359999656677246,10.68000030517578,10.68000030517578,2802900,77,80.0,,0.8,61.6,0.46000003814697266,0.043893135328211486
9,2020-12-07,23,0.002798701806522249,0.5705007240970728,ME,11.40999984741211,11.640000343322754,10.970000267028809,11.25,11.25,8485400,73,80.0,,0.8,58.400000000000006,0.7000007629394531,0.06398544696424269
10,2020-12-08,22,0.0027204973801517166,-0.027943107832453018,ME,11.545000076293944,11.75,11.100000381469728,11.289999961853027,11.289999961853027,7211300,71,80.0,,0.8,56.8,0.1099996566772461,0.009450142047491283
11,2020-12-09,22,0.0027204973801517166,0.0,ME,11.479999542236328,12.770000457763672,11.4399995803833,12.199999809265137,12.199999809265137,7442100,70,80.0,,0.8,56.0,1.0200004577636719,0.0868085495969082
12,2020-12-10,21,0.0026422929537811843,-0.02874637077069009,ME,11.899999618530272,12.25,11.600000381469728,11.739999771118164,11.739999771118164,3283600,75,80.0,,0.8,60.0,-0.5200004577636719,-0.04072047291490355
13,2020-12-11,28,0.003189723938374912,0.2071802764376829,ME,12.020000457763672,12.359999656677246,11.81999969482422,12.0,12.0,3211400,79,80.0,,0.8,63.2,0.1099996566772461,0.008979563810387337
14,2020-12-14,24,0.0028769062328927817,1.3302083993158926,ME,11.899999618530272,12.140000343322754,11.399999618530272,11.65999984741211,11.65999984741211,2396300,74,80.0,,0.8,59.2,-0.2199993133544922,-0.017799297691375116
15,2020-12-15,27,0.0031115195120043795,0.08155054774784576,ME,11.510000228881836,11.539999961853027,11.0,11.15999984741211,11.15999984741211,3115600,73,80.0,,0.8,58.400000000000006,-0.6000003814697266,-0.04942342376454201
16,2020-12-16,20,0.0025640885274106516,-0.1759368637997336,ME,11.050000190734863,11.600000381469728,10.850000381469728,11.600000381469728,11.600000381469728,1531500,73,80.0,,0.8,58.400000000000006,0.060000419616700995,0.00519934313821846
17,2020-12-17,26,0.0030333150856338468,0.18299935950224167,ME,11.25,11.43000030517578,11.220000267028809,11.350000381469728,11.350000381469728,1072700,77,80.0,,0.8,61.6,-0.17000007629394887,-0.0146551785089174
18,2020-12-18,41,0.004206381481191835,0.38672751179518894,ME,11.25,11.260000228881836,11.074999809265137,11.199999809265137,11.199999809265137,1603500,81,80.0,,0.8,64.8,-0.17000007629394354,-0.014873147135172293
19,2020-12-21,21,0.0026422929537811843,0.31023383875596267,ME,11.199999809265137,11.5,11.109999656677246,11.5,11.5,1642900,85,80.0,,0.8,68.0,0.23999977111816406,0.021314366451127276
20,2020-12-22,23,0.002798701806522249,0.05919436469648076,ME,11.5,11.899999618530272,11.5,11.899999618530272,11.899999618530272,1830300,86,80.0,,0.8,68.8,0.39999961853027166,0.03478257552437136
