,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,TSLA_unscaled,TSLA_monthly,isPartial,scale,TSLA,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,12,0.004205128205128205,2.318718381112985,TSLA,48.29999923706055,48.63800048828125,46.9640007019043,48.36000061035156,48.36000061035156,19219500,33,8.0,,0.08,2.64,,
1,2016-05-03,3,0.0018012820512820513,-0.5716463414634146,TSLA,47.47200012207031,47.78200149536133,46.32400131225586,46.4640007019043,46.4640007019043,21511000,39,8.0,,0.08,3.12,-0.8559989929199219,-0.01759938698808483
2,2016-05-04,24,0.00741025641025641,3.1138790035587185,TSLA,46.05799865722656,46.891998291015625,44.08000183105469,44.512001037597656,44.512001037597656,43502500,100,8.0,,0.08,8.0,-0.8900032043457031,-0.01862632741393444
3,2016-05-05,4,0.0020683760683760685,-0.720876585928489,TSLA,45.69200134277344,45.72800064086914,41.95800018310547,42.305999755859375,42.305999755859375,56274000,94,8.0,,0.08,7.52,-1.1639976501464844,-0.02482294831887133
4,2016-05-06,6,0.0026025641025641025,0.25826446280991733,TSLA,42.17399978637695,43.27399826049805,41.62200164794922,42.98600006103516,42.98600006103516,28426000,51,8.0,,0.08,4.08,-2.4540023803710938,-0.05366520175775724
5,2016-05-09,5,0.0023354700854700855,0.8431703204047218,TSLA,43.14400100708008,43.22999954223633,41.36000061035156,41.78400039672852,41.78400039672852,23882000,37,8.0,,0.08,2.96,-0.04399871826171875,-0.0010167472392279553
6,2016-05-10,1,0.001267094017094017,-0.4574565416285453,TSLA,41.5099983215332,41.89400100708008,41.0,41.73799896240234,41.73799896240234,20353000,41,8.0,,0.08,3.28,-1.33599853515625,-0.030904430934609706
7,2016-05-12,2,0.0015341880341880343,0.21079258010118052,TSLA,42.28799819946289,42.33399963378906,40.73199844360352,41.45600128173828,41.45600128173828,18252500,34,8.0,,0.08,2.72,0.4399986267089844,0.010502664251013538
8,2016-05-13,3,0.0018012820512820513,0.1740947075208914,TSLA,41.555999755859375,42.2400016784668,41.34000015258789,41.52199935913086,41.52199935913086,14114000,25,8.0,,0.08,2.0,-0.09399795532226562,-0.0022203891939196474
9,2016-05-16,3,0.0018012820512820513,0.42158516020236103,TSLA,41.630001068115234,42.630001068115234,41.58399963378906,41.65800094604492,41.65800094604492,14747000,26,8.0,,0.08,2.08,0.3899993896484375,0.009232939728959666
