,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,ATVI_unscaled,ATVI_monthly,isPartial,scale,ATVI,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,14,0.07235250266240682,0.1148689673279839,ATVI,34.70000076293945,34.75,33.939998626708984,34.58000183105469,33.53679275512695,7586300,29,36.0,,0.36,10.44,,
1,2016-05-03,4,0.06170287539936102,-0.1471908623912629,ATVI,34.15999984741211,34.59000015258789,33.939998626708984,34.11000061035156,33.08096694946289,4309600,16,36.0,,0.36,5.76,-0.15999984741210938,-0.004604312155744195
2,2016-05-04,1,0.05850798722044728,-0.05177859472893909,ATVI,33.81999969482422,34.34000015258789,33.61000061035156,34.279998779296875,33.2458381652832,5769800,29,36.0,,0.36,10.44,-0.25,-0.00722752237343649
3,2016-05-05,21,0.07980724174653887,0.3640401172209178,ATVI,34.34000015258789,35.209999084472656,34.16999816894531,34.90999984741211,33.85683822631836,9968800,71,36.0,,0.36,25.56,0.8699989318847656,0.0253348552131325
4,2016-05-06,1,0.05850798722044728,-0.2668837321021098,ATVI,36.9900016784668,38.0,36.65999984741211,37.869998931884766,36.72754287719727,19055900,100,36.0,,0.36,36.0,2.7900009155273438,0.07923888066096874
5,2016-05-09,-1,0.05637806176783813,-0.053629846797404346,ATVI,37.790000915527344,37.869998931884766,36.81999969482422,37.150001525878906,36.02926254272461,10814800,66,36.0,,0.36,23.76,-0.13000106811523438,-0.0034210807398745713
6,2016-05-12,1,0.05850798722044728,0.03777933092804919,ATVI,37.16999816894531,37.9900016784668,37.04999923706055,37.90999984741211,36.766334533691406,8132300,21,36.0,,0.36,7.56,0.12000274658203125,0.003168807762521375
7,2016-05-13,1,0.05850798722044728,0.0,ATVI,38.0,38.97999954223633,37.9900016784668,38.290000915527344,37.13486862182617,10209800,24,36.0,,0.36,8.64,0.9899978637695312,0.026059431956558132
8,2016-05-17,17,0.07554739084132056,0.26814923398702173,ATVI,39.09999847412109,39.34999847412109,37.630001068115234,38.119998931884766,36.969993591308594,10669600,36,36.0,,0.36,12.96,0.3699989318847585,0.00949201991354176
9,2016-05-19,1,0.05850798722044728,-0.22554589154061955,ATVI,38.22999954223633,38.369998931884766,37.540000915527344,37.79999923706055,36.65965270996094,7602500,26,36.0,,0.36,9.36,-0.979999542236321,-0.024904690730314205
10,2016-05-23,1,0.05850798722044728,0.0,ATVI,37.630001068115234,37.9900016784668,37.310001373291016,37.72999954223633,36.59176635742188,5634600,26,36.0,,0.36,9.36,-0.37999725341796875,-0.009903499191974086
11,2016-05-24,22,0.08087220447284345,0.3822421230819637,ATVI,37.91999816894531,39.02999877929688,37.77999877929688,39.02000045776367,37.84284591674805,7620600,39,36.0,,0.36,14.04,1.0399971008300852,0.02737554764098804
12,2016-05-26,3,0.060637912673056446,-0.2502008190784708,ATVI,38.90999984741211,39.400001525878906,38.470001220703125,39.09999847412109,37.92042922973633,8255700,22,36.0,,0.36,7.92,0.37000274658202414,0.00947995793374945
13,2016-05-27,1,0.05850798722044728,-0.035125309541790384,ATVI,39.130001068115234,39.9900016784668,39.06999969482422,39.34000015258789,38.15319442749024,6266300,37,36.0,,0.36,13.32,0.5900001525878906,0.01497462258219362
14,2016-05-31,-1,0.05637806176783813,-0.036404011722091734,ATVI,39.540000915527344,39.68999862670898,39.130001068115234,39.2599983215332,38.07560348510742,8466700,14,36.0,,0.36,5.04,-0.3000030517578196,-0.00750195146701782
15,2016-06-07,3,0.060637912673056446,0.07555866185609861,ATVI,37.95000076293945,38.5,37.93999862670898,38.130001068115234,36.97969436645508,7315900,58,29.0,,0.29,16.82,-1.1899986267089773,-0.029982329752669235
16,2016-06-13,1,0.05850798722044728,-0.035125309541790384,ATVI,37.52999877929688,38.209999084472656,37.36000061035156,37.630001068115234,36.49478149414063,7167100,100,29.0,,0.29,29.0,-0.29000091552734375,-0.007532491312398526
17,2016-06-16,1,0.05850798722044728,0.0,ATVI,38.25,39.150001525878906,38.0,39.02999877929688,37.85254287719727,10063900,60,29.0,,0.29,17.4,0.94000244140625,0.024600954303300115
18,2016-06-21,2,0.059572949946751864,0.018202005861045922,ATVI,38.75,39.22999954223633,38.560001373291016,38.65999984741211,37.49370956420898,7156100,24,29.0,,0.29,6.959999999999999,0.07999801635742188,0.00204337198568294
19,2016-06-24,5,0.0627678381256656,0.053629846797404124,ATVI,37.5,38.04999923706055,36.81999969482422,36.97999954223633,35.86438751220703,23589200,97,29.0,,0.29,28.13,-1.1800003051757812,-0.030079029287404246
20,2016-06-28,1,0.05850798722044728,0.0,ATVI,36.65999984741211,37.220001220703125,36.400001525878906,37.18000030517578,36.05835723876953,6306600,60,29.0,,0.29,17.4,-0.8299980163574219,-0.021813351721410967
21,2016-06-30,2,0.059572949946751864,0.018202005861045922,ATVI,38.22999954223633,39.97999954223633,38.13999938964844,39.630001068115234,38.43444442749024,15053000,68,29.0,,0.29,19.72,2.759998321533203,0.07415363328892077
22,2016-07-01,1,0.05850798722044728,-0.017876615599134782,ATVI,39.68999862670898,40.709999084472656,39.41999816894531,39.61000061035156,38.41504287719727,8179300,52,27.0,False,0.27,14.04,0.7299995422363281,0.018259118324029266
23,2016-07-05,1,0.05850798722044728,0.0,ATVI,39.400001525878906,40.150001525878906,39.27999877929688,40.150001525878906,38.938758850097656,7336700,43,27.0,,0.27,11.61,-0.55999755859375,-0.013755774286109967
24,2016-07-06,3,0.060637912673056446,0.036404011722091845,ATVI,39.77999877929688,40.59000015258789,39.52999877929688,40.5099983215332,39.28789520263672,9232700,61,27.0,,0.27,16.470000000000002,0.4399986267089844,0.010958869489092748
