,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,PYPL_unscaled,PYPL_monthly,isPartial,scale,PYPL,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-07-08,1,0.003898550724637681,-0.5979073243647235,PYPL,36.77999877929688,37.459999084472656,36.65999984741211,37.36000061035156,37.36000061035156,6828600,4,16.0,,0.16,0.64,,
1,2016-07-20,5,0.015492753623188405,2.973977695167286,PYPL,39.43999862670898,40.45000076293945,39.119998931884766,40.04999923706055,40.04999923706055,11189100,26,16.0,,0.16,4.16,2.990001678466797,0.07981851979559096
2,2016-07-21,66,0.19230434782608696,11.412535079513566,PYPL,40.33000183105469,40.33000183105469,39.650001525878906,40.130001068115234,40.130001068115234,13363300,74,16.0,,0.16,11.84,-0.11999893188476562,-0.0029665990017658794
3,2016-07-22,64,0.1865072463768116,-0.030145451804958978,PYPL,37.29999923706055,37.59000015258789,36.43000030517578,37.41999816894531,37.41999816894531,36397300,100,16.0,,0.16,16.0,-2.740001678466797,-0.067939537665901
4,2016-07-25,10,0.029985507246376813,6.691449814126394,PYPL,37.70000076293945,38.18000030517578,37.619998931884766,37.77999877929688,37.77999877929688,16904100,28,16.0,,0.16,4.48,0.5900001525878906,0.01569566773591169
5,2016-07-26,6,0.018391304347826088,-0.3866602223296278,PYPL,37.77999877929688,38.27000045776367,37.59999847412109,37.68999862670898,37.68999862670898,10279200,20,16.0,,0.16,3.2,0.09000015258789062,0.002357259085084218
6,2016-07-27,6,0.018391304347826088,0.0,PYPL,37.63999938964844,37.68999862670898,37.04499816894531,37.220001220703125,37.220001220703125,8894200,15,16.0,,0.16,2.4,-0.5800018310546946,-0.015155521926235926
7,2016-07-28,5,0.015492753623188405,-0.15760441292356198,PYPL,37.400001525878906,37.68000030517578,37.10100173950195,37.220001220703125,37.220001220703125,5111300,11,16.0,,0.16,1.76,-0.00999832153319602,-0.00026527784286278777
8,2016-07-29,1,0.003898550724637681,-0.7483629560336763,PYPL,37.40999984741211,37.47999954223633,36.86000061035156,37.2400016784668,37.2400016784668,6841500,10,16.0,,0.16,1.6,-0.20000076293945312,-0.005307875831200071
9,2016-08-02,1,0.003898550724637681,0.0,PYPL,37.060001373291016,37.084999084472656,36.36000061035156,36.540000915527344,36.540000915527344,5997700,49,6.0,,0.06,2.94,-0.3950004577636719,-0.01053896645112129
