,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,FB_unscaled,FB_monthly,isPartial,scale,FB,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,7,0.04749070185962807,0.02591781460987197,FB,117.83000183105467,118.7300033569336,116.56999969482422,118.56999969482422,118.56999969482422,28095200,91,88.0,,0.88,80.08,,
1,2016-05-04,11,0.04869046190761848,0.02526305152399355,FB,116.61000061035156,118.3000030517578,116.56999969482422,118.05999755859376,118.05999755859376,23448400,96,88.0,,0.88,84.48,-0.43000030517579546,-0.0036216650637421743
2,2016-05-06,6,0.04719076184763048,-0.030800694863676092,FB,117.16000366210938,119.63999938964844,117.11000061035156,119.48999786376952,119.48999786376952,26395600,95,88.0,,0.88,83.6,1.3399963378906392,0.011327103155731821
3,2016-05-10,10,0.048390521895620875,0.0521736862013642,FB,119.62000274658205,120.5,119.0,120.5,120.5,23220000,97,88.0,,0.88,85.36,0.8600006103515625,0.007188236498987921
4,2016-05-11,7,0.04749070185962807,-0.01859496448361786,FB,120.41000366210938,121.08000183105467,119.41999816894533,119.5199966430664,119.5199966430664,22038400,98,88.0,,0.88,86.24,0.5800018310546733,0.004813293203773217
5,2016-05-13,23,0.052289742051589684,0.10105220609597443,FB,120.37999725341795,120.63999938964844,119.68000030517578,119.80999755859376,119.80999755859376,18124300,95,88.0,,0.88,83.6,-0.4400024414062358,-0.0036339811261333343
6,2016-05-17,4,0.04659088182363527,-0.10898619890554917,FB,118.81999969482422,119.01000213623048,117.1999969482422,117.3499984741211,117.3499984741211,21328600,93,88.0,,0.88,81.84,-1.6299972534179545,-0.013511250511145323
7,2016-05-18,3,0.046290941811637676,-0.006437740610555243,FB,116.8000030517578,118.2699966430664,116.7300033569336,117.6500015258789,117.6500015258789,21642300,100,88.0,,0.88,88.0,-0.7400054931640767,-0.006218010922451667
8,2016-05-19,7,0.04749070185962807,0.02591781460987197,FB,117.0500030517578,117.48999786376952,115.87999725341795,116.80999755859376,116.80999755859376,20544100,92,88.0,,0.88,80.96,-0.7799987792968892,-0.0065950689222634695
9,2016-05-23,19,0.05108998200359928,0.11816140848398926,FB,117.41999816894533,117.5999984741211,115.94000244140624,115.97000122070312,115.97000122070312,20441000,93,88.0,,0.88,81.84,0.11000061035157671,0.0009362551055547286
