,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,JD_unscaled,JD_monthly,isPartial,scale,JD,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-12,1,0.03573227206946455,-0.038924136857265035,JD,23.530000686645508,23.68000030517578,22.020000457763672,22.11000061035156,22.11000061035156,28229900,90,73.0,,0.73,65.7,,
1,2016-06-03,1,0.03573227206946455,0.0,JD,23.709999084472656,23.899999618530277,22.850000381469727,22.979999542236328,22.979999542236328,13132700,81,72.0,,0.72,58.32,0.21999931335449574,0.009290511423955206
2,2016-06-21,1,0.03573227206946455,-0.019848358540748512,JD,21.3700008392334,21.479999542236328,20.90999984741211,21.1299991607666,21.1299991607666,11895400,92,72.0,,0.72,66.24,-2.420000076293949,-0.101255234933881
3,2016-07-05,1,0.03573227206946455,0.0,JD,21.18000030517578,21.299999237060547,20.399999618530277,20.86000061035156,20.86000061035156,10698100,68,70.0,,0.7,47.6,-0.18000030517578125,-0.008379902654180427
4,2016-07-06,3,0.0371794500723589,0.04050058725851513,JD,20.549999237060547,20.63999938964844,20.03499984741211,20.3799991607666,20.3799991607666,13669100,80,70.0,,0.7,56.0,-0.6599998474121058,-0.030985909439083525
5,2016-07-07,1,0.03573227206946455,-0.038924136857265035,JD,20.459999084472656,20.665000915527344,20.309999465942383,20.56999969482422,20.56999969482422,6776100,90,70.0,,0.7,62.99999999999999,0.025001525878902697,0.0012113142741390082
6,2016-08-09,10,0.04224457308248915,0.18225264266331864,JD,22.36000061035156,22.690000534057617,22.049999237060547,22.3700008392334,22.3700008392334,19990900,70,76.0,,0.76,53.2,2.0249996185302734,0.09799175072906596
7,2016-08-19,1,0.03573227206946455,-0.1541571032167448,JD,26.149999618530277,26.200000762939453,25.700000762939453,25.90999984741211,25.90999984741211,20568700,74,76.0,,0.76,56.24,3.510000228881836,0.15469370411046657
8,2016-09-19,3,0.0371794500723589,0.04050058725851513,JD,26.34000015258789,26.479999542236328,25.93000030517578,26.049999237060547,26.049999237060547,8593100,91,68.0,,0.68,61.88,0.279998779296875,0.010686975997838077
9,2016-11-03,1,0.03573227206946455,-0.038924136857265035,JD,24.540000915527344,25.049999237060547,24.51000022888184,24.670000076293945,24.670000076293945,6738800,87,64.0,,0.64,55.68,-1.4300003051757812,-0.05400303360635983
