,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,HAS_unscaled,HAS_monthly,isPartial,scale,HAS,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-16,-1,0.08457988165680473,-0.008669117137110827,HAS,84.9000015258789,85.95999908447266,84.54000091552734,85.45999908447266,74.10377502441406,612000,91,65.0,,0.65,59.15,,
1,2016-05-26,1,0.08531952662721894,0.008744927941793712,HAS,86.95999908447266,87.30999755859375,86.26000213623047,86.75,75.22237396240234,516900,88,65.0,,0.65,57.2,1.3499984741210938,0.015704961476261214
2,2016-06-24,1,0.08531952662721894,0.0,HAS,83.44999694824219,84.19999694824219,82.33000183105469,82.37000274658203,71.42439270019531,2621100,82,60.0,,0.6,49.2,-3.1100006103515625,-0.03562021185791975
3,2016-06-29,2,0.08568934911242604,0.004334558568555469,HAS,83.18000030517578,83.58000183105469,82.76000213623047,83.06999969482422,72.03137969970703,1825300,87,60.0,,0.6,52.2,-0.6199951171875,-0.007363362703785015
4,2016-06-30,6,0.08716863905325443,0.017263405034008805,HAS,82.73999786376953,84.12999725341797,82.58000183105469,83.98999786376953,72.82911682128906,2309100,85,60.0,,0.6,51.0,0.5499954223632812,0.006580466742212021
5,2016-07-06,1,0.08531952662721894,-0.021213046872348373,HAS,82.26000213623047,83.19999694824219,82.13999938964844,83.01000213623047,71.97933197021484,3448600,93,58.0,,0.58,53.94,-0.9300003051757812,-0.011054324682484129
6,2016-07-08,2,0.08568934911242604,0.004334558568555469,HAS,83.5999984741211,84.94000244140625,83.18000030517578,84.70999908447266,73.45344543457031,3082800,88,58.0,,0.58,51.04,1.7400054931640625,0.020913528329171704
7,2016-07-12,1,0.08531952662721894,-0.004315851258502201,HAS,85.73999786376953,87.0,85.73999786376953,86.25,74.78880310058594,1083400,92,58.0,,0.58,53.36,2.05999755859375,0.0242523840285358
8,2016-07-14,2,0.08568934911242604,0.004334558568555469,HAS,86.05999755859375,86.1500015258789,85.19000244140625,85.26000213623047,73.93037414550781,664800,94,58.0,,0.58,54.52,-0.8499984741210938,-0.009770097403690725
9,2016-07-18,9,0.08827810650887574,0.03021095880951563,HAS,83.5,84.25,78.52999877929688,79.81999969482422,69.21324920654297,7940300,97,58.0,,0.58,56.26,-1.9000015258789062,-0.022054573328221694
10,2016-07-19,4,0.08642899408284024,-0.02094644413164415,HAS,80.80999755859375,81.9000015258789,80.19999694824219,81.08000183105469,70.30582427978516,3289100,100,58.0,,0.58,57.99999999999999,-2.3499984741210938,-0.027893156962861654
