,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,COST_unscaled,COST_monthly,isPartial,scale,COST,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-20,1,0.054079416531604536,-0.029097680914831114,COST,142.72999572753906,143.5,142.02000427246094,142.69000244140625,126.85458374023438,2088400,92,83.0,,0.83,76.36,,
1,2016-05-23,1,0.054079416531604536,0.007548992964338419,COST,142.83999633789062,144.0,141.91000366210938,142.00999450683594,126.25006866455078,1828400,96,83.0,,0.83,79.67999999999999,0.5,0.0034843205574912606
2,2016-05-24,8,0.056915721231766615,0.052447028501213966,COST,142.57000732421875,143.47999572753906,142.3800048828125,142.57000732421875,126.74797058105467,2813100,94,83.0,,0.83,78.02,-0.5200042724609375,-0.0036111407809786833
3,2016-05-25,2,0.05448460291734198,-0.04271435487086028,COST,142.6199951171875,145.67999267578125,142.50999450683594,144.5399932861328,128.4993133544922,4156700,95,83.0,,0.83,78.85,2.1999969482421875,0.015333126664011543
4,2016-05-26,1,0.054079416531604536,-0.007436713567540276,COST,149.00999450683594,153.8800048828125,147.6999969482422,149.7100067138672,133.09555053710938,7679400,94,83.0,,0.83,78.02,8.20001220703125,0.056287840604720696
5,2016-05-27,3,0.05488978930307942,0.014984865286061133,COST,150.24000549316406,150.77000427246094,148.11000061035156,149.0800018310547,132.5354461669922,3349800,88,83.0,,0.83,73.03999999999999,-3.1100006103515625,-0.020210557003296103
6,2016-06-22,1,0.054079416531604536,-0.043020621217770394,COST,157.61000061035156,158.4199981689453,157.16000366210938,158.1199951171875,140.5722198486328,2094800,99,81.0,,0.81,80.19000000000001,7.649993896484375,0.05073949512304754
7,2016-06-23,3,0.05488978930307942,0.014984865286061133,COST,158.60000610351562,158.7899932861328,156.33999633789062,157.02999877929688,139.6032257080078,2912400,95,81.0,,0.81,76.95,0.3699951171875,0.002335532896502901
8,2016-06-24,28,0.0650194489465154,0.1845454277024834,COST,153.16000366210938,157.69000244140625,153.10000610351562,155.55999755859375,138.29635620117188,3996100,91,81.0,,0.81,73.71000000000001,-1.0999908447265625,-0.0069273310109940756
9,2016-07-18,2,0.05448460291734198,-0.1620260737343271,COST,166.55999755859375,167.86000061035156,165.9199981689453,167.50999450683594,148.92015075683594,1993800,99,83.0,,0.83,82.17,10.169998168945312,0.06449361412575438
10,2016-09-22,2,0.05448460291734198,0.0,COST,153.02999877929688,154.27999877929688,152.67999267578125,153.14999389648438,136.51974487304688,2502200,95,77.0,,0.77,73.15,-13.580001831054688,-0.08090076123958523
11,2016-09-29,2,0.05448460291734198,0.0074924326430305666,COST,149.19000244140625,149.69000244140625,147.1999969482422,147.49000549316406,131.4743194580078,4501300,97,77.0,,0.77,74.69,-4.589996337890625,-0.029751078391287655
12,2016-10-03,1,0.054079416531604536,-0.007436713567540276,COST,152.22000122070312,152.25,150.32000732421875,151.00999450683594,134.61215209960938,3197100,95,78.0,,0.78,74.10000000000001,2.55999755859375,0.017101994233688522
13,2016-10-25,17,0.06056239870340357,0.11987892228848862,COST,149.89999389648438,151.97000122070312,149.89999389648438,150.99000549316406,134.59429931640625,2060600,99,78.0,,0.78,77.22,-0.279998779296875,-0.0018390724420156435
14,2016-11-16,10,0.05772609400324149,-0.04683276687986737,COST,152.19000244140625,152.5500030517578,151.8000030517578,152.13999938964844,136.03683471679688,2152300,97,79.0,,0.79,76.63000000000001,0.5800018310546875,0.003816554756832291
15,2016-12-01,10,0.05772609400324149,0.0,COST,150.11000061035156,152.8800048828125,150.11000061035156,151.74000549316406,135.67918395996094,2305200,96,78.0,False,0.78,74.88,0.3300018310546875,0.002163237131779905
16,2016-12-06,5,0.0557001620745543,0.022310140702620718,COST,151.85000610351562,152.0800018310547,150.4199981689453,151.00999450683594,135.02647399902344,2245400,100,78.0,,0.78,78.0,-0.8000030517578125,-0.005232882170372988
17,2016-12-07,6,0.056105348460291735,0.007274420228707834,COST,150.60000610351562,153.91000366210938,150.47999572753906,153.85000610351562,137.56585693359375,2811300,99,78.0,,0.78,77.22,1.8300018310546875,0.012033152347588949
18,2016-12-08,2,0.05448460291734198,-0.0288875408036513,COST,156.63999938964844,160.89999389648438,156.60000610351562,157.58999633789062,140.91001892089844,5504300,96,78.0,,0.78,74.88,6.989990234375,0.0454160877659433
19,2016-12-09,14,0.05934683954619125,0.08924056281048287,COST,157.27999877929688,159.8300018310547,157.25999450683594,159.6999969482422,142.79666137695312,2614700,86,78.0,,0.78,67.08,-1.0699920654296875,-0.006650044164191016
20,2016-12-13,2,0.05448460291734198,-0.08192915858754124,COST,160.85000610351562,162.0399932861328,159.13999938964844,159.77000427246094,142.8592529296875,3583300,96,78.0,,0.78,74.88,2.209991455078125,0.01382713776987976
21,2016-12-14,2,0.05448460291734198,0.0,COST,160.0500030517578,160.4499969482422,158.25,158.99000549316406,142.16180419921875,2119100,92,78.0,,0.78,71.76,-1.589996337890625,-0.00981236980850142
22,2017-01-27,2,0.05448460291734198,0.0,COST,164.55999755859375,164.5800018310547,160.7100067138672,162.05999755859375,144.9068603515625,2341100,95,87.0,,0.87,82.65,4.1300048828125,0.025740136873575237
23,2017-01-31,5,0.0557001620745543,0.022310140702620718,COST,162.49000549316406,164.0,162.35000610351562,163.9499969482422,146.59678649902344,1796600,99,87.0,,0.87,86.13,-0.5800018310546875,-0.003524133093947057
24,2017-02-27,6,0.056105348460291735,0.03746216321515283,COST,177.3300018310547,177.85000610351562,176.5500030517578,177.6199951171875,159.24771118164062,2340400,94,86.0,,0.86,80.84,13.850006103515625,0.08445125672875387
25,2017-02-28,2,0.05448460291734198,-0.0288875408036513,COST,176.9499969482422,177.8699951171875,175.47999572753906,177.17999267578125,158.85324096679688,2992100,95,86.0,,0.86,81.7,0.019989013671875,0.00011239253857686649
26,2017-03-01,1,0.054079416531604536,-0.007436713567540276,COST,177.3699951171875,178.7100067138672,177.22000122070312,177.86000061035156,159.46287536621094,2352300,90,91.0,False,0.91,81.9,0.8400115966796875,0.004722615504241023
27,2017-03-02,24,0.06339870340356564,0.17232595078970236,COST,177.5,178.25,176.50999450683594,177.97999572753906,159.57049560546875,3190300,93,91.0,,0.91,84.63000000000001,-0.4600067138671875,-0.002574040045802861
