,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,IBKR_unscaled,IBKR_monthly,isPartial,scale,IBKR,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-06-21,0,0.008790368271954674,-0.03872366790582393,IBKR,36.720001220703125,36.83000183105469,36.25,36.34999847412109,34.999549865722656,293200,0,6.0,,0.06,0.0,,
1,2016-08-30,1,0.009144475920679886,0.0402835965194972,IBKR,35.93000030517578,36.20000076293945,35.779998779296875,36.18000030517578,34.9332275390625,357300,45,4.0,,0.04,1.8,-0.6300010681152344,-0.017105648568934484
2,2017-02-27,1,0.009144475920679886,0.0,IBKR,37.40999984741211,37.7400016784668,37.060001373291016,37.68999862670898,36.58797836303711,458600,46,5.0,,0.05,2.3000000000000003,1.5400009155273438,0.04254146085830901
3,2017-04-18,2,0.009498583569405101,0.038723667905824266,IBKR,34.43000030517578,34.88999938964844,34.13999938964844,34.790000915527344,33.77275848388672,885100,0,8.0,,0.08,0.0,-2.8500022888183594,-0.0755167504521993
4,2017-07-18,8,0.011623229461756375,0.2236802863107663,IBKR,37.72999954223633,37.90999984741211,37.220001220703125,37.59999847412109,36.60441589355469,707000,75,6.0,,0.06,4.5,3.020000457763672,0.08655776757220801
5,2017-08-15,1,0.009144475920679886,-0.21325859127467728,IBKR,41.41999816894531,41.43999862670898,40.72999954223633,41.27999877929688,40.186973571777344,410100,25,8.0,,0.08,2.0,3.529998779296868,0.09311524118979486
6,2017-09-13,2,0.009498583569405101,0.038723667905824266,IBKR,41.970001220703125,42.06999969482422,41.619998931884766,41.97999954223633,40.96646499633789,344100,0,4.0,,0.04,0.0,0.6300010681152415,0.015202728981491553
7,2017-09-20,1,0.009144475920679886,-0.037280047718461384,IBKR,43.5,44.060001373291016,43.15999984741211,43.959999084472656,42.89866256713867,442900,49,4.0,,0.04,1.96,1.9900016784667969,0.04730215576187957
8,2017-10-05,1,0.009144475920679886,0.0,IBKR,47.54999923706055,47.93999862670898,47.27999877929688,47.66999816894531,46.51909255981445,377300,60,12.0,,0.12,7.199999999999999,3.8799972534179616,0.08806166891701461
9,2018-01-16,2,0.009498583569405101,0.038723667905824266,IBKR,63.79999923706055,64.02999877929688,62.13999938964844,62.45000076293945,61.04913711547852,1512500,100,13.0,,0.13,13.0,16.090000152587898,0.33562788096584595
10,2018-02-26,3,0.009852691218130313,0.03728004771846094,IBKR,69.16000366210938,70.26000213623047,68.80000305175781,70.0,68.42977905273438,707300,24,9.0,,0.09,2.16,6.230003356933594,0.09729819577863208
11,2018-06-21,5,0.010560906515580736,0.07188039102932708,IBKR,67.19999694824219,67.30000305175781,65.29000091552734,66.44000244140625,65.12969207763672,800200,0,12.0,,0.12,0.0,-2.9599990844726562,-0.04212921996121455
12,2018-07-03,8,0.011623229461756375,0.100590128755365,IBKR,65.0199966430664,65.33000183105469,63.2400016784668,63.369998931884766,62.120235443115234,585000,9,16.0,,0.16,1.44,-1.970001220703125,-0.029271933601371036
13,2018-07-10,1,0.009144475920679886,-0.21325859127467728,IBKR,62.4900016784668,62.63999938964844,61.79999923706055,62.58000183105469,61.345821380615234,883400,18,16.0,,0.16,2.88,-2.69000244140625,-0.04117560639846107
