,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,PT_unscaled,PT_monthly,isPartial,scale,PT,Stock_Price_Change,Stock_Price_Change_Percent
0,2018-10-25,18,0.04110462074978204,0.09270632952464841,PT,14.350000381469728,15.100000381469728,11.800000190734863,12.489999771118164,12.489999771118164,172800,86,87.0,,0.87,74.82,,
1,2018-10-26,42,0.06202877070619006,0.5090461747300994,PT,12.239999771118164,12.4399995803833,11.880000114440918,12.199999809265137,12.199999809265137,19500,79,87.0,,0.87,68.73,-2.6600008010864276,-0.17615898899914606
2,2018-10-29,3,0.02802702702702703,-0.25494240619278274,PT,12.5,12.5,11.880000114440918,11.880000114440918,11.880000114440918,31500,83,87.0,,0.87,72.21,0.06000041961669922,0.004823185019339871
3,2018-10-30,2,0.027155187445510025,-0.031107101751329913,PT,11.880000114440918,12.039999961853027,11.880000114440918,11.880000114440918,11.880000114440918,7700,100,87.0,,0.87,87.0,-0.46000003814697266,-0.03680000305175779
4,2018-10-31,8,0.03238622493461203,0.1926349247118504,PT,11.880000114440918,11.960000038146973,11.75,11.800000190734863,11.800000190734863,9000,90,87.0,,0.87,78.3,-0.07999992370605469,-0.00664451195677096
5,2018-11-01,1,0.026283347863993025,-0.18844052009583545,PT,11.81999969482422,11.850000381469728,11.75,11.75,11.75,9300,100,80.0,False,0.8,80.0,-0.10999965667724432,-0.009197295679464479
6,2018-11-02,2,0.027155187445510025,0.033170796430822325,PT,11.859999656677246,11.859999656677246,11.649999618530272,11.649999618530272,11.649999618530272,5200,88,80.0,,0.8,70.4,0.009999275207517755,0.0008438206654537428
7,2018-11-06,3,0.02802702702702703,0.032105820785308437,PT,11.649999618530272,11.800000190734863,11.630000114440918,11.630000114440918,11.630000114440918,4000,90,80.0,,0.8,72.0,-0.05999946594238281,-0.005058977038722157
8,2018-11-07,2,0.027155187445510025,-0.031107101751329913,PT,11.649999618530272,11.649999618530272,10.010000228881836,10.5,10.5,4500,76,80.0,,0.8,60.8,-0.15000057220459162,-0.012711912693219252
9,2018-11-08,8,0.03238622493461203,0.1926349247118504,PT,10.75,11.0,10.75,11.0,11.0,3600,89,80.0,,0.8,71.2,-0.6499996185302717,-0.05579396049905394
10,2018-11-09,11,0.03500174367916303,0.08076022289821516,PT,11.75,11.75,11.0,11.699999809265137,11.699999809265137,1600,87,80.0,,0.8,69.60000000000001,0.75,0.06818181818181812
11,2018-11-12,15,0.038489102005231035,0.09963384561735622,PT,11.699999809265137,11.699999809265137,11.699999809265137,11.699999809265137,11.699999809265137,100,80,80.0,,0.8,64.0,-0.05000019073486328,-0.004255335381690539
12,2018-11-13,18,0.04110462074978204,0.06795478741477345,PT,11.699999809265137,11.699999809265137,10.18000030517578,11.0,11.0,2100,83,80.0,,0.8,66.4,0.0,0.0
13,2018-11-14,4,0.02889886660854403,-0.2969436019258914,PT,11.0600004196167,11.0600004196167,10.989999771118164,11.0,11.0,2200,96,80.0,,0.8,76.80000000000001,-0.6399993896484375,-0.054700803425793865
14,2018-11-15,1,0.026283347863993025,-0.09050592813829317,PT,11.6899995803833,11.699999809265137,11.6899995803833,11.699999809265137,11.699999809265137,1000,81,80.0,,0.8,64.8,0.6399993896484375,0.057866127067526696
15,2018-11-16,1,0.026283347863993025,0.0,PT,11.119999885559082,11.119999885559082,11.029999732971191,11.050000190734863,11.050000190734863,19500,79,80.0,,0.8,63.2,-0.5799999237060547,-0.04957264385993898
16,2018-11-19,1,0.026283347863993025,0.0,PT,11.050000190734863,11.050000190734863,11.050000190734863,11.050000190734863,11.050000190734863,100,86,80.0,,0.8,68.8,-0.06999969482421875,-0.006294936649695826
17,2018-11-20,16,0.03936094158674804,0.49756194646233465,PT,11.239999771118164,11.670000076293944,11.100000381469728,11.670000076293944,11.670000076293944,1100,88,80.0,,0.8,70.4,0.6199998855590803,0.05610858595992907
18,2018-11-21,8,0.03238622493461203,-0.17719892794648595,PT,11.75,12.0,11.75,11.880000114440918,11.880000114440918,3200,89,80.0,,0.8,71.2,0.32999992370605646,0.02827762823895852
19,2018-11-23,1,0.026283347863993025,-0.18844052009583545,PT,11.880000114440918,11.880000114440918,11.880000114440918,11.880000114440918,11.880000114440918,100,86,80.0,,0.8,68.8,-0.11999988555908203,-0.009999990463256836
20,2018-11-27,2,0.027155187445510025,-0.16152044579643043,PT,11.640000343322754,11.670000076293944,11.119999885559082,11.119999885559082,11.119999885559082,600,83,80.0,,0.8,66.4,-0.21000003814697443,-0.017676770717510837
21,2018-11-30,4,0.02889886660854403,0.06421164157061687,PT,11.130000114440918,11.130000114440918,11.130000114440918,11.130000114440918,11.130000114440918,300,79,80.0,,0.8,63.2,-0.5399999618530256,-0.04627249000194644
22,2018-12-03,3,0.02802702702702703,0.06634159286164465,PT,11.130000114440918,11.130000114440918,11.130000114440918,11.130000114440918,11.130000114440918,100,100,73.0,,0.73,73.0,0.0,0.0
23,2018-12-04,2,0.027155187445510025,-0.031107101751329913,PT,11.0600004196167,11.0600004196167,11.0600004196167,11.0600004196167,11.0600004196167,100,92,73.0,,0.73,67.16,-0.06999969482421875,-0.006289280692225341
24,2018-12-06,23,0.045463818657367046,0.6742222364914761,PT,11.06999969482422,11.149999618530272,11.029999732971191,11.029999732971191,11.029999732971191,7500,98,73.0,,0.73,71.53999999999999,0.08999919891357244,0.008137359448372461
25,2018-12-07,1,0.026283347863993025,-0.4218842886455597,PT,11.0,11.100000381469728,11.0,11.029999732971191,11.029999732971191,1500,94,73.0,,0.73,68.62,-0.04999923706054332,-0.004484236661089103
26,2018-12-10,1,0.026283347863993025,-0.18844052009583545,PT,10.300000190734863,10.300000190734863,10.300000190734863,10.300000190734863,10.300000190734863,700,90,73.0,,0.73,65.7,-0.8000001907348651,-0.07207208677851762
27,2018-12-11,2,0.027155187445510025,0.033170796430822325,PT,10.300000190734863,10.300000190734863,10.300000190734863,10.300000190734863,10.300000190734863,0,94,73.0,,0.73,68.62,0.0,0.0
28,2018-12-12,1,0.026283347863993025,-0.032105820785308326,PT,11.0,11.350000381469728,10.949999809265137,11.350000381469728,11.350000381469728,6100,92,73.0,,0.73,67.16,1.050000190734865,0.10194176420301138
29,2018-12-13,14,0.037617262423714035,0.43122035360069,PT,11.0,11.100000381469728,10.899999618530272,11.0,11.0,2700,95,73.0,,0.73,69.35,-0.25,-0.02202643097776069
30,2018-12-14,29,0.05069485614646905,0.34764873571743116,PT,11.0,11.0,11.0,11.0,11.0,1400,83,73.0,,0.73,60.59,-0.10000038146972834,-0.009009043066040667
31,2018-12-18,6,0.03064254577157803,-0.3955492114812458,PT,11.0,11.0,10.800000190734863,11.0,11.0,16500,96,73.0,,0.73,70.08,0.0,0.0
