,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,BIDU_unscaled,BIDU_monthly,isPartial,scale,BIDU,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-09,0,0.001,-0.9429514380009429,BIDU,165.83999633789062,172.36000061035156,165.10000610351562,169.49000549316406,169.49000549316406,6555200,50,47.0,,0.47,23.5,,
1,2016-06-15,1,0.009264462809917356,8.264462809917356,BIDU,161.61000061035156,162.17999267578125,160.05999755859375,161.02999877929688,161.02999877929688,3771000,51,38.0,,0.38,19.38,-10.180007934570312,-0.05906247330309489
2,2016-07-29,1,0.009264462809917356,0.0,BIDU,161.00999450683594,161.5500030517578,156.22999572753906,159.60000610351562,159.60000610351562,7858300,97,39.0,,0.39,37.83,-0.6299896240234375,-0.0038845088942806028
3,2016-09-08,2,0.017528925619834712,0.8920606601248884,BIDU,189.08999633789065,190.8699951171875,187.08999633789065,187.5,187.5,2383700,84,32.0,,0.32,26.88,29.319992065429688,0.18149174566116266
4,2016-10-27,19,0.15802479338842976,8.015087223008015,BIDU,173.47000122070312,176.5399932861328,172.61000061035156,175.10000610351562,175.10000610351562,3596000,81,24.0,,0.24,19.44,-14.330001831054688,-0.07507728924211776
5,2017-01-24,2,0.017528925619834712,-0.8890748391820511,BIDU,177.6999969482422,179.0,175.5,176.0500030517578,176.0500030517578,1600400,37,25.0,,0.25,9.25,2.4600067138671875,0.01393455764938234
6,2017-01-30,1,0.009264462809917356,-0.47147571900047147,BIDU,173.16000366210938,174.97000122070312,171.72000122070312,174.72000122070312,174.72000122070312,1358900,62,25.0,,0.25,15.5,-4.029998779296875,-0.022513959660876437
7,2017-02-02,2,0.017528925619834712,0.8920606601248884,BIDU,173.50999450683594,175.17999267578125,172.4600067138672,173.39999389648438,173.39999389648438,962600,21,32.0,,0.32,6.72,0.209991455078125,0.0012001569046871108
8,2017-02-08,1,0.009264462809917356,-0.47147571900047147,BIDU,179.16000366210938,182.41000366210935,177.52999877929688,181.5,181.5,2114200,40,32.0,,0.32,12.8,7.230010986328097,0.04127189912440077
9,2017-02-13,1,0.009264462809917356,0.0,BIDU,184.5,185.44000244140625,183.3300018310547,184.30999755859372,184.30999755859372,2428500,39,32.0,,0.32,12.48,3.0299987792969034,0.016610924392664206
