,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,SMH_unscaled,SMH_monthly,isPartial,scale,SMH,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-17,4,0.016015015015015014,0.16364826532838728,SMH,52.27000045776367,52.560001373291016,51.86000061035156,51.95000076293945,48.77580642700195,2106100,51,78.0,,0.78,39.78,,
1,2016-06-17,1,0.013762762762762764,-0.3292843553344066,SMH,56.41999816894531,56.41999816894531,55.61000061035156,55.97999954223633,52.559566497802734,5075200,86,82.0,,0.82,70.52,3.859996795654297,0.07343981535007726
2,2016-06-29,1,0.013762762762762764,0.0,SMH,55.560001373291016,56.13999938964844,55.33000183105469,56.0099983215332,52.58773422241211,5453700,100,82.0,,0.82,82.0,-0.279998779296875,-0.004962757681388763
3,2016-07-13,653,0.5032522522522522,35.56622299803622,SMH,59.41999816894531,59.650001525878906,59.2400016784668,59.369998931884766,55.742435455322266,989500,92,87.0,,0.87,80.04,3.5100021362304688,0.0625223044957437
4,2016-09-01,2,0.014513513513513515,-0.9711605592452695,SMH,66.2699966430664,66.81999969482422,66.0199966430664,66.81999969482422,62.73722839355469,1811200,79,69.0,False,0.69,54.51,7.1699981689453125,0.12020113974070301
5,2016-09-02,2,0.014513513513513515,0.0,SMH,67.08000183105469,67.08000183105469,66.51000213623047,66.76000213623047,62.6808967590332,2209400,69,69.0,,0.69,47.61,0.26000213623046875,0.0038910825713549535
6,2016-09-08,1,0.013762762762762764,-0.051727705358990295,SMH,66.08999633789062,66.33999633789062,65.76000213623047,66.18000030517578,62.13633728027344,3740000,77,69.0,,0.69,53.13,-0.7400054931640625,-0.011031685643477118
7,2016-10-05,10,0.02051951951951952,0.4909447959851625,SMH,68.98999786376953,69.72000122070312,68.87999725341797,69.16999816894531,64.94364166259766,4026500,80,70.0,,0.7,56.0,3.3800048828125,0.05094972971655087
8,2016-10-18,1,0.013762762762762764,-0.3292843553344066,SMH,68.11000061035156,68.45999908447266,67.91000366210938,68.0999984741211,63.93902587890625,2698900,71,70.0,,0.7,49.7,-1.2600021362304688,-0.01807231948034327
9,2016-10-24,1,0.013762762762762764,0.0,SMH,68.33000183105469,68.7699966430664,68.20999908447266,68.7699966430664,64.56807708740234,1299100,63,70.0,,0.7,44.1,0.30999755859375,0.004528156043520415
10,2016-11-01,2,0.014513513513513515,0.05454942177612909,SMH,68.36000061035156,68.66000366210938,66.95999908447266,67.63999938964844,63.50713348388672,2695200,58,77.0,False,0.77,44.66,-0.10999298095703125,-0.001599432693416003
