,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,TW_unscaled,TW_monthly,isPartial,scale,TW,Stock_Price_Change,Stock_Price_Change_Percent
0,2019-04-04,1,0.20152083333333334,-0.012757705654215079,TW,34.2599983215332,36.25,33.68000030517578,35.810001373291016,35.33981704711914,32661800,91,48.0,,0.48,43.68,,
1,2019-04-05,10,0.20933333333333334,0.038767703918122676,TW,35.400001525878906,36.79999923706055,34.91999816894531,36.58000183105469,36.099708557128906,4490500,79,48.0,,0.48,37.92,0.5499992370605469,0.015172392746497954
2,2019-04-08,4,0.204125,0.01292256797270741,TW,37.0,39.40999984741211,36.59000015258789,39.220001220703125,38.705039978027344,3526100,78,48.0,,0.48,37.44,2.6100006103515625,0.07092393109951711
3,2019-04-10,2,0.2023888888888889,-0.00850513710281009,TW,38.959999084472656,40.97999954223633,38.61000061035156,40.2599983215332,39.73138427734375,4579900,75,48.0,,0.48,36.0,1.5699996948242188,0.03983759707949641
4,2019-04-11,1,0.20152083333333334,-0.004289047488333808,TW,41.16999816894531,42.97999954223633,40.380001068115234,42.060001373291016,41.50774765014648,2523800,89,48.0,,0.48,42.72,2.0,0.04880429532310471
5,2019-04-12,7,0.20672916666666666,0.025845135945415043,TW,43.130001068115234,43.31399917602539,41.0099983215332,41.869998931884766,41.32024383544922,1700300,93,48.0,,0.48,44.64,0.3339996337890625,0.007771047867528358
6,2019-04-15,3,0.20325694444444445,-0.016795995834593014,TW,41.84999847412109,44.25,41.5099983215332,42.33000183105469,41.774200439453125,1609900,100,48.0,,0.48,48.0,0.9360008239746094,0.021609660658919116
7,2019-04-16,5,0.20499305555555555,0.00854146024804403,TW,43.13999938964844,43.22999954223633,40.06999969482422,40.81999969482422,40.28403091430664,1636300,82,48.0,,0.48,39.36,-1.0200004577636719,-0.02305085780256888
8,2019-04-17,10,0.20933333333333334,0.021172803956773567,TW,41.09999847412109,41.27000045776367,38.630001068115234,39.400001525878906,38.88267517089844,1460300,89,48.0,,0.48,42.72,-1.9599990844726562,-0.04533886433558043
9,2019-04-18,12,0.21106944444444445,0.008293524416135956,TW,39.4900016784668,39.73600006103516,38.209999084472656,39.36000061035156,38.84320068359375,778300,84,48.0,,0.48,40.32,-1.5340003967285085,-0.03716986623972607
10,2019-04-23,2,0.2023888888888889,0.004307522657569063,TW,40.34999847412109,40.75,38.84999847412109,39.29999923706055,38.78398895263672,909500,89,48.0,,0.48,42.72,1.0139999389648366,0.025518420007230702
