,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,SPXS_unscaled,SPXS_monthly,isPartial,scale,SPXS,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,2,0.023613065326633167,-0.05051525560719328,SPXS,752.5,758.0,738.0,740.0,725.118408203125,159132,60,11.0,,0.11,6.6,,
1,2016-05-03,1,0.02235678391959799,-0.05320280910832098,SPXS,756.5,769.0,753.0,759.5,744.226318359375,178278,24,11.0,,0.11,2.64,11.0,0.014511873350923521
2,2016-05-04,5,0.027381909547738694,0.22476961114857286,SPXS,773.0,779.0,763.5,772.0,756.474853515625,123446,84,11.0,,0.11,9.24,10.0,0.013003901170351106
3,2016-05-05,2,0.023613065326633167,-0.1376399339328317,SPXS,764.0,779.0,761.5,772.5,756.96484375,78440,37,11.0,,0.11,4.07,0.0,0.0
4,2016-05-10,1,0.02235678391959799,-0.05320280910832098,SPXS,753.5,754.0,734.0,734.5,719.72900390625,91398,85,11.0,,0.11,9.35,-25.0,-0.03209242618741981
5,2016-05-12,1,0.02235678391959799,0.0,SPXS,746.0,767.5,744.0,753.5,738.346923828125,102942,63,11.0,,0.11,6.93,13.5,0.017904509283819703
6,2016-05-13,2,0.023613065326633167,0.056192402787143214,SPXS,758.5,778.5,751.5,775.0,759.4146118164062,114204,26,11.0,,0.11,2.86,11.0,0.014332247557003353
7,2016-05-19,1,0.02235678391959799,-0.05320280910832098,SPXS,782.0,795.5,776.0,779.5,763.8240356445312,166460,50,11.0,,0.11,5.5,17.0,0.021836865767501656
8,2016-05-23,2,0.023613065326633167,0.056192402787143214,SPXS,765.0,770.5,760.5,768.0,752.5554809570312,62226,25,11.0,,0.11,2.75,-25.0,-0.031426775612822144
9,2016-05-24,2,0.023613065326633167,0.0,SPXS,757.0,757.5,734.0,738.5,723.6486206054688,129282,100,11.0,,0.11,11.0,-13.0,-0.01687216093445809
10,2016-05-26,2,0.023613065326633167,0.0,SPXS,720.0,726.0,718.0,722.0,707.4803466796875,66808,13,11.0,,0.11,1.43,-31.5,-0.04158415841584162
11,2016-06-01,3,0.024869346733668342,0.0,SPXS,724.0,726.5,710.0,712.5,698.1714477539062,88942,26,16.0,False,0.16,4.16,0.5,0.0006887052341597588
12,2016-06-03,2,0.023613065326633167,-0.05051525560719328,SPXS,712.5,726.0,707.5,712.5,698.1714477539062,109922,13,16.0,,0.16,2.08,-0.5,-0.0006882312456985007
13,2016-06-07,-2,0.018587939698492463,-0.2128112364332837,SPXS,699.0,699.5,691.0,697.5,683.4730834960938,76568,70,16.0,,0.16,11.2,-26.5,-0.03650137741046833
14,2016-06-09,6,0.028638190954773872,0.5406866720735335,SPXS,699.5,702.0,692.0,694.5,680.533447265625,99586,13,16.0,,0.16,2.08,2.5,0.0035739814152966343
