,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,GOAT_unscaled,GOAT_monthly,isPartial,scale,GOAT,Stock_Price_Change,Stock_Price_Change_Percent
0,2020-02-20,3,0.018747858017135865,0.03374502260916534,GOAT,31.76569938659668,31.95159912109375,31.76000022888184,31.95159912109375,31.030611038208008,1741,72,82.0,,0.82,59.04,,
1,2020-02-25,7,0.021195838433292535,0.2095411049800937,GOAT,29.86000061035156,29.86000061035156,29.86000061035156,29.86000061035156,28.99930191040039,0,78,82.0,,0.82,63.96,-2.091598510742191,-0.06546146572555622
2,2020-02-26,1,0.017523867809057528,-0.1732401686204308,GOAT,29.76000022888184,29.76000022888184,29.76000022888184,29.76000022888184,28.90218544006348,0,79,82.0,,0.82,64.78,-0.10000038146971946,-0.0033489745286560124
3,2020-02-28,1,0.017523867809057528,0.0,GOAT,28.459999084472656,28.459999084472656,28.459999084472656,28.459999084472656,27.63965606689453,0,79,82.0,,0.82,64.78,-1.3000011444091832,-0.0436828338175731
4,2020-03-02,4,0.01935985312117503,-0.25801003893606045,GOAT,29.36000061035156,29.36000061035156,29.36000061035156,29.36000061035156,28.51371383666992,0,78,69.0,,0.69,53.81999999999999,0.9000015258789027,0.03162338562301392
5,2020-03-03,9,0.02241982864137087,0.15805778592653463,GOAT,28.780000686645508,28.780000686645508,28.780000686645508,28.780000686645508,27.9504337310791,0,82,69.0,,0.69,56.58,-0.5799999237060511,-0.019754765383130035
6,2020-03-09,2,0.018135862913096695,0.03492351749668221,GOAT,26.5,27.100000381469727,24.440000534057617,26.36039924621582,25.600574493408203,15273,89,69.0,,0.69,61.41,-1.6800003051757812,-0.058373879954607966
7,2020-03-10,2,0.018135862913096695,0.0,GOAT,27.31999969482422,27.356000900268555,26.420000076293945,27.356000900268555,26.567480087280277,3551,78,69.0,,0.69,53.81999999999999,0.2560005187988281,0.009446513475840135
8,2020-03-11,3,0.018747858017135865,0.03374502260916534,GOAT,26.513399124145508,26.513399124145508,26.162900924682617,26.162900924682617,25.408769607543945,740,78,69.0,,0.69,53.81999999999999,-0.8426017761230469,-0.030801350650444537
9,2020-03-12,8,0.021807833537331702,0.16321734021022394,GOAT,24.0,24.989999771118164,23.684999465942383,23.85029983520508,23.16282844543457,11825,65,69.0,,0.69,44.85,-1.5233993530273438,-0.057457715847531565
10,2020-03-13,2,0.018135862913096695,-0.16837851490149858,GOAT,25.549999237060547,25.549999237060547,24.4596004486084,25.322200775146484,24.59230232238769,8446,67,69.0,,0.69,46.23,0.5599994659423828,0.022408942419823275
11,2020-03-16,10,0.02303182374541004,0.2699601808733214,GOAT,22.270000457763672,24.0,22.0,22.993900299072266,22.331113815307617,6747,62,69.0,,0.69,42.78,-1.5499992370605469,-0.06066533398608698
