,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,SPY_unscaled,SPY_monthly,isPartial,scale,SPY,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,4,0.0021897679952409283,0.687757909215956,SPY,206.9199981689453,208.17999267578125,206.41000366210935,207.97000122070312,188.56121826171875,62188000,76,56.0,,0.56,42.56,,
1,2016-05-03,12,0.004569303985722784,1.0866612333604997,SPY,206.5200042724609,206.8000030517578,205.27999877929688,206.16000366210935,186.92013549804688,106422100,77,56.0,,0.56,43.120000000000005,-1.3799896240234375,-0.006628829246682844
2,2016-05-04,3,0.001892325996430696,-0.5858612159875016,SPY,204.9900054931641,205.8500061035156,204.4199981689453,205.00999450683597,185.8774261474609,92243800,75,56.0,,0.56,42.00000000000001,-0.9499969482422159,-0.004593795620034147
3,2016-05-05,6,0.002784651992861392,0.47154982709839666,SPY,205.55999755859372,205.97999572753903,204.47000122070312,204.97000122070312,185.8412170410156,67619200,83,56.0,,0.56,46.48,0.1299896240234375,0.0006314773872684309
4,2016-05-06,1,0.001297441998810232,-0.5340739158299508,SPY,204.05999755859372,205.7700042724609,203.8800048828125,205.72000122070312,186.5211944580078,89315000,78,56.0,,0.56,43.68000000000001,-0.209991455078125,-0.001019474994823688
5,2016-05-09,4,0.0021897679952409283,0.37299515106303627,SPY,205.57000732421875,206.3999938964844,205.3600006103516,205.88999938964844,186.6753387451172,74374900,75,56.0,,0.56,42.00000000000001,0.6299896240234943,0.0030616203088051908
6,2016-05-10,3,0.001892325996430696,-0.13583265417006263,SPY,206.72000122070312,208.47000122070312,206.63999938964844,208.4499969482422,188.99639892578125,77472200,83,56.0,,0.56,46.48,2.0700073242187216,0.010029105549571371
7,2016-05-11,18,0.006353955978584176,2.3577491354919835,SPY,207.91000366210935,208.5399932861328,206.5,206.5,187.22840881347656,81727000,84,56.0,,0.56,47.040000000000006,0.0699920654296875,0.00033574166556271656
8,2016-05-12,11,0.004271861986912552,-0.32768467371968923,SPY,207.2899932861328,207.4900054931641,205.3699951171875,206.55999755859372,187.2828063964844,89586300,80,56.0,,0.56,44.8,-1.0499877929687216,-0.005034946901182891
9,2016-05-13,16,0.005759071980963712,0.34814092744743097,SPY,206.2100067138672,206.8600006103516,204.3800048828125,204.75999450683597,185.65077209472656,96474600,85,56.0,,0.56,47.6,-0.6300048828125,-0.0030363143579619223
