,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,TLT_unscaled,TLT_monthly,isPartial,scale,TLT,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-03,2,0.002658374792703151,-0.7139032661074425,TLT,129.5500030517578,130.02000427246094,129.35000610351562,129.42999267578125,115.5297393798828,10736700,35,22.0,,0.22,7.7,,
1,2016-06-10,11,0.01758374792703151,5.6144728633811605,TLT,134.7899932861328,135.3300018310547,134.25999450683594,134.77999877929688,120.5524444580078,6984600,42,29.0,,0.29,12.18,5.30999755859375,0.04083985066995144
2,2016-06-15,1,0.001,-0.943129303027445,TLT,135.52000427246094,136.22999572753906,135.30999755859375,135.8000030517578,121.4647979736328,7953200,35,29.0,,0.29,10.15,0.899993896484375,0.006650364917661911
3,2016-06-16,4,0.005975124378109453,4.975124378109452,TLT,136.74000549316406,137.55999755859375,136.17999267578125,136.4600067138672,122.05509948730467,10372700,54,29.0,,0.29,15.659999999999998,1.3300018310546875,0.009762914723382199
4,2016-06-24,6,0.009291873963515756,8.291873963515755,TLT,136.61000061035156,136.61000061035156,135.3000030517578,135.77999877929688,121.44689178466795,17155000,100,29.0,,0.29,29.0,-0.9499969482421875,-0.006906055285712975
5,2016-06-27,2,0.002658374792703151,1.6583747927031514,TLT,138.44000244140625,139.58999633789062,138.39999389648438,139.1699981689453,124.4790267944336,16577100,71,29.0,,0.29,20.59,2.9799957275390625,0.02181389147372026
6,2016-07-05,1,0.001,-0.6238303181534623,TLT,141.85000610351562,142.91000366210938,141.6999969482422,142.3300018310547,127.53960418701172,8840800,77,34.0,,0.34,26.180000000000003,3.32000732421875,0.023783991771031854
7,2016-07-06,5,0.007633499170812604,6.633499170812604,TLT,142.7899932861328,143.0,141.9600067138672,142.55999755859375,127.7457275390625,14352800,95,34.0,,0.34,32.300000000000004,0.089996337890625,0.000629741344793544
8,2016-07-07,2,0.002658374792703151,-0.651748859439496,TLT,142.08999633789062,143.19000244140625,141.77999877929688,142.5500030517578,127.73673248291016,9676400,55,34.0,,0.34,18.700000000000003,0.19000244140625,0.0013286884014422906
9,2016-07-12,2,0.002658374792703151,0.0,TLT,140.4199981689453,140.86000061035156,139.63999938964844,140.0,125.45172119140624,15810600,59,34.0,,0.34,20.06,-2.3300018310546875,-0.016272098549674485
10,2016-07-13,2,0.002658374792703151,0.0,TLT,141.3699951171875,141.77000427246094,140.9499969482422,141.64999389648438,126.93029022216795,8181700,56,34.0,,0.34,19.040000000000003,0.910003662109375,0.006460341176816042
11,2016-07-14,1,0.001,-0.6238303181534623,TLT,139.27999877929688,139.83999633789062,139.08999633789062,139.58999633789062,125.08430480957033,10817000,39,34.0,,0.34,13.260000000000002,-1.9300079345703125,-0.013613655049774298
12,2016-07-15,2,0.002658374792703151,1.6583747927031514,TLT,138.88999938964844,139.11000061035156,138.17999267578125,138.38999938964844,124.00904846191406,9958600,38,34.0,,0.34,12.920000000000002,-0.7299957275390625,-0.005220221300458294
13,2016-07-25,16,0.025875621890547266,8.73362445414847,TLT,138.94000244140625,139.25999450683594,138.58999633789062,138.6999969482422,124.28680419921876,4243800,36,34.0,,0.34,12.24,0.149993896484375,0.0010782394926767136
14,2016-07-26,1,0.001,-0.9613535858488752,TLT,139.52000427246094,139.52000427246094,138.4600067138672,138.9199981689453,124.4840087890625,5243400,58,34.0,,0.34,19.72,0.260009765625,0.0018670815444576938
15,2016-07-27,4,0.005975124378109453,4.975124378109452,TLT,139.5500030517578,140.64999389648438,139.39999389648438,140.64999389648438,126.03418731689452,8508100,40,34.0,,0.34,13.6,1.1299896240234375,0.008099122630592426
16,2016-08-01,1,0.001,-0.8326394671107411,TLT,139.77999877929688,140.5,139.61000061035156,139.77000427246094,125.47430419921876,9809300,51,27.0,False,0.27,13.77,-0.149993896484375,-0.0010664337219578046
17,2016-08-25,1,0.001,-0.6238303181534623,TLT,139.25999450683594,139.77999877929688,138.9600067138672,139.1699981689453,124.93566131591795,5855500,51,27.0,,0.27,13.77,-0.720001220703125,-0.00512456384842086
18,2016-08-26,4,0.005975124378109453,4.975124378109452,TLT,139.72999572753906,140.69000244140625,138.22000122070312,138.36000061035156,124.20855712890624,12962500,58,27.0,,0.27,15.66,0.910003662109375,0.006510256617945798
19,2016-09-13,4,0.005975124378109453,4.975124378109452,TLT,135.8699951171875,136.0,133.36000061035156,134.0500030517578,120.5583038330078,15645400,71,28.0,,0.28,19.880000000000003,-4.69000244140625,-0.03333571938318447
