,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,PLUG_unscaled,PLUG_monthly,isPartial,scale,PLUG,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-07-20,2,0.007185567010309278,-0.12547051442910917,PLUG,1.8200000524520876,1.840000033378601,1.7599999904632568,1.7899999618530271,1.7899999618530271,2407400,83,72.0,,0.72,59.76,,
1,2016-08-30,1,0.00684192439862543,-0.04782400765184114,PLUG,1.6799999475479126,1.6799999475479126,1.5499999523162842,1.559999942779541,1.559999942779541,2051400,89,68.0,,0.68,60.52,-0.16000008583068848,-0.08695656680880426
2,2016-08-31,1,0.00684192439862543,0.0,PLUG,1.5700000524520874,1.600000023841858,1.5099999904632568,1.5499999523162842,1.5499999523162842,2572900,82,68.0,,0.68,55.760000000000005,-0.07999992370605469,-0.04761900369272076
3,2016-10-10,1,0.00684192439862543,0.0,PLUG,1.690000057220459,1.690000057220459,1.649999976158142,1.690000057220459,1.690000057220459,690500,89,64.0,,0.64,56.96,0.09000003337860107,0.05625002002343504
4,2017-03-29,3,0.007529209621993127,0.10045203415369164,PLUG,1.5,1.5199999809265137,1.3799999952316284,1.4800000190734863,1.4800000190734863,5266200,84,69.0,,0.69,57.96,-0.1700000762939453,-0.10059175771481588
5,2017-03-31,1,0.00684192439862543,-0.0912825193975354,PLUG,1.4700000286102295,1.4700000286102295,1.3300000429153442,1.3799999952316284,1.3799999952316284,4749400,82,69.0,,0.69,56.58,-0.04999995231628418,-0.032894705884013775
6,2017-04-03,1,0.00684192439862543,0.0,PLUG,1.3700000047683716,1.3700000047683716,1.309999942779541,1.3200000524520874,1.3200000524520874,2948900,76,71.0,,0.71,53.96,-0.10000002384185791,-0.06802722577930842
7,2017-04-05,5,0.008216494845360824,0.20090406830738305,PLUG,2.380000114440918,2.400000095367432,1.909999966621399,2.25,2.25,137143200,77,71.0,,0.71,54.67,1.0300000905990605,0.7518248810321753
8,2017-04-06,2,0.007185567010309278,-0.12547051442910917,PLUG,2.380000114440918,2.400000095367432,2.0199999809265137,2.140000104904175,2.140000104904175,40948100,82,71.0,,0.71,58.22,0.0,0.0
9,2017-04-10,2,0.007185567010309278,0.0,PLUG,2.049999952316284,2.4800000190734863,1.9700000286102293,2.450000047683716,2.450000047683716,45650700,79,71.0,,0.71,56.09,0.07999992370605424,0.03333330021964298
10,2017-04-11,5,0.008216494845360824,0.14347202295552375,PLUG,2.4200000762939453,2.700000047683716,2.380000114440918,2.640000104904175,2.640000104904175,46783800,84,71.0,,0.71,59.64,0.2200000286102295,0.08870968827347836
11,2017-04-12,1,0.00684192439862543,-0.16729401923881215,PLUG,2.630000114440918,2.640000104904175,2.299999952316284,2.319999933242798,2.319999933242798,23472700,76,71.0,,0.71,53.96,-0.059999942779541016,-0.02222220063700142
12,2017-04-13,1,0.00684192439862543,0.0,PLUG,2.2799999713897705,2.380000114440918,2.200000047683716,2.240000009536743,2.240000009536743,13177500,80,71.0,,0.71,56.8,-0.25999999046325684,-0.09848484095900978
13,2017-04-18,1,0.00684192439862543,0.0,PLUG,2.259999990463257,2.2699999809265137,2.180000066757202,2.25,2.25,7283800,75,71.0,,0.71,53.25,-0.1100001335144043,-0.04621854127105551
14,2017-04-27,6,0.008560137457044674,0.2511300853842291,PLUG,2.3499999046325684,2.380000114440918,2.259999990463257,2.3299999237060547,2.3299999237060547,7456900,76,71.0,,0.71,53.96,0.1100001335144043,0.04845820900381992
15,2017-05-09,3,0.007529209621993127,-0.12043356081894818,PLUG,2.009999990463257,2.140000104904175,1.9800000190734863,2.0899999141693115,2.0899999141693115,14269400,81,73.0,,0.73,59.13,-0.24000000953674316,-0.1008403352926398
16,2017-05-10,6,0.008560137457044674,0.13692377909630293,PLUG,2.059999942779541,2.1700000762939453,2.049999952316284,2.150000095367432,2.150000095367432,7740700,80,73.0,,0.73,58.4,0.029999971389770508,0.014018677532314339
17,2017-05-19,2,0.007185567010309278,-0.16057808109193095,PLUG,1.9299999475479128,1.9700000286102293,1.8899999856948853,1.899999976158142,1.899999976158142,4748100,78,73.0,,0.73,56.94,-0.20000004768371604,-0.09216591735115875
18,2017-05-26,1,0.00684192439862543,-0.04782400765184114,PLUG,1.8799999952316284,1.9299999475479128,1.8600000143051147,1.899999976158142,1.899999976158142,5703900,87,73.0,,0.73,63.51,-0.04000008106231645,-0.020304609381419758
19,2017-06-07,1,0.00684192439862543,0.0,PLUG,1.850000023841858,2.0999999046325684,1.8200000524520876,2.069999933242798,2.069999933242798,13965600,83,76.0,,0.76,63.08,0.16999995708465554,0.0880828817123247
20,2017-06-26,2,0.007185567010309278,-0.16057808109193095,PLUG,2.25,2.2699999809265137,2.180000066757202,2.180000066757202,2.180000066757202,4036500,89,76.0,,0.76,67.64,0.1700000762939453,0.08095242095912858
21,2017-07-31,2,0.007185567010309278,0.0,PLUG,2.319999933242798,2.319999933242798,2.2300000190734863,2.259999990463257,2.259999990463257,2887900,94,81.0,,0.81,76.14,0.04999995231628418,0.02202641089709445
22,2017-08-01,1,0.00684192439862543,-0.04782400765184114,PLUG,2.2699999809265137,2.3399999141693115,2.240000009536743,2.309999942779541,2.309999942779541,3417700,100,78.0,False,0.78,78.0,0.019999980926513672,0.008620681681899223
