,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,AMD_unscaled,AMD_monthly,isPartial,scale,AMD,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-04,2,0.0032476961114857273,0.0,AMD,3.539999961853028,3.670000076293945,3.539999961853028,3.5999999046325684,3.5999999046325684,8688500,86,56.0,,0.56,48.16,,
1,2016-05-05,1,0.0030229265003371545,-0.06920894179528003,AMD,3.640000104904175,3.799999952316284,3.609999895095825,3.660000085830689,3.660000085830689,21529600,84,56.0,,0.56,47.040000000000006,0.1299998760223393,0.03542230880649355
2,2016-05-09,2,0.0032476961114857273,-0.5254688167099084,AMD,3.660000085830689,3.680000066757202,3.450000047683716,3.650000095367432,3.650000095367432,16299400,96,56.0,,0.56,53.760000000000005,-0.11999988555908203,-0.03157891764865317
3,2016-05-10,4,0.0036972353337828725,0.13841788359055984,AMD,3.660000085830689,3.680000066757202,3.559999942779541,3.640000104904175,3.640000104904175,9415100,84,56.0,,0.56,47.040000000000006,0.0,0.0
4,2016-05-11,2,0.0032476961114857273,-0.12158793847650307,AMD,3.609999895095825,3.680000066757202,3.5999999046325684,3.650000095367432,3.650000095367432,7540300,82,56.0,,0.56,45.92,0.0,0.0
5,2016-05-12,19,0.007068779501011463,1.1765520105197589,AMD,3.650000095367432,3.680000066757202,3.549999952316284,3.5899999141693115,3.5899999141693115,9255800,86,56.0,,0.56,48.16,0.0,0.0
6,2016-05-16,1,0.0030229265003371545,-0.06920894179528003,AMD,3.670000076293945,3.849999904632568,3.650000095367432,3.7899999618530273,3.7899999618530273,14703800,86,56.0,,0.56,48.16,0.16999983787536577,0.04619560728029248
7,2016-05-17,24,0.008192627556754328,1.710164324485092,AMD,3.799999952316284,3.9800000190734863,3.690000057220459,3.7899999618530273,3.7899999618530273,20066100,83,56.0,,0.56,46.48,0.1300001144409184,0.0337662643275638
8,2016-05-20,1,0.0030229265003371545,-0.6310186836401548,AMD,3.829999923706055,3.900000095367432,3.809999942779541,3.869999885559082,3.869999885559082,13799600,88,56.0,,0.56,49.28,-0.07999992370605424,-0.0201004832469015
9,2016-05-23,1,0.0030229265003371545,-0.42645741822679006,AMD,3.900000095367432,4.199999809265137,3.880000114440918,4.039999961853027,4.039999961853027,35467000,80,56.0,,0.56,44.8,0.29999971389770463,0.07692300168250132
10,2016-05-24,2,0.0032476961114857273,0.07435497062978658,AMD,4.090000152587891,4.210000038146973,3.920000076293945,4.199999809265137,4.199999809265137,34283900,92,56.0,,0.56,51.52,0.010000228881835938,0.0023810069847565174
11,2016-05-25,2,0.0032476961114857273,0.0,AMD,4.239999771118164,4.349999904632568,4.150000095367432,4.179999828338623,4.179999828338623,24703600,91,56.0,,0.56,50.96000000000001,0.1399998664855957,0.033254124754644065
12,2016-05-26,2,0.0032476961114857273,0.0,AMD,4.190000057220459,4.380000114440918,4.170000076293945,4.349999904632568,4.349999904632568,22625700,94,56.0,,0.56,52.64000000000001,0.03000020980834961,0.006896600107140438
13,2016-05-27,6,0.004146774556080018,0.2768357671811197,AMD,4.389999866485596,4.630000114440918,4.369999885559082,4.599999904632568,4.599999904632568,34429600,88,56.0,,0.56,49.28,0.25,0.057077624079448386
14,2016-05-31,3,0.0034724657226342997,0.0,AMD,4.670000076293945,4.710000038146973,4.5,4.570000171661377,4.570000171661377,25379200,100,56.0,,0.56,56.00000000000001,0.07999992370605469,0.017278600805329614
15,2016-06-01,4,0.0036972353337828725,0.06472910868017356,AMD,4.599999904632568,4.639999866485596,4.380000114440918,4.429999828338623,4.429999828338623,29696400,100,65.0,False,0.65,65.0,-0.07000017166137695,-0.014862032079497989
16,2016-06-02,2,0.0032476961114857273,-0.12158793847650307,AMD,4.369999885559082,4.400000095367432,4.070000171661377,4.239999771118164,4.239999771118164,35335000,79,65.0,,0.65,51.35,-0.23999977111816406,-0.05172409009139556
17,2016-06-03,17,0.0066192402787143174,1.038134126929199,AMD,4.159999847412109,4.199999809265137,4.079999923706055,4.159999847412109,4.159999847412109,17561800,69,65.0,,0.65,44.85,-0.20000028610229492,-0.04545460949259217
18,2016-06-06,1,0.0030229265003371545,-0.06920894179528003,AMD,4.199999809265137,4.510000228881836,4.170000076293945,4.46999979019165,4.46999979019165,21329600,69,65.0,,0.65,44.85,0.3100004196166992,0.0738096270701829
19,2016-06-07,4,0.0036972353337828725,0.22306491188935973,AMD,4.559999942779541,4.670000076293945,4.46999979019165,4.510000228881836,4.510000228881836,20676200,67,65.0,,0.65,43.55,0.15999984741210938,0.03547668276987603
20,2016-06-08,3,0.0034724657226342997,-0.060793969238251644,AMD,4.539999961853027,4.559999942779541,4.380000114440918,4.460000038146973,4.460000038146973,16074300,64,65.0,,0.65,41.6,-0.1100001335144043,-0.023554632059385128
21,2016-06-09,4,0.0036972353337828725,0.06472910868017356,AMD,4.409999847412109,4.539999961853027,4.320000171661377,4.519999980926514,4.519999980926514,16219100,63,65.0,,0.65,40.95,-0.019999980926513672,-0.004385960784535126
22,2016-06-10,1,0.0030229265003371545,-0.1823819077147547,AMD,4.400000095367432,4.46999979019165,4.300000190734863,4.320000171661377,4.320000171661377,15106500,65,65.0,,0.65,42.25,-0.07000017166137695,-0.015418540143072201
23,2016-06-13,2,0.0032476961114857273,0.07435497062978658,AMD,4.320000171661377,4.480000019073486,4.320000171661377,4.400000095367432,4.400000095367432,13500700,66,65.0,,0.65,42.9,0.010000228881835938,0.0022371877743214696
24,2016-06-14,1,0.0030229265003371545,-0.06920894179528003,AMD,4.400000095367432,4.510000228881836,4.329999923706055,4.389999866485596,4.389999866485596,16757400,64,65.0,,0.65,41.6,0.03000020980834961,0.006696475375139288
25,2016-06-15,2,0.0032476961114857273,0.07435497062978658,AMD,4.440000057220459,4.480000019073486,4.300000190734863,4.420000076293945,4.420000076293945,11575300,68,65.0,,0.65,44.2,-0.03000020980834961,-0.0066519308837790225
