,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,CIA_unscaled,CIA_monthly,isPartial,scale,CIA,Stock_Price_Change,Stock_Price_Change_Percent
19,2017-02-09,4,0.002623738418924512,-0.2536025142877846,CIA,9.0600004196167,9.1899995803833,9.039999961853027,9.0600004196167,9.0600004196167,45800,71,64.0,,0.64,45.44,-0.030000686645507812,-0.003253870474688836
20,2017-02-15,13,0.002910280492852367,0.10921137254426094,CIA,9.0,9.09000015258789,8.899999618530273,9.029999732971191,9.029999732971191,114400,84,64.0,,0.64,53.76,-0.09999942779541016,-0.01088133105129474
21,2017-02-27,1,0.0025282243942818935,-0.13127810171864918,CIA,9.289999961853027,9.869999885559082,9.289999961853027,9.529999732971191,9.529999732971191,123100,73,64.0,,0.64,46.72,0.7799997329711914,0.08580855004156729
22,2017-03-01,3,0.002591900410710306,0.025186062033270895,CIA,9.300000190734863,9.359999656677246,9.140000343322754,9.210000038146973,9.210000038146973,158800,26,87.0,False,0.87,22.62,-0.5100002288818359,-0.05167175631157028
23,2017-03-06,3,0.002591900410710306,0.0,CIA,8.9399995803833,9.039999961853027,8.739999771118164,8.770000457763672,8.770000457763672,132400,27,87.0,,0.87,23.49,-0.31999969482421875,-0.03418800283779255
24,2017-03-07,5,0.0026555764271387183,0.024567308282868128,CIA,8.760000228881836,8.880000114440918,8.40999984741211,8.449999809265137,8.449999809265137,143900,75,87.0,,0.87,65.25,-0.15999984741210938,-0.017699098239742916
25,2017-03-08,3,0.002591900410710306,-0.023978227769185678,CIA,8.489999771118164,8.489999771118164,7.119999885559082,8.15999984741211,8.15999984741211,2140400,100,87.0,,0.87,87.0,-0.3900003433227539,-0.04391895701538606
26,2017-03-09,1,0.0025282243942818935,-0.024567308282868017,CIA,8.15999984741211,8.359999656677246,7.880000114440918,8.0,8.0,310800,79,87.0,,0.87,68.73,-0.13000011444091797,-0.015312145812201416
27,2017-03-10,2,0.0025600624024961,0.012593031016635559,CIA,8.069999694824219,8.069999694824219,7.400000095367432,7.539999961853027,7.539999961853027,278200,63,87.0,,0.87,54.81,-0.28999996185302734,-0.034688992076859715
28,2017-03-13,5,0.0026555764271387183,0.03730925642651939,CIA,7.5,7.789999961853027,7.5,7.619999885559082,7.619999885559082,93800,44,87.0,,0.87,38.28,-0.2799997329711914,-0.03469637466662756
29,2017-03-14,-1,0.0024645483778534816,-0.0719346833075567,CIA,7.519999980926514,7.659999847412109,7.099999904632568,7.170000076293945,7.170000076293945,203300,37,87.0,,0.87,32.19,-0.13000011444091797,-0.0166880763899252
30,2017-03-21,2,0.0025600624024961,0.03875518350579399,CIA,7.519999980926514,7.619999885559082,7.039999961853027,7.050000190734863,7.050000190734863,123100,30,87.0,,0.87,26.1,-0.039999961853027344,-0.005221927238881263
31,2017-03-31,4,0.002623738418924512,0.05101455190092974,CIA,7.460000038146973,7.579999923706055,7.300000190734863,7.429999828338623,7.429999828338623,154900,25,87.0,,0.87,21.75,-0.039999961853027344,-0.005249338904693812
32,2017-04-05,0,0.0024963863860676875,-0.048538387797449234,CIA,7.25,7.340000152587891,7.110000133514404,7.150000095367432,7.150000095367432,91200,95,54.0,,0.54,51.3,-0.23999977111816406,-0.03166223925248035
33,2017-04-07,3,0.002591900410710306,0.038260913925697304,CIA,6.820000171661377,7.050000190734863,6.809999942779541,6.869999885559082,6.869999885559082,293500,88,54.0,,0.54,47.52,-0.28999996185302734,-0.0395095307662604
34,2017-04-13,2,0.0025600624024961,0.012593031016635559,CIA,6.139999866485596,6.25,6.099999904632568,6.170000076293945,6.170000076293945,99200,80,54.0,,0.54,43.2,-0.8000001907348633,-0.11347520128952993
35,2017-04-20,1,0.0025282243942818935,-0.012436418808839944,CIA,6.289999961853027,6.710000038146973,6.239999771118164,6.289999961853027,6.289999961853027,161500,97,54.0,,0.54,52.38,0.46000003814697266,0.07360000610351558
36,2017-04-28,1,0.0025282243942818935,0.0,CIA,7.090000152587891,7.28000020980835,6.929999828338623,7.050000190734863,7.050000190734863,282300,74,54.0,,0.54,39.96,0.570000171661377,0.08494786414618072
37,2017-05-09,6,0.0026874144353529247,0.06296515508317713,CIA,6.300000190734863,6.320000171661377,5.860000133514404,5.949999809265137,5.949999809265137,266100,84,58.0,,0.58,48.72,-0.9600000381469727,-0.13186813330768365
38,2017-05-15,9,0.002782928459995543,0.03554123375469431,CIA,5.960000038146973,6.230000019073486,5.940000057220459,6.050000190734863,6.050000190734863,126600,80,58.0,,0.58,46.4,-0.09000015258789062,-0.014240530085971814
39,2017-05-17,9,0.002782928459995543,0.0,CIA,6.159999847412109,6.269999980926514,6.03000020980835,6.050000190734863,6.050000190734863,167700,75,58.0,,0.58,43.5,0.039999961853027344,0.0064205396036221
40,2017-05-19,5,0.0026555764271387183,-0.045761878067476,CIA,6.0,6.150000095367432,5.949999809265137,6.070000171661377,6.070000171661377,150800,68,58.0,,0.58,39.44,-0.11999988555908203,-0.01913873778694175
41,2017-05-22,2,0.0025600624024961,-0.03596734165377835,CIA,6.059999942779541,6.139999866485596,6.010000228881836,6.079999923706055,6.079999923706055,62500,85,58.0,,0.58,49.3,-0.010000228881835938,-0.0016260534515062375
42,2017-05-24,1,0.0025282243942818935,-0.012436418808839944,CIA,6.21999979019165,6.320000171661377,6.110000133514404,6.170000076293945,6.170000076293945,64500,86,58.0,,0.58,49.88,0.18000030517578125,0.029316011252425334
43,2017-06-02,1,0.0025282243942818935,0.0,CIA,6.420000076293945,7.119999885559082,6.420000076293945,6.809999942779541,6.809999942779541,206900,93,43.0,,0.43,39.99,0.7999997138977051,0.1265822297734851
44,2017-06-06,28,0.003387850616065459,0.34001183744915586,CIA,6.489999771118164,6.53000020980835,6.269999980926514,6.340000152587891,6.340000152587891,52000,98,43.0,,0.43,42.14,-0.5899996757507324,-0.082865124330603
45,2017-06-07,20,0.00313314655035181,-0.07518161057805262,CIA,6.400000095367432,6.420000076293945,6.300000190734863,6.329999923706055,6.329999923706055,91400,94,43.0,,0.43,40.42,-0.1100001335144043,-0.016845349154687494
46,2017-06-15,1,0.0025282243942818935,-0.1930717718907824,CIA,7.059999942779541,7.309999942779541,7.019999980926514,7.099999904632568,7.099999904632568,74300,72,43.0,,0.43,30.96,0.8899998664855957,0.13862926104501905
47,2017-06-22,60,0.004406666878920055,0.7429888299814884,CIA,6.869999885559082,6.96999979019165,6.869999885559082,6.920000076293945,6.920000076293945,24600,84,43.0,,0.43,36.12,-0.3400001525878906,-0.04651164914491224
48,2017-07-06,1,0.0025282243942818935,-0.4262728579788887,CIA,6.71999979019165,6.980000019073486,6.699999809265137,6.739999771118164,6.739999771118164,66000,94,44.0,,0.44,41.36,0.010000228881835938,0.001434753110883591
49,2017-07-11,2,0.0025600624024961,0.012593031016635559,CIA,7.25,7.28000020980835,7.059999942779541,7.25,7.25,59400,75,44.0,,0.44,33.0,0.3000001907348633,0.04297996990187469
50,2017-07-12,18,0.0030694705339233976,0.19898270094143689,CIA,7.239999771118164,7.5,7.079999923706055,7.449999809265137,7.449999809265137,68300,75,44.0,,0.44,33.0,0.2199997901916504,0.030219750529024036
51,2017-07-18,12,0.0028784424846381614,0.3025544237778963,CIA,7.71999979019165,7.889999866485596,7.639999866485596,7.809999942779541,7.809999942779541,73200,74,44.0,,0.44,32.56,0.3899998664855957,0.05199998219807944
52,2017-07-27,61,0.004438504887134261,0.755581860998124,CIA,7.920000076293945,8.039999961853027,7.820000171661377,7.889999866485596,7.889999866485596,53700,76,44.0,,0.44,33.44,0.15000009536743164,0.01901141925294425
53,2017-07-31,2,0.0025600624024961,-0.4232151439290146,CIA,8.100000381469727,8.869999885559082,7.909999847412109,8.050000190734863,8.050000190734863,204000,64,44.0,,0.44,28.16,0.8299999237060547,0.10323382184628271
54,2017-08-03,7,0.00271925244356713,0.06218209404419883,CIA,7.940000057220459,8.0,7.75,7.849999904632568,7.849999904632568,103900,89,38.0,,0.38,33.82,-0.869999885559082,-0.09808341564643042
55,2017-08-09,6,0.0026874144353529247,-0.011708367970588385,CIA,8.119999885559082,8.289999961853027,7.980000019073486,8.0600004196167,8.0600004196167,136800,88,38.0,,0.38,33.44,0.28999996185302734,0.03624999523162842
56,2017-08-10,6,0.0026874144353529247,0.0,CIA,7.989999771118164,8.15999984741211,7.900000095367432,7.980000019073486,7.980000019073486,77000,96,38.0,,0.38,36.48,-0.13000011444091797,-0.015681557905804833
57,2017-08-14,1,0.0025282243942818935,-0.08101007996852194,CIA,8.0,8.069999694824219,7.949999809265137,8.039999961853027,8.039999961853027,100300,92,38.0,,0.38,34.96,-0.09000015258789062,-0.011029430670447038
58,2017-08-16,17,0.0030376325257091916,0.2014884962661665,CIA,7.949999809265137,8.0600004196167,7.849999904632568,7.860000133514404,7.860000133514404,46300,89,38.0,,0.38,33.82,-0.009999275207519531,-0.0012390676066484918
59,2017-08-18,179,0.008195389856410582,1.6979530232996884,CIA,7.670000076293945,7.769999980926514,7.650000095367432,7.699999809265137,7.699999809265137,110800,80,38.0,,0.38,30.4,-0.29000043869018555,-0.03598020143824965
60,2017-08-29,2,0.0025600624024961,-0.6876216449308299,CIA,7.489999771118164,7.579999923706055,7.349999904632568,7.53000020980835,7.53000020980835,43200,87,38.0,,0.38,33.06,-0.19000005722045898,-0.024453031877331166
61,2017-09-01,9,0.002782928459995543,0.08705493166187872,CIA,7.519999980926514,7.519999980926514,7.340000152587891,7.460000038146973,7.460000038146973,52700,66,46.0,False,0.46,30.360000000000003,-0.059999942779541016,-0.007915559813120088
62,2017-09-11,1,0.0025282243942818935,-0.091523756134952,CIA,7.590000152587891,7.590000152587891,7.5,7.519999980926514,7.519999980926514,71800,88,46.0,,0.46,40.48,0.07000017166137695,0.009308533489218451
63,2017-09-19,16,0.0030057945174949857,0.18889546524953116,CIA,8.100000381469727,8.100000381469727,7.980000019073486,8.0,8.0,56000,97,46.0,,0.46,44.620000000000005,0.5100002288818359,0.0671937046941884
64,2017-09-28,1,0.0025282243942818935,-0.15888315732610248,CIA,7.960000038146973,8.0,7.71999979019165,7.869999885559082,7.869999885559082,66000,91,46.0,,0.46,41.86,-0.10000038146972656,-0.012345725525951368
65,2017-10-05,1,0.0025282243942818935,0.0,CIA,7.440000057220459,7.579999923706055,7.400000095367432,7.489999771118164,7.489999771118164,27900,65,54.0,,0.54,35.1,-0.4200000762939453,-0.052500009536743164
66,2017-10-06,2,0.0025600624024961,0.012593031016635559,CIA,7.550000190734863,7.550000190734863,7.400000095367432,7.460000038146973,7.460000038146973,33500,60,54.0,,0.54,32.400000000000006,-0.029999732971191406,-0.003957748452921295
67,2017-10-11,3,0.002591900410710306,0.012436418808839722,CIA,7.389999866485596,7.5,7.389999866485596,7.449999809265137,7.449999809265137,43500,54,54.0,,0.54,29.160000000000004,-0.05000019073486328,-0.006622541651882585
68,2017-10-23,2,0.0025600624024961,0.0,CIA,7.269999980926514,7.269999980926514,7.019999980926514,7.110000133514404,7.110000133514404,89700,67,54.0,,0.54,36.18,-0.23000001907348633,-0.030666669209798214
69,2017-10-27,97,0.005584673182845681,1.1814597868397816,CIA,7.409999847412109,7.739999771118164,7.320000171661377,7.559999942779541,7.559999942779541,101800,100,54.0,,0.54,54.0,0.4699997901916504,0.06464921477644237
70,2017-11-06,1,0.0025282243942818935,-0.54729232821577,CIA,7.5,7.559999942779541,7.389999866485596,7.5,7.5,65900,74,55.0,,0.55,40.7,-0.17999982833862305,-0.023255792462719804
71,2017-11-10,2,0.0025600624024961,0.012593031016635559,CIA,7.449999809265137,7.639999866485596,7.449999809265137,7.579999923706055,7.579999923706055,31600,76,55.0,,0.55,41.8,0.07999992370605469,0.010582000570312333
72,2017-11-27,-8,0.0022416823203540385,-0.3564606202414793,CIA,8.260000228881836,8.350000381469727,8.020000457763672,8.039999961853027,8.039999961853027,103400,73,55.0,,0.55,40.150000000000006,0.7100005149841309,0.09293200620312736
73,2017-12-26,4,0.002623738418924512,0.1704327571759292,CIA,7.389999866485596,7.570000171661377,7.389999866485596,7.550000190734863,7.550000190734863,32500,31,56.0,,0.56,17.360000000000003,-0.7800002098083496,-0.09341319451186159
74,2017-12-27,10,0.0028147664682097485,0.07280758169617396,CIA,7.480000019073486,7.739999771118164,7.46999979019165,7.489999771118164,7.489999771118164,47700,32,56.0,,0.56,17.92,0.1699995994567871,0.02245701395003774
75,2018-01-22,5,0.0026555764271387183,0.03730925642651939,CIA,7.949999809265137,8.050000190734863,7.889999866485596,7.980000019073486,7.980000019073486,70800,71,50.0,,0.5,35.5,0.3100004196166992,0.04005173498498893
76,2018-01-30,5,0.0026555764271387183,0.0,CIA,7.929999828338623,8.149999618530273,7.900000095367432,8.039999961853027,8.039999961853027,34400,68,50.0,,0.5,34.0,0.09999942779541016,0.012422288872800724
77,2018-02-02,13,0.002910280492852367,0.09591291107674227,CIA,7.809999942779541,7.909999847412109,7.71999979019165,7.769999980926514,7.769999980926514,58800,83,52.0,,0.52,43.16,-0.23999977111816406,-0.029447826055413295
78,2018-02-07,10,0.0028147664682097485,-0.032819525429662266,CIA,7.25,7.53000020980835,7.21999979019165,7.369999885559082,7.369999885559082,53900,80,52.0,,0.52,41.6,-0.37999963760375977,-0.04804041023187666
79,2018-02-13,0,0.0024963863860676875,-0.11311065615491633,CIA,7.21999979019165,7.320000171661377,7.150000095367432,7.239999771118164,7.239999771118164,45500,85,52.0,,0.52,44.2,-0.21000003814697266,-0.02788845050408273
80,2018-03-06,49,0.004056448788563788,0.6044654887984993,CIA,7.489999771118164,7.789999961853027,7.449999809265137,7.75,7.75,71800,32,60.0,,0.6,19.2,0.4699997901916504,0.0642076201051478
81,2018-03-07,2,0.0025600624024961,-0.3688907377029881,CIA,7.550000190734863,7.900000095367432,7.519999980926514,7.829999923706055,7.829999923706055,70800,33,60.0,,0.6,19.8,0.1100001335144043,0.014120684730817068
82,2018-03-13,34,0.0035788786653506957,0.39796540188287377,CIA,7.929999828338623,8.010000228881836,7.78000020980835,7.829999923706055,7.829999923706055,61200,100,60.0,,0.6,60.0,0.1100001335144043,0.013924067365379988
83,2018-03-14,15,0.0029739565092807793,-0.1690256118282345,CIA,7.849999904632568,7.929999828338623,7.690000057220459,7.840000152587891,7.840000152587891,36000,56,60.0,,0.6,33.6,-0.08000040054321289,-0.00998756532549816
84,2018-03-22,2,0.0025600624024961,0.0,CIA,7.300000190734863,7.46999979019165,7.190000057220459,7.190000057220459,7.190000057220459,64600,36,60.0,,0.6,21.6,-0.46000003814697266,-0.058007572270445396
85,2018-03-27,26,0.0033241745996370467,-0.027930620339077672,CIA,7.420000076293945,7.519999980926514,7.079999923706055,7.190000057220459,7.190000057220459,77300,30,60.0,,0.6,18.0,0.05000019073486328,0.006693466149827021
86,2018-03-28,4,0.002623738418924512,-0.21070980471032197,CIA,7.119999885559082,7.389999866485596,7.119999885559082,7.349999904632568,7.349999904632568,46800,31,60.0,,0.6,18.6,-0.13000011444091797,-0.017287249304607233
87,2018-04-02,-27,0.0016367601642841225,-0.41850942777319045,CIA,7.28000020980835,7.389999866485596,7.099999904632568,7.269999980926514,7.269999980926514,76200,68,54.0,,0.54,36.72,0.0,0.0
88,2018-04-04,68,0.004661370944633704,1.847925460522477,CIA,7.179999828338623,7.400000095367432,7.179999828338623,7.360000133514404,7.360000133514404,37100,79,54.0,,0.54,42.66,0.010000228881835938,0.0013532109692164784
89,2018-04-10,7,0.00271925244356713,-0.4166410534871492,CIA,7.389999866485596,7.53000020980835,7.309999942779541,7.5,7.5,42400,79,54.0,,0.54,42.66,0.13000011444091797,0.017567582806154336
90,2018-04-11,3,0.002591900410710306,-0.046833471882354316,CIA,7.449999809265137,7.630000114440918,7.420000076293945,7.46999979019165,7.46999979019165,56100,80,54.0,,0.54,43.2,0.09999990463256836,0.013280199448375996
91,2018-04-16,2,0.0025600624024961,0.0663050829476588,CIA,7.46999979019165,7.679999828338623,7.260000228881836,7.539999961853027,7.539999961853027,67900,89,54.0,,0.54,48.06,0.04999971389770508,0.006553042352263283
92,2018-04-18,4,0.002623738418924512,0.024872837617679444,CIA,7.659999847412109,7.880000114440918,7.559999942779541,7.809999942779541,7.809999942779541,45400,100,54.0,,0.54,54.0,0.20000028610229492,0.026041704501647
93,2018-05-01,2,0.0025600624024961,-0.024269193898724506,CIA,7.75,7.789999961853027,7.489999771118164,7.5,7.5,69100,46,60.0,False,0.6,27.6,-0.09000015258789062,-0.011421338995028174
94,2018-05-24,3,0.002591900410710306,0.012436418808839722,CIA,7.849999904632568,7.940000057220459,7.650000095367432,7.900000095367432,7.900000095367432,34600,48,60.0,,0.6,28.8,0.15000009536743164,0.01925546804903333
95,2018-05-30,2,0.0025600624024961,0.03875518350579399,CIA,7.820000171661377,7.989999771118164,7.800000190734863,7.880000114440918,7.880000114440918,116900,42,60.0,,0.6,25.2,0.04999971389770508,0.0062971931407276305
96,2018-06-08,144,0.0070810595689133685,1.7659714708552525,CIA,7.71999979019165,7.809999942779541,7.610000133514404,7.630000114440918,7.630000114440918,52900,90,36.0,,0.36,32.4,-0.17999982833862305,-0.02252813936106446
97,2018-06-13,6,0.0026874144353529247,-0.6204784878309779,CIA,7.880000114440918,7.949999809265137,7.849999904632568,7.889999866485596,7.889999866485596,53400,86,36.0,,0.36,30.96,0.1399998664855957,0.017925719271615126
98,2018-06-26,17,0.0030376325257091916,0.1303178571005461,CIA,7.730000019073486,8.069999694824219,7.619999885559082,7.920000076293945,7.920000076293945,71300,72,36.0,,0.36,25.92,0.11999988555908203,0.015094325589697588
99,2018-07-02,4,0.002623738418924512,0.03777909304990623,CIA,7.800000190734863,7.960000038146973,7.71999979019165,7.840000152587891,7.840000152587891,40400,67,42.0,,0.42,28.14,-0.1099996566772461,-0.01363068907521714
100,2018-07-03,8,0.0027510904517813366,0.048538387797449456,CIA,7.889999866485596,7.989999771118164,7.78000020980835,7.889999866485596,7.889999866485596,36000,52,42.0,,0.42,21.84,0.029999732971191406,0.0037688106567113078
101,2018-07-06,3,0.002591900410710306,-0.057864342834658467,CIA,7.739999771118164,7.909999847412109,7.739999771118164,7.800000190734863,7.800000190734863,38400,51,42.0,,0.42,21.42,-0.07999992370605469,-0.010012506382695352
102,2018-07-10,8,0.0027510904517813366,0.061418270707169986,CIA,7.900000095367432,8.010000228881836,7.809999942779541,7.880000114440918,7.880000114440918,34500,51,42.0,,0.42,21.42,0.10000038146972656,0.012642273501742629
103,2018-07-11,18,0.0030694705339233976,0.11572868566931671,CIA,7.829999923706055,7.860000133514404,7.679999828338623,7.730000019073486,7.730000019073486,38400,63,42.0,,0.42,26.46,-0.15000009536743164,-0.018726603131242525
104,2018-07-13,3,0.002591900410710306,-0.15558713398126733,CIA,7.75,7.920000076293945,7.75,7.880000114440918,7.880000114440918,39500,52,42.0,,0.42,21.84,0.059999942779541016,0.00763358037663453
105,2018-07-23,1,0.0025282243942818935,-0.024567308282868017,CIA,7.960000038146973,8.079999923706055,7.960000038146973,8.010000228881836,8.010000228881836,37300,70,42.0,,0.42,29.4,0.15999984741210938,0.020202000741265103
106,2018-07-26,2,0.0025600624024961,0.012593031016635559,CIA,7.920000076293945,8.100000381469727,7.900000095367432,8.020000457763672,8.020000457763672,44900,66,42.0,,0.42,27.72,0.020000457763671875,0.0024753042020448923
107,2018-07-27,4,0.002623738418924512,0.024872837617679444,CIA,7.980000019073486,8.100000381469727,7.829999923706055,7.860000133514404,7.860000133514404,64000,61,42.0,,0.42,25.62,0.0,0.0
108,2018-08-09,4,0.002623738418924512,-0.45210060568184085,CIA,7.610000133514404,7.610000133514404,7.409999847412109,7.539999961853027,7.539999961853027,52500,58,44.0,,0.44,25.52,-0.49000024795532227,-0.06049385492330217
109,2018-08-15,6,0.0026874144353529247,0.02426919389872495,CIA,7.639999866485596,7.690000057220459,7.550000190734863,7.619999885559082,7.619999885559082,28100,73,44.0,,0.44,32.12,0.07999992370605469,0.010512473364321595
110,2018-08-16,2,0.0025600624024961,-0.04738831167292601,CIA,7.630000114440918,7.800000190734863,7.630000114440918,7.699999809265137,7.699999809265137,35500,89,44.0,,0.44,39.16,0.1100001335144043,0.014304308543030553
111,2018-08-17,4,0.002623738418924512,0.024872837617679444,CIA,7.599999904632568,7.699999809265137,7.53000020980835,7.599999904632568,7.599999904632568,40400,86,44.0,,0.44,37.84,-0.10000038146972656,-0.01282056141338439
112,2018-08-20,20,0.00313314655035181,0.19415355118979738,CIA,7.690000057220459,7.739999771118164,7.630000114440918,7.630000114440918,7.630000114440918,19100,66,44.0,,0.44,29.04,0.039999961853027344,0.005194800369332064
113,2018-08-22,140,0.006953707536056545,1.2194006645733624,CIA,7.730000019073486,7.949999809265137,7.730000019073486,7.900000095367432,7.900000095367432,52100,64,44.0,,0.44,28.16,0.21000003814697266,0.027131788676608037
114,2018-08-30,7,0.00271925244356713,-0.6089492649112446,CIA,8.350000381469727,8.489999771118164,8.329999923706055,8.470000267028809,8.470000267028809,48400,75,44.0,,0.44,33.0,0.5399999618530273,0.0679245251331575
115,2018-08-31,2,0.0025600624024961,-0.05854183985294281,CIA,8.399999618530273,8.520000457763672,8.390000343322754,8.399999618530273,8.399999618530273,46500,80,44.0,,0.44,35.2,0.030000686645507812,0.0035336498768310243
116,2018-09-07,3,0.002591900410710306,-0.068642817101214,CIA,8.210000038146973,8.380000114440918,8.180000305175781,8.350000381469727,8.350000381469727,53900,60,53.0,,0.53,31.8,-0.1400003433227539,-0.01643196429586824
117,2018-09-11,63,0.004502180903562673,0.7370192484860396,CIA,8.5,8.720000267028809,8.34000015258789,8.369999885559082,8.369999885559082,72300,71,53.0,,0.53,37.63,0.3400001525878906,0.04057281001726731
118,2018-09-21,2,0.0025600624024961,-0.4313728263406148,CIA,8.34000015258789,8.460000038146973,8.239999771118164,8.260000228881836,8.260000228881836,218200,66,53.0,,0.53,34.980000000000004,-0.26000022888183594,-0.029816539096325756
119,2018-09-26,1,0.0025282243942818935,0.12782456788194696,CIA,8.3100004196167,8.550000190734863,8.25,8.279999732971191,8.279999732971191,64600,68,53.0,,0.53,36.04,0.09000015258789062,0.010638315860764802
120,2018-09-28,5,0.0026555764271387183,0.05037212406654179,CIA,8.25,8.420000076293945,8.25,8.399999618530273,8.399999618530273,39400,87,53.0,,0.53,46.11,-0.13000011444091797,-0.015204691408286952
121,2018-10-05,7,0.00271925244356713,0.023978227769185567,CIA,8.25,8.359999656677246,8.119999885559082,8.170000076293945,8.170000076293945,56600,54,49.0,,0.49,26.46,-0.06000041961669922,-0.0071259405074861615
122,2018-10-08,1,0.0025282243942818935,-0.7895943128012315,CIA,8.170000076293945,8.399999618530273,8.15999984741211,8.359999656677246,8.359999656677246,51300,50,49.0,,0.49,24.5,0.039999961853027344,0.00478468462867454
123,2018-10-09,1,0.0025282243942818935,0.0,CIA,8.260000228881836,8.649999618530273,8.260000228881836,8.529999732971191,8.529999732971191,81100,55,49.0,,0.49,26.95,0.25,0.02976190611348417
124,2018-10-10,2,0.0025600624024961,0.012593031016635559,CIA,8.420000076293945,8.600000381469727,8.210000038146973,8.239999771118164,8.239999771118164,77400,56,49.0,,0.49,27.44,-0.049999237060546875,-0.005780258874628963
125,2018-10-16,14,0.0029421185010665733,-0.24508001862608142,CIA,7.619999885559082,8.039999961853027,7.619999885559082,8.029999732971191,8.029999732971191,85800,63,49.0,,0.49,30.87,-0.5600004196166992,-0.06511632497404563
