,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,CIA_unscaled,CIA_monthly,isPartial,scale,CIA,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-07-13,7,0.00271925244356713,0.10334715601545019,CIA,8.109999656677246,8.34000015258789,8.029999732971191,8.279999732971191,8.279999732971191,65000,89,47.0,,0.47,41.83,,
1,2016-08-18,3,0.002591900410710306,-0.046833471882354316,CIA,9.34000015258789,9.510000228881836,9.34000015258789,9.460000038146973,9.460000038146973,31800,56,45.0,,0.45,25.2,1.1700000762939453,0.1402877763654351
2,2016-08-25,3,0.002591900410710306,0.0,CIA,9.649999618530272,9.989999771118164,9.649999618530272,9.899999618530272,9.899999618530272,54400,69,45.0,,0.45,31.05,0.4799995422363281,0.050473136770130766
3,2016-09-13,11,0.002846604476423955,0.09826923313147207,CIA,9.579999923706056,9.6899995803833,8.890000343322754,9.010000228881836,9.010000228881836,106300,87,53.0,,0.53,46.11,-0.3000001907348633,-0.030030049810630288
4,2016-09-20,1,0.0025282243942818935,-0.11184556364571807,CIA,9.699999809265137,9.850000381469728,9.529999732971191,9.539999961853027,9.539999961853027,76700,94,53.0,,0.53,49.82,0.16000080108642756,0.01651195129154992
5,2016-09-21,1,0.0025282243942818935,0.0,CIA,9.640000343322754,10.199999809265137,9.300000190734863,10.0,10.0,142700,83,53.0,,0.53,43.99,0.3499994277954084,0.03553293545590552
6,2016-10-20,1,0.0025282243942818935,0.0,CIA,8.960000038146973,8.979999542236328,8.350000381469727,8.380000114440918,8.380000114440918,453900,93,49.0,,0.49,45.57,-1.2200002670288086,-0.11960787155315677
7,2016-10-26,-1,0.0024645483778534816,-0.025186062033270673,CIA,7.860000133514404,8.050000190734863,7.820000171661377,7.900000095367432,7.900000095367432,92700,82,49.0,,0.49,40.18,-0.9299993515014648,-0.10356340745089432
8,2016-11-21,6,0.0026874144353529247,0.04974567523535933,CIA,9.470000267028809,9.829999923706056,9.40999984741211,9.800000190734863,9.800000190734863,207900,46,55.0,,0.55,25.3,1.7799997329711932,0.2211179740119611
9,2016-12-06,1,0.0025282243942818935,0.0,CIA,9.760000228881836,9.9399995803833,9.699999809265137,9.829999923706056,9.829999923706056,163900,24,74.0,,0.74,17.759999999999998,0.10999965667724432,0.01119019913845265
10,2016-12-08,-6,0.002305358336782451,-0.08815121711644769,CIA,9.979999542236328,10.600000381469728,9.979999542236328,10.399999618530272,10.399999618530272,330300,26,74.0,,0.74,19.24,0.6600008010864276,0.06639847373725716
11,2016-12-14,2,0.0025600624024961,-0.024269193898724506,CIA,10.449999809265137,10.630000114440918,10.260000228881836,10.43000030517578,10.43000030517578,143000,40,74.0,,0.74,29.6,0.02999973297118963,0.0028301633859970643
12,2016-12-21,-21,0.0018277882135693591,-0.2860376326033156,CIA,10.869999885559082,11.039999961853027,10.65999984741211,10.65999984741211,10.65999984741211,106300,25,74.0,,0.74,18.5,0.4099998474121094,0.03857006989634204
13,2016-12-29,28,0.003387850616065459,0.8535247086693725,CIA,10.239999771118164,10.239999771118164,10.0,10.0600004196167,10.0600004196167,65800,22,74.0,,0.74,16.28,-0.8000001907348633,-0.07246378564303779
14,2017-01-19,1,0.0025282243942818935,0.0,CIA,10.350000381469728,10.399999618530272,9.989999771118164,10.010000228881836,10.010000228881836,59100,32,100.0,,1.0,32.0,0.1599998474121076,0.015624985448084328
15,2017-01-26,9,0.002782928459995543,0.10074424813308336,CIA,9.649999618530272,9.6899995803833,9.380000114440918,9.4399995803833,9.4399995803833,47600,39,100.0,,1.0,39.0,-0.7100000381469709,-0.06826923694130949
16,2017-01-30,1,0.0025282243942818935,-0.091523756134952,CIA,9.34000015258789,9.489999771118164,9.100000381469728,9.399999618530272,9.399999618530272,137900,26,100.0,,1.0,26.0,-0.19999980926513672,-0.020639816091429175
17,2017-02-02,1,0.0025282243942818935,0.0,CIA,8.899999618530273,9.029999732971191,8.75,8.789999961853027,8.789999961853027,69200,85,64.0,,0.64,54.4,-0.46000003814697266,-0.04847208105809819
18,2017-02-08,32,0.0035152026489222834,0.3903839615156972,CIA,9.109999656677246,9.220000267028809,8.979999542236328,8.989999771118164,8.989999771118164,83900,79,64.0,,0.64,50.56,0.1900005340576172,0.021041034294150496
