,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,SF_unscaled,SF_monthly,isPartial,scale,SF,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-06,2,0.01780672268907563,0.893655049151028,SF,20.63999938964844,21.01333236694336,20.37333297729492,20.85333251953125,19.852109909057617,864900,84,97.0,,0.97,81.48,,
1,2016-05-16,1,0.009403361344537814,-0.47192071731949037,SF,22.32666778564453,22.84666633605957,22.32666778564453,22.57999992370605,21.49588394165039,1253250,73,97.0,,0.97,70.81,1.833333969116211,0.08724622716196495
2,2016-05-24,1,0.009403361344537814,0.0,SF,24.07333374023437,24.63333320617676,23.946666717529297,24.453332901000977,23.279268264770508,1339650,83,97.0,,0.97,80.50999999999999,1.786666870117191,0.07820251952019985
3,2016-06-02,1,0.009403361344537814,0.0,SF,25.200000762939453,25.47333335876465,25.12666702270508,25.459999084472656,24.23760223388672,750150,69,99.0,,0.99,68.31,0.8400001525878871,0.034100141688387486
4,2016-06-27,1,0.009403361344537814,-0.47192071731949037,SF,21.15333366394043,21.19333267211914,19.96666717529297,20.206666946411133,19.23649406433105,1719600,67,99.0,,0.99,66.33,-4.280000686645508,-0.16801887002247706
5,2016-07-06,1,0.009403361344537814,0.0,SF,19.233333587646484,19.81333351135254,18.99333381652832,19.666667938232425,18.7224235534668,1422150,86,94.0,,0.94,80.83999999999999,-1.3799991607666016,-0.06511477841246072
6,2016-07-08,1,0.009403361344537814,0.0,SF,20.31333351135254,20.52666664123535,20.15333366394043,20.413333892822266,19.43323135375977,1217550,78,94.0,,0.94,73.32,0.7133331298828125,0.036002681198198605
7,2016-07-13,1,0.009403361344537814,0.0,SF,21.600000381469727,21.606666564941406,21.253332138061523,21.399999618530277,20.37253189086914,915450,74,94.0,,0.94,69.56,1.0799999237060547,0.05261448157084003
8,2016-07-14,1,0.009403361344537814,0.0,SF,21.946666717529297,22.34000015258789,21.793333053588867,21.85333251953125,20.804100036621094,954000,71,94.0,,0.94,66.74,0.7333335876464844,0.0339401538614188
9,2016-08-02,1,0.009403361344537814,0.0,SF,23.34666633605957,23.57333374023437,22.406667709350582,22.666667938232425,21.578384399414062,1696200,84,94.0,,0.94,78.96,1.2333335876464808,0.05520741178256494
10,2016-08-11,1,0.009403361344537814,0.0,SF,24.37333297729492,24.50666618347168,24.15333366394043,24.34000015258789,23.17137336730957,450450,73,94.0,,0.94,68.61999999999999,0.9333324432373082,0.039592721738984205
11,2016-08-22,1,0.009403361344537814,-0.47192071731949037,SF,24.84666633605957,24.920000076293945,24.53333282470703,24.913333892822266,23.71718406677246,330900,78,94.0,,0.94,73.32,0.4133338928222656,0.016866182030954358
12,2016-08-29,2,0.01780672268907563,0.893655049151028,SF,25.68000030517578,26.15333366394043,25.56666755676269,26.00666618347168,24.75802230834961,541650,75,94.0,,0.94,70.5,1.2333335876464844,0.04949171684873854
