,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,SQQQ_unscaled,SQQQ_monthly,isPartial,scale,SQQQ,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-06-08,1,0.006813953488372093,-0.7190795781399808,SQQQ,7020.0,7100.0,6980.0,7032.0,6975.51025390625,10742,15,7.0,,0.07,1.05,,
1,2016-07-14,1,0.006813953488372093,0.0,SQQQ,6520.0,6564.0,6472.0,6512.0,6459.6875,12895,100,6.0,,0.06,6.0,-536.0,-0.0754929577464789
2,2016-08-12,1,0.006813953488372093,0.0,SQQQ,5704.0,5720.0,5660.0,5660.0,5614.53173828125,7534,96,6.0,,0.06,5.76,-844.0,-0.1285801340645948
3,2016-10-12,11,0.06495348837209303,8.532423208191126,SQQQ,5492.0,5564.0,5452.0,5508.0,5463.75390625,16053,13,4.0,,0.04,0.52,-156.0,-0.027272727272727226
4,2016-10-14,1,0.006813953488372093,-0.8950948800572861,SQQQ,5488.0,5564.0,5420.0,5556.0,5511.36767578125,15136,26,4.0,,0.04,1.04,0.0,0.0
5,2016-10-26,1,0.006813953488372093,0.0,SQQQ,5372.0,5416.0,5280.0,5364.0,5320.91015625,14339,62,4.0,,0.04,2.48,-148.0,-0.02659956865564339
6,2016-11-17,1,0.006813953488372093,0.0,SQQQ,5528.0,5564.0,5400.0,5404.0,5360.58837890625,18969,56,7.0,,0.07,3.92,148.0,0.02732644017725261
7,2016-12-01,1,0.006813953488372093,0.0,SQQQ,5432.0,5736.0,5432.0,5700.0,5654.21044921875,22695,70,5.0,False,0.05,3.5,172.0,0.030913012221423397
8,2016-12-08,1,0.006813953488372093,0.0,SQQQ,5288.0,5320.0,5228.0,5268.0,5225.68115234375,25619,56,5.0,,0.05,2.8000000000000003,-416.0,-0.07252440725244069
9,2017-06-12,1,0.006813953488372093,-0.6305170239596469,SQQQ,3180.0,3272.0,3139.0,3153.0,3127.67138671875,147224,100,5.0,,0.05,5.0,-2048.0,-0.3849624060150376
10,2017-06-13,1,0.006813953488372093,0.0,SQQQ,3100.0,3151.0,3066.0,3079.0,3054.265869140625,67555,33,5.0,,0.05,1.65,-121.0,-0.03698044009779955
11,2017-07-28,5,0.030069767441860466,3.4129692832764507,SQQQ,2853.0,2870.0,2799.0,2813.0,2790.40234375,75380,27,4.0,,0.04,1.08,-281.0,-0.08917803871786734
12,2017-07-31,44,0.2568139534883721,7.5406032482598615,SQQQ,2790.0,2868.0,2779.0,2851.0,2828.09716796875,51907,67,4.0,,0.04,2.68,-2.0,-0.0006968641114982743
13,2017-09-11,1,0.006813953488372093,-0.9734673548854478,SQQQ,2708.0,2708.0,2662.0,2681.0,2659.462646484375,60461,41,4.0,,0.04,1.64,-160.0,-0.05578800557880059
14,2017-12-04,1,0.006813953488372093,0.0,SQQQ,2180.0,2305.0,2173.0,2300.0,2281.523193359375,102302,38,3.0,,0.03,1.14,-403.0,-0.14881831610044316
15,2017-12-06,1,0.006813953488372093,0.0,SQQQ,2321.0,2329.0,2254.0,2266.0,2247.79638671875,70404,95,3.0,,0.03,2.85,24.0,0.010412147505423075
16,2017-12-20,1,0.006813953488372093,0.0,SQQQ,2052.0,2105.0,2051.0,2081.0,2064.28271484375,51265,41,3.0,,0.03,1.23,-224.0,-0.09617861743237444
17,2018-01-24,1,0.006813953488372093,0.0,SQQQ,1656.0,1725.0,1643.0,1697.0,1683.851318359375,124667,67,4.0,,0.04,2.68,-380.0,-0.18052256532066513
18,2018-02-05,1,0.006813953488372093,0.0,SQQQ,1861.0,2028.0,1773.0,2020.0,2004.3485107421875,291052,35,10.0,,0.1,3.5,303.0,0.17565217391304344
19,2018-02-06,1,0.006813953488372093,0.0,SQQQ,2111.0,2139.0,1857.0,1864.0,1849.55712890625,292625,100,10.0,,0.1,10.0,111.0,0.05473372781065078
20,2018-02-16,1,0.006813953488372093,0.0,SQQQ,1740.0,1755.0,1690.0,1742.0,1728.502685546875,168434,24,10.0,,0.1,2.4000000000000004,-384.0,-0.17952314165497896
21,2018-02-28,1,0.006813953488372093,0.0,SQQQ,1611.0,1672.0,1594.0,1671.0,1658.052734375,163467,23,10.0,,0.1,2.3000000000000003,-83.0,-0.04729344729344731
22,2018-03-08,1,0.006813953488372093,0.0,SQQQ,1599.0,1617.0,1587.0,1592.0,1579.6649169921875,107530,29,10.0,,0.1,2.9000000000000004,-55.0,-0.03289473684210531
23,2018-03-27,1,0.006813953488372093,0.0,SQQQ,1670.0,1916.0,1669.0,1873.0,1859.2811279296875,260993,51,10.0,,0.1,5.1000000000000005,299.0,0.18491032776747063
24,2018-03-29,1,0.006813953488372093,0.0,SQQQ,1905.0,1962.0,1775.0,1833.0,1819.5740966796875,249192,27,10.0,,0.1,2.7,46.0,0.024008350730688965
25,2018-04-02,2,0.012627906976744187,0.8532423208191127,SQQQ,1870.0,2046.0,1846.0,1986.0,1971.45361328125,296552,100,12.0,,0.12,12.0,84.0,0.042813455657492394
26,2018-04-06,1,0.006813953488372093,-0.46040515653775327,SQQQ,1861.0,1964.0,1810.0,1939.0,1924.797607421875,260928,58,12.0,,0.12,6.96,-82.0,-0.040078201368523914
27,2018-05-31,1,0.006813953488372093,0.0,SQQQ,1494.0,1507.0,1466.0,1495.0,1484.0498046875,141611,69,10.0,,0.1,6.9,-457.0,-0.23268839103869654
28,2018-06-06,1,0.006813953488372093,0.0,SQQQ,1371.0,1391.0,1350.0,1350.0,1340.1119384765625,150245,54,11.0,,0.11,5.94,-116.0,-0.0769741207697412
29,2018-07-12,1,0.006813953488372093,0.0,SQQQ,1301.0,1305.0,1252.0,1253.0,1244.5841064453125,177816,35,11.0,,0.11,3.85,-86.0,-0.061826024442846905
30,2018-07-13,1,0.006813953488372093,0.0,SQQQ,1252.0,1263.0,1243.0,1249.0,1240.6109619140625,118991,27,11.0,,0.11,2.97,-42.0,-0.03218390804597704
31,2018-07-30,2,0.012627906976744187,0.0,SQQQ,1288.0,1362.0,1287.0,1343.0,1333.9794921875,244077,100,11.0,,0.11,11.0,99.0,0.07838479809976251
32,2018-08-08,1,0.006813953488372093,0.0,SQQQ,1206.0,1216.0,1190.0,1199.0,1190.94677734375,108884,31,9.0,,0.09,2.79,-146.0,-0.10719530102790009
33,2018-08-10,1,0.006813953488372093,0.0,SQQQ,1223.0,1241.0,1213.0,1227.0,1218.7586669921875,174813,80,9.0,,0.09,7.199999999999999,25.0,0.020559210526315708
34,2018-08-13,1,0.006813953488372093,0.0,SQQQ,1222.0,1233.0,1198.0,1231.0,1222.7318115234375,177744,87,9.0,,0.09,7.83,-8.0,-0.006446414182111226
35,2018-08-14,7,0.041697674418604655,5.119453924914676,SQQQ,1218.0,1238.0,1204.0,1210.0,1201.8729248046875,120687,39,9.0,,0.09,3.51,5.0,0.0040551500405514584
36,2018-08-15,4,0.024255813953488373,-0.4182933630786392,SQQQ,1236.0,1275.0,1226.0,1252.0,1243.590576171875,247745,63,9.0,,0.09,5.67,37.0,0.02988691437802915
37,2018-09-11,2,0.012627906976744187,0.0,SQQQ,1220.0,1228.0,1170.0,1176.0,1168.10107421875,135264,90,9.0,,0.09,8.1,-47.0,-0.03686274509803922
38,2018-09-12,1,0.006813953488372093,-0.46040515653775327,SQQQ,1182.0,1217.0,1179.0,1187.0,1179.0272216796875,191147,71,9.0,,0.09,6.39,-11.0,-0.00895765472312704
