,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,BJ_unscaled,BJ_monthly,isPartial,scale,BJ,Stock_Price_Change,Stock_Price_Change_Percent
0,2018-06-28,4,0.008992622194897017,0.03539447138356966,BJ,21.25,22.3700008392334,20.559999465942383,22.0,22.0,21172600,92,74.0,,0.74,68.08,,
1,2018-06-29,1,0.008070396557024285,-0.10255358424776939,BJ,22.399999618530277,24.75,22.350000381469727,23.649999618530277,23.649999618530277,6071300,87,74.0,,0.74,64.38,2.3799991607666016,0.10639244843444362
2,2018-07-02,7,0.00991484783276975,0.22854530910753046,BJ,23.209999084472656,23.940000534057617,22.8799991607666,23.530000686645508,23.530000686645508,1721600,74,75.0,,0.75,55.5,-0.8099994659423828,-0.032727251149187175
3,2018-07-05,4,0.008992622194897017,-0.03305457310018867,BJ,25.51000022888184,25.76000022888184,23.299999237060547,23.75,23.75,4335300,72,75.0,,0.75,54.0,1.8199996948242223,0.0760233773693968
4,2018-07-17,1,0.008070396557024285,-0.10255358424776939,BJ,26.90999984741211,27.0,25.5,26.31999969482422,26.31999969482422,1082800,72,75.0,,0.75,54.0,1.2399997711181605,0.04813663664986634
5,2018-07-18,1,0.008070396557024285,0.0,BJ,26.059999465942383,26.479999542236328,25.048999786376957,25.799999237060547,25.799999237060547,1148100,75,75.0,,0.75,56.25,-0.5200004577636719,-0.019259276213469345
6,2018-07-20,28,0.01637042729787888,1.0284538909838878,BJ,25.700000762939453,26.43000030517578,25.549999237060547,25.90999984741211,25.90999984741211,658500,83,75.0,,0.75,62.25,-0.049999237060546875,-0.0018881887433871425
7,2018-07-24,8,0.01022225637872733,0.22015924852309854,BJ,25.959999084472656,26.299999237060547,25.649999618530277,26.01000022888184,26.01000022888184,438700,73,75.0,,0.75,54.75,-0.13000106811523438,-0.004918693401973817
8,2018-07-25,17,0.012988933292345527,0.2706522719754607,BJ,25.670000076293945,26.100000381469727,24.81399917602539,24.950000762939453,24.950000762939453,1051400,69,75.0,,0.75,51.75,-0.1999988555908203,-0.007604519444585844
9,2018-07-26,1,0.008070396557024285,-0.378671336946489,BJ,24.700000762939453,25.299999237060547,24.440000534057617,24.940000534057617,24.940000534057617,570600,73,75.0,,0.75,54.75,-0.8000011444091797,-0.030651384395272152
10,2018-07-27,1,0.008070396557024285,0.0,BJ,25.11000061035156,25.780000686645508,23.799999237060547,24.440000534057617,24.440000534057617,741200,74,75.0,,0.75,55.5,0.48000144958496094,0.018972389883784357
11,2018-08-02,24,0.015140793114048572,0.8760903515788674,BJ,24.84000015258789,25.84000015258789,24.63999938964844,25.84000015258789,25.84000015258789,625300,84,72.0,,0.72,60.48,0.05999946594238281,0.0023273647922539276
12,2018-08-03,1,0.008070396557024285,-0.4669766308651251,BJ,25.979999542236328,26.0,25.049999237060547,25.51000022888184,25.51000022888184,283300,86,72.0,,0.72,61.92,0.15999984741210938,0.006191944522728088
13,2018-08-07,2,0.008377805102981863,0.038090884851255113,BJ,25.96999931335449,26.489999771118164,25.5,25.530000686645508,25.530000686645508,336800,79,72.0,,0.72,56.88,0.48999977111816406,0.018846145043006413
14,2018-08-10,2,0.008377805102981863,0.0,BJ,25.21999931335449,25.399999618530277,24.59499931335449,25.21999931335449,25.21999931335449,367800,87,72.0,,0.72,62.64,-1.090000152587887,-0.041147608984742456
15,2018-08-13,16,0.012681524746387951,-0.7140232785453335,BJ,25.149999618530277,25.3129997253418,24.299999237060547,24.59000015258789,24.59000015258789,392700,78,72.0,,0.72,56.16,-0.08699989318847656,-0.0034251926966568647
16,2018-08-14,1,0.008070396557024285,-0.363609919278598,BJ,24.6200008392334,24.915000915527344,24.34000015258789,24.790000915527344,24.790000915527344,646000,78,72.0,,0.72,56.16,-0.3979988098144567,-0.015723099361313775
17,2018-08-16,3,0.008685213648939441,0.07618176970251023,BJ,25.100000381469727,25.82999992370605,24.90999984741211,25.100000381469727,25.100000381469727,672900,82,72.0,,0.72,59.04,0.9149990081787074,0.03672482338174299
18,2018-08-23,100,0.03850384260682447,3.59593439254394,BJ,26.86000061035156,28.270000457763672,26.71999931335449,28.170000076293945,28.170000076293945,1604800,76,72.0,,0.72,54.72,2.4400005340576207,0.09446382273575837
19,2018-08-24,39,0.019751921303412235,-0.4870142830910238,BJ,28.420000076293945,29.40999984741211,28.420000076293945,29.030000686645508,29.030000686645508,1242700,76,72.0,,0.72,54.72,1.1399993896484375,0.040325411078490525
20,2018-08-27,2,0.008377805102981863,0.038090884851255113,BJ,29.51000022888184,29.899999618530277,27.01000022888184,27.1200008392334,27.1200008392334,3223000,77,72.0,,0.72,55.44,0.4899997711181676,0.016660991963972638
