,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,WE_unscaled,WE_monthly,isPartial,scale,WE,Stock_Price_Change,Stock_Price_Change_Percent
0,2021-10-21,42,0.020141710404445817,1.4863371317504481,WE,11.279999732971191,11.880000114440918,10.5,11.779999732971191,11.779999732971191,11674500,93,72.0,,0.72,66.96,,
1,2021-10-22,1,0.007483482556344551,-0.628458437437729,WE,13.350000381469728,14.970000267028809,12.300000190734863,13.020000457763672,13.020000457763672,13574100,91,72.0,,0.72,65.52,3.0900001525878906,0.2601010204395362
2,2021-10-25,1,0.007483482556344551,0.0,WE,13.59000015258789,14.390000343322754,12.5,13.18000030517578,13.18000030517578,8022900,100,72.0,,0.72,72.0,-0.5799999237060547,-0.03874414918906155
3,2021-10-26,1,0.007483482556344551,0.0,WE,13.31999969482422,13.654999732971191,12.130000114440918,12.350000381469728,12.350000381469728,5204500,90,72.0,,0.72,64.8,-0.7350006103515625,-0.05107717809698442
4,2021-10-27,20,0.01334949058351343,0.7838607203267463,WE,11.779999732971191,11.93000030517578,10.239999771118164,10.359999656677246,10.359999656677246,8603200,88,72.0,,0.72,63.36,-1.724999427795412,-0.12632731318406765
5,2021-10-28,1,0.007483482556344551,-0.43941811790281926,WE,10.65999984741211,11.609999656677246,9.899999618530272,10.56999969482422,10.56999969482422,8342800,90,72.0,,0.72,64.8,-0.3200006484985334,-0.026823188626382777
6,2021-10-29,63,0.02662519296079037,2.55786129790833,WE,10.5,10.779999732971191,10.130000114440918,10.210000038146973,10.210000038146973,4597100,88,72.0,,0.72,63.36,-0.8299999237060547,-0.07149009028856412
7,2021-11-01,2,0.007792219820932387,-0.3879822498120711,WE,10.149999618530272,10.279999732971191,9.579999923706056,9.890000343322754,9.890000343322754,6821500,82,71.0,False,0.71,58.22,-0.5,-0.04638219038825431
8,2021-11-02,57,0.024772769373263354,2.179167161931931,WE,9.869999885559082,10.0,9.539999961853027,9.710000038146973,9.710000038146973,5705100,83,71.0,,0.71,58.93,-0.2799997329711914,-0.02723732881754304
9,2021-11-03,1,0.007483482556344551,-0.6979149790002368,WE,9.649999618530272,9.675000190734863,9.289999961853027,9.510000228881836,9.510000228881836,4919500,76,71.0,,0.71,53.96,-0.3249998092651367,-0.03249998092651363
10,2021-11-04,20,0.01334949058351343,0.7838607203267463,WE,9.449999809265137,9.68000030517578,9.329999923706056,9.529999732971191,9.529999732971191,4381600,75,71.0,,0.71,53.25,0.005000114440916192,0.0005168076839630054
11,2021-11-05,11,0.010570855202222909,-0.20814542426975646,WE,9.550000190734863,10.0,9.449999809265137,9.90999984741211,9.90999984741211,3659900,78,71.0,,0.71,55.38,0.3199996948242205,0.033057818671051065
12,2021-11-08,1,0.007483482556344551,0.0,WE,10.100000381469728,10.130000114440918,9.050000190734863,9.539999961853027,9.539999961853027,7489200,82,71.0,,0.71,58.22,0.13000011444091797,0.013000011444091797
13,2021-11-09,26,0.015201914171040446,1.0313956846404557,WE,9.5,9.979999542236328,9.449999809265137,9.75,9.75,3562500,75,71.0,,0.71,53.25,-0.15000057220458984,-0.014807558786771868
14,2021-11-10,34,0.01767181228774313,0.16247283657263534,WE,9.699999809265137,9.829999923706056,9.479999542236328,9.640000343322754,9.640000343322754,3281500,71,71.0,,0.71,50.41,-0.14999961853027166,-0.015030022586219438
15,2021-11-11,14,0.011497066995986415,-0.34941211411799644,WE,9.56999969482422,9.630000114440918,9.1899995803833,9.56999969482422,9.56999969482422,5347200,74,71.0,,0.71,52.54,-0.1999998092651385,-0.02034586071387634
16,2021-11-12,131,0.0476193269527632,3.1418673970837023,WE,9.479999542236328,9.649999618530272,9.029999732971191,9.18000030517578,9.18000030517578,4985300,71,71.0,,0.71,50.41,0.019999504089353692,0.002076791677225742
17,2021-11-15,1,0.007483482556344551,-0.507727614289486,WE,9.199999809265137,9.760000228881836,9.149999618530272,9.489999771118164,9.489999771118164,4935900,74,71.0,,0.71,52.54,0.11000061035156428,0.011399027430046393
18,2021-11-16,13,0.011188329731398581,0.4950699286274187,WE,9.43000030517578,9.5,9.050000190734863,9.15999984741211,9.15999984741211,7556600,76,71.0,,0.71,53.96,-0.26000022888183594,-0.026639367088582833
19,2021-11-17,7,0.009335906143871565,-0.16556748254642795,WE,9.0600004196167,9.170000076293944,8.670000076293945,8.720000267028809,8.720000267028809,4077900,71,71.0,,0.71,50.41,-0.32999992370605646,-0.03473683407432171
20,2021-11-18,1,0.007483482556344551,-0.1984192598961606,WE,8.720000267028809,8.748000144958496,8.020000457763672,8.359999656677246,8.359999656677246,5495600,73,71.0,,0.71,51.83,-0.42199993133544744,-0.046019621354899565
21,2021-11-19,35,0.017980549552330968,1.4026981311110198,WE,8.260000228881836,8.890000343322754,8.25,8.710000038146973,8.710000038146973,6177800,69,71.0,,0.71,48.99,0.1420001983642578,0.01623230407078724
22,2021-11-22,42,0.020141710404445817,1.584848845041404,WE,8.850000381469727,10.0,8.850000381469727,9.380000114440918,9.380000114440918,7242000,70,71.0,,0.71,49.7,1.109999656677246,0.12485934913500452
