,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,DTE_unscaled,DTE_monthly,isPartial,scale,DTE,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-04,1,0.003631578947368421,-0.5917159763313611,DTE,76.17872619628906,78.25531768798828,76.17872619628906,77.62553405761719,63.04427719116211,1282043,60,28.0,,0.28,16.8,,
1,2016-05-11,1,0.003631578947368421,0.0,DTE,76.9446792602539,77.29361724853516,76.31489562988281,77.18297576904297,62.684852600097656,898875,75,28.0,,0.28,21.000000000000004,-0.961700439453125,-0.012289266312706326
2,2016-05-20,1,0.003631578947368421,0.0,DTE,75.71914672851562,75.71914672851562,74.99574279785156,75.48085021972656,61.30245590209961,908628,91,28.0,,0.28,25.480000000000004,-1.5744705200195312,-0.020369994005544734
3,2016-05-24,1,0.003631578947368421,0.0,DTE,74.97872161865234,76.04255676269531,74.89361572265625,75.93191528320312,61.66876983642578,808165,74,28.0,,0.28,20.72,0.3234100341796875,0.004271179063061181
4,2016-05-26,1,0.003631578947368421,0.0,DTE,75.53191375732422,76.51063537597656,75.25957489013672,76.3574447631836,62.01437377929688,710053,86,28.0,,0.28,24.08,0.46807861328125,0.006155482314225358
5,2016-06-06,3,0.008894736842105264,1.4492753623188408,DTE,79.00425720214844,79.26808166503906,78.41702270507812,78.80000305175781,63.998138427734375,744833,70,39.0,,0.39,27.3,2.7574462890625,0.03604003908100206
6,2016-06-29,1,0.003631578947368421,0.0,DTE,82.6723403930664,83.03829956054688,82.33191680908203,82.63829803466797,67.64073181152344,955863,57,39.0,,0.39,22.23,3.7702178955078125,0.04756287545142723
7,2016-07-07,1,0.003631578947368421,0.0,DTE,84.8425521850586,85.12340545654297,83.35318756103516,83.56595611572266,68.4000244140625,884070,40,50.0,,0.5,20.0,2.0851058959960938,0.025110170933543063
8,2016-07-14,1,0.003631578947368421,0.0,DTE,82.97021484375,83.38723754882812,82.44255065917969,82.6297836303711,67.63375854492188,1362178,57,50.0,,0.5,28.5,-1.7361679077148438,-0.020395893449084213
9,2016-07-15,1,0.003631578947368421,0.0,DTE,82.77446746826172,83.23403930664062,82.63829803466797,83.1148910522461,68.03083038330078,1176528,46,50.0,,0.5,23.0,-0.1531982421875,-0.001837190518486631
