,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,TX_unscaled,TX_monthly,isPartial,scale,TX,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-06-21,1,0.04437539432176656,-0.017461758748341216,TX,19.68000030517578,19.68000030517578,19.25,19.38999938964844,13.34801197052002,214400,95,96.0,,0.96,91.2,,
1,2016-06-22,1,0.04437539432176656,0.0,TX,19.51000022888184,19.649999618530277,19.280000686645508,19.420000076293945,13.36866569519043,149500,93,96.0,,0.96,89.28,-0.03000068664550426,-0.0015244251107868756
2,2016-07-07,3,0.04595268138801262,0.0,TX,18.790000915527344,18.93000030517578,18.57999992370605,18.780000686645508,12.928092002868652,352000,91,96.0,,0.96,87.36,-0.7199993133544957,-0.0366411871415776
3,2016-07-28,2,0.045164037854889594,-0.017162078670968528,TX,22.200000762939453,22.290000915527344,21.56999969482422,21.63999938964844,14.896907806396484,378700,88,96.0,,0.96,84.47999999999999,3.3600006103515625,0.1774960674159567
4,2016-08-02,10,0.051473186119873816,0.13969406998672884,TX,21.40999984741211,21.530000686645508,20.770000457763672,20.979999542236328,14.442562103271484,315500,98,91.0,,0.91,89.18,-0.7600002288818359,-0.03409601604602963
5,2016-08-05,2,0.045164037854889594,-0.12257155114297957,TX,22.709999084472656,23.07999992370605,22.549999237060547,23.049999237060547,15.867545127868652,372900,97,91.0,,0.91,88.27,1.5499992370605433,0.07199253077692491
6,2016-08-16,1,0.04437539432176656,0.0,TX,22.38999938964844,22.38999938964844,22.11000061035156,22.1200008392334,15.227338790893556,225400,95,91.0,,0.91,86.45,-0.6900005340576101,-0.02989603710305444
7,2016-08-24,1,0.04437539432176656,0.0,TX,21.1200008392334,21.309999465942383,20.90999984741211,20.989999771118164,14.44944667816162,295900,90,91.0,,0.91,81.9,-1.0799999237060582,-0.048235817469712616
8,2016-09-02,4,0.04674132492113565,0.053316272126253006,TX,20.34000015258789,20.559999465942383,19.959999084472656,20.100000381469727,13.836774826049805,175200,99,85.0,,0.85,84.14999999999999,-0.75,-0.03519474513355336
9,2016-09-09,3,0.04595268138801262,-0.09335905894068597,TX,20.26000022888184,20.38999938964844,19.59000015258789,19.65999984741211,13.533881187438965,274400,97,85.0,,0.85,82.45,-0.17000007629394176,-0.008268486415845766
10,2016-09-13,4,0.04674132492113565,0.01716207867096875,TX,19.600000381469727,19.600000381469727,18.700000762939453,18.8799991607666,12.996931076049805,200800,92,85.0,,0.85,78.2,-0.7899990081787145,-0.03874443510674064
11,2016-09-14,1,0.04437539432176656,-0.05061753391374768,TX,19.15999984741211,19.420000076293945,18.290000915527344,18.57999992370605,12.790411949157717,495900,95,85.0,,0.85,80.75,-0.18000030517578125,-0.009183688860840866
12,2016-09-15,4,0.04674132492113565,0.053316272126253006,TX,18.71999931335449,19.32999992370605,18.600000381469727,19.32999992370605,13.30670928955078,842600,92,85.0,,0.85,78.2,-0.09000015258789418,-0.004634405367369587
13,2016-09-16,4,0.04674132492113565,0.0,TX,19.200000762939453,19.280000686645508,18.920000076293945,19.13999938964844,13.175912857055664,217700,94,85.0,,0.85,79.89999999999999,-0.04999923706054332,-0.0025866134122031204
14,2016-09-19,2,0.045164037854889594,0.0,TX,19.420000076293945,19.57999992370605,19.01000022888184,19.149999618530277,13.1827974319458,199400,91,85.0,,0.85,77.35,0.2999992370605433,0.015560125849390705
15,2016-09-20,1,0.04437539432176656,-0.017461758748341216,TX,19.309999465942383,19.5,19.13999938964844,19.280000686645508,13.272292137145996,228200,91,85.0,,0.85,77.35,-0.07999992370605113,-0.004085797958006787
16,2016-09-21,35,0.07118927444794952,0.604251084097533,TX,19.540000915527344,19.84000015258789,19.290000915527344,19.75,13.595837593078612,229800,89,85.0,,0.85,75.64999999999999,0.3400001525878906,0.017435905260917428
17,2016-09-22,2,0.045164037854889594,-0.36557805645411434,TX,20.1299991607666,20.399999618530277,19.479999542236328,19.520000457763672,13.437506675720217,178900,90,85.0,,0.85,76.5,0.5599994659423864,0.0282257793163041
18,2016-09-23,14,0.05462776025236593,0.20954110498009348,TX,19.520000457763672,19.81999969482422,19.46999931335449,19.57999992370605,13.478811264038086,236300,92,85.0,,0.85,78.2,-0.5799999237060582,-0.02843136934077284
19,2016-09-26,1,0.04437539432176656,-0.18767684933880002,TX,19.5,19.56999969482422,19.270000457763672,19.280000686645508,13.272292137145996,174700,92,85.0,,0.85,78.2,-0.25,-0.01261352188947229
20,2016-09-27,36,0.07197791798107256,0.6220231748062843,TX,19.100000381469727,19.190000534057617,18.57999992370605,18.88999938964844,13.003813743591309,359800,89,85.0,,0.85,75.64999999999999,-0.37999916076660156,-0.01941743314728317
21,2016-09-28,1,0.04437539432176656,-0.3834859972827278,TX,19.020000457763672,19.82999992370605,19.020000457763672,19.81999969482422,13.644025802612305,362800,89,85.0,,0.85,75.64999999999999,0.639999389648434,0.03335067075754328
22,2016-09-29,3,0.04595268138801262,0.03554418141750193,TX,19.979999542236328,19.979999542236328,19.540000915527344,19.690000534057617,13.554532051086426,270500,88,85.0,,0.85,74.8,0.149999618530277,0.007564277312525736
23,2016-10-06,1,0.04437539432176656,-0.03432415734193717,TX,19.170000076293945,19.36000061035156,19.059999465942383,19.200000762939453,13.217219352722168,201300,93,84.0,,0.84,78.11999999999999,-0.6199989318847692,-0.03103097828276391
24,2016-10-13,1,0.04437539432176656,0.0,TX,19.479999542236328,19.709999084472656,19.07999992370605,19.68000030517578,13.547647476196287,193500,92,84.0,,0.84,77.28,0.3499984741210973,0.0180784330106869
25,2016-10-14,1,0.04437539432176656,0.0,TX,19.93000030517578,20.200000762939453,19.809999465942383,20.030000686645508,13.788589477539062,236800,98,84.0,,0.84,82.32,0.4900016784667969,0.024860563228174648
26,2016-10-18,78,0.10510094637223975,1.3684509845738253,TX,21.18000030517578,21.540000915527344,20.940000534057617,21.26000022888184,14.635315895080566,507700,95,84.0,,0.84,79.8,1.3400001525878906,0.06633663871173523
27,2016-10-19,11,0.05226182965299685,-0.5027463457093977,TX,21.38999938964844,22.43000030517578,21.34000015258789,22.229999542236328,15.303059577941896,588100,96,84.0,,0.84,80.64,0.8899993896484375,0.04131844715971544
28,2016-10-24,1,0.04437539432176656,-0.15090239633005376,TX,22.649999618530277,22.950000762939453,22.530000686645508,22.8799991607666,15.750518798828123,423400,98,84.0,,0.84,82.32,0.5200004577636719,0.023183256829634624
29,2016-10-27,2,0.045164037854889594,0.017772090708751076,TX,24.059999465942383,24.059999465942383,23.3799991607666,23.709999084472656,16.32188606262207,242100,94,84.0,,0.84,78.96,1.1099987030029297,0.04836595495000595
30,2016-10-31,2,0.045164037854889594,-0.12257155114297957,TX,23.940000534057617,23.989999771118164,23.6200008392334,23.90999984741211,16.45956802368164,239000,92,84.0,,0.84,77.28,-0.06999969482421875,-0.0029093805643389814
31,2016-11-01,2,0.045164037854889594,0.0,TX,24.09000015258789,24.149999618530277,23.200000762939453,23.3799991607666,16.094717025756836,348000,98,80.0,False,0.8,78.4,0.15999984741211293,0.006669439305486691
32,2016-11-03,7,0.04910725552050473,0.08730879374170564,TX,22.899999618530277,26.5,22.899999618530277,26.01000022888184,17.905200958251953,1275200,92,80.0,,0.8,73.60000000000001,2.350000381469723,0.09730850594575458
33,2016-11-16,6,0.0483186119873817,-0.01605961328451211,TX,22.959999084472656,22.959999084472656,21.8700008392334,22.31999969482422,15.365015029907228,378900,89,80.0,,0.8,71.2,-3.5400009155273438,-0.13358494020857903
34,2016-11-18,2,0.045164037854889594,-0.06528693608408942,TX,21.8799991607666,22.059999465942383,21.670000076293945,21.709999084472656,14.945093154907228,394200,95,80.0,,0.8,76.0,-0.8999996185302734,-0.03919859122028113
35,2016-11-21,2,0.045164037854889594,0.0,TX,21.940000534057617,22.649999618530277,21.770000457763672,22.520000457763672,15.502695083618164,483500,90,80.0,,0.8,72.0,0.5900001525878942,0.026745247818286355
36,2016-11-22,2,0.045164037854889594,0.0,TX,22.780000686645508,24.420000076293945,22.649999618530277,24.149999618530277,16.624780654907227,1014000,100,80.0,,0.8,80.0,1.7700004577636683,0.07814571689067962
37,2016-12-02,4,0.04674132492113565,0.03492351749668221,TX,24.26000022888184,24.450000762939453,23.71999931335449,24.40999984741211,16.80376625061035,412500,88,80.0,,0.8,70.4,0.030000686645507812,0.0012285293428246913
38,2016-12-08,26,0.06409148264984227,0.37119524870081655,TX,26.940000534057617,27.0,26.3799991607666,26.489999771118164,18.23563003540039,440600,89,80.0,,0.8,71.2,2.549999237060547,0.10429444406912891
39,2016-12-09,6,0.0483186119873817,-0.24609932568784765,TX,26.5,26.5,25.739999771118164,25.940000534057617,17.857013702392578,207000,83,80.0,,0.8,66.4,-0.5,-0.01851851851851849
40,2016-12-15,2,0.045164037854889594,-0.017162078670968528,TX,24.43000030517578,24.6299991607666,23.799999237060547,24.559999465942383,16.90702247619629,392200,87,80.0,,0.8,69.60000000000001,-1.8700008392333984,-0.07056606940503385
41,2016-12-16,3,0.04595268138801262,0.017461758748340994,TX,24.6200008392334,24.6200008392334,23.940000534057617,24.06999969482422,16.56970977783203,272500,90,80.0,,0.8,72.0,-0.009998321533203125,-0.00040594079877720457
42,2017-01-09,4,0.04674132492113565,-0.14436680718369233,TX,23.489999771118164,24.11000061035156,23.40999984741211,23.6200008392334,16.259931564331055,246300,97,82.0,,0.82,79.53999999999999,-0.5100002288818395,-0.020714874553096063
43,2017-01-13,6,0.0483186119873817,0.03374502260916512,TX,24.40999984741211,25.170000076293945,24.40999984741211,24.75,17.03782081604004,367900,99,82.0,,0.82,81.17999999999999,1.0599994659423864,0.043965136420912376
44,2017-01-25,16,0.056205047318611985,0.2665813606312646,TX,23.88999938964844,23.899999618530277,23.13999938964844,23.549999237060547,16.211746215820312,276900,94,82.0,,0.82,77.08,-1.2700004577636683,-0.05045691116067186
45,2017-02-09,3,0.04595268138801262,-0.18241005780995678,TX,22.729999542236328,23.049999237060547,22.540000915527344,23.020000457763672,15.846893310546877,206500,86,83.0,,0.83,71.38,-0.8500003814697301,-0.03556487008521558
46,2017-02-13,0,0.04358675078864353,-0.05148623601290592,TX,24.059999465942383,24.670000076293945,24.0,24.479999542236328,16.851953506469727,381300,91,83.0,,0.83,75.53,1.6200008392333984,0.0702820343971513
