,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,WH_unscaled,WH_monthly,isPartial,scale,WH,Stock_Price_Change,Stock_Price_Change_Percent
0,2018-06-12,1,0.007578947368421052,-0.11032656663724638,WH,60.06999969482422,61.9900016784668,60.04999923706055,60.52000045776367,57.02248001098633,1810100,87,68.0,,0.68,59.16,,
1,2018-06-13,7,0.010398496240601504,0.37202380952380953,WH,60.650001525878906,60.959999084472656,59.4900016784668,59.65999984741211,56.212181091308594,2651400,74,68.0,,0.68,50.32,-1.0300025939941406,-0.01661562455404686
2,2018-06-19,5,0.009458646616541354,-0.09038322487346351,WH,61.369998931884766,61.65999984741211,60.810001373291016,61.5,58.18967819213867,1419400,91,68.0,,0.68,61.88,0.7000007629394531,0.01148295232041363
3,2018-06-20,1,0.007578947368421052,-0.19872813990461058,WH,61.52000045776367,62.84000015258789,61.5,61.900001525878906,58.56815719604492,1335700,84,68.0,,0.68,57.120000000000005,1.1800003051757812,0.01913720901874605
4,2018-06-21,6,0.009928571428571429,0.3100198412698414,WH,61.70000076293945,62.5,60.91999816894531,62.09000015258789,58.7479248046875,1389000,77,68.0,,0.68,52.36000000000001,-0.3400001525878906,-0.005410568933200244
5,2018-06-26,1,0.007578947368421052,-0.23665278303672854,WH,62.83000183105469,62.93999862670898,60.619998931884766,61.15999984741211,57.86798095703125,1871100,84,68.0,,0.68,57.120000000000005,0.43999862670897727,0.007039978027343574
6,2018-07-02,1,0.007578947368421052,0.0661025912215758,WH,58.59999847412109,58.84999847412109,57.15999984741211,57.68000030517578,54.575294494628906,1040700,57,67.0,,0.67,38.190000000000005,-4.090000152587891,-0.06498252688000972
7,2018-07-05,27,0.019796992481203007,1.6121031746031749,WH,57.77000045776367,59.38999938964844,57.310001373291016,59.04999923706055,55.87155532836914,1089000,71,67.0,,0.67,47.57,0.5400009155273509,0.009175886652993182
8,2018-07-12,7,0.010398496240601504,-0.4747436384352449,WH,59.209999084472656,59.2400016784668,58.18000030517578,58.709999084472656,55.54985427856445,564000,68,67.0,,0.67,45.56,-0.14999771118164062,-0.002525639210694819
9,2018-07-18,1,0.007578947368421052,-0.19872813990461058,WH,57.869998931884766,59.2400016784668,57.76499938964844,59.0099983215332,55.83370590209961,693600,100,67.0,,0.67,67.0,0.0,0.0
10,2018-07-24,2,0.008048872180451128,-0.3910693970420933,WH,57.79999923706055,58.380001068115234,57.7509994506836,57.900001525878906,54.78345489501953,656600,76,67.0,,0.67,50.92,-0.8600006103515625,-0.014517227987590808
11,2018-07-25,1,0.007578947368421052,-0.05838393274170961,WH,57.52000045776367,57.83000183105469,55.869998931884766,57.41999816894531,54.32929229736328,1169000,76,67.0,,0.67,50.92,-0.5499992370605469,-0.009421021360017323
12,2018-08-07,0,0.007109022556390977,-0.062003968253968256,WH,61.970001220703125,62.04999923706055,60.5099983215332,60.91999816894531,57.64089584350586,589900,56,70.0,,0.7,39.2,4.219997406005859,0.07297245845390443
13,2018-08-08,0,0.007109022556390977,0.0,WH,60.91999816894531,61.18000030517578,58.255001068115234,58.470001220703125,55.32277297973633,951400,68,70.0,,0.7,47.6,-0.8699989318847656,-0.01402093380470415
14,2018-08-09,1,0.007578947368421052,0.0661025912215758,WH,58.52000045776367,59.34999847412109,56.52999877929688,56.869998931884766,53.80889129638672,2166700,63,70.0,,0.7,44.1,-1.8300018310546946,-0.029911765641162935
15,2018-08-15,1,0.007578947368421052,-0.46468401486988853,WH,56.41999816894531,56.9900016784668,56.09999847412109,56.7400016784668,53.68589782714844,446800,57,70.0,,0.7,39.9,-2.3599967956542898,-0.039764058236384625
16,2018-08-16,2,0.008048872180451128,0.06200396825396837,WH,57.08000183105469,57.66999816894531,56.810001373291016,57.40999984741211,54.3198356628418,491700,59,70.0,,0.7,41.3,0.6799964904785156,0.011931855947557413
17,2018-08-28,52,0.03154511278195488,2.919196637085473,WH,56.33000183105469,56.900001525878906,56.02000045776367,56.630001068115234,53.58182144165039,420500,81,70.0,,0.7,56.7,-0.7699966430664062,-0.013351771588594241
18,2018-08-29,1,0.007578947368421052,-0.7597425813371469,WH,56.630001068115234,57.09999847412109,56.060001373291016,56.459999084472656,53.42097091674805,483000,74,70.0,,0.7,51.8,0.1999969482421804,0.003514884760613235
19,2018-08-31,36,0.024026315789473684,2.170138888888889,WH,56.869998931884766,57.73500061035156,56.43000030517578,56.75,53.69535446166992,792300,73,70.0,,0.7,51.1,0.6350021362304759,0.01112087833974762
20,2018-09-07,2,0.008048872180451128,-0.5124117513094967,WH,56.18999862670898,56.3849983215332,54.9900016784668,55.27000045776367,52.295021057128906,1031000,62,79.0,,0.79,48.98,-1.3500022888183594,-0.023382736200687093
21,2018-09-13,3,0.008518796992481203,0.12400793650793651,WH,55.459999084472656,56.72999954223633,55.459999084472656,56.27000045776367,53.481327056884766,679600,70,79.0,,0.79,55.3,0.345001220703125,0.006118670408319815
22,2018-09-14,4,0.008988721804511279,0.05516328331862308,WH,56.40999984741211,57.61000061035156,56.12099838256836,56.68000030517578,53.871002197265625,870700,62,79.0,,0.79,48.98,0.8800010681152344,0.015512093693215379
23,2018-09-17,1,0.007578947368421052,-0.15683814303638655,WH,56.56999969482422,57.04999923706055,55.20000076293945,55.400001525878906,52.6544303894043,791000,74,79.0,,0.79,58.46,-0.5600013732910156,-0.009720558364139209
24,2018-09-27,2,0.008048872180451128,-0.5124117513094967,WH,56.0099983215332,56.59000015258789,55.70000076293945,56.22999954223633,53.44329833984375,841000,80,79.0,,0.79,63.2,-0.45999908447265625,-0.008063086601653002
25,2018-09-28,1,0.007578947368421052,-0.05838393274170961,WH,55.95000076293945,56.7400016784668,55.560001373291016,55.56999969482422,52.81600189208984,685600,58,79.0,,0.79,45.82,0.15000152587890625,0.0026506719468890605
26,2018-10-04,8,0.01086842105263158,0.4340277777777779,WH,52.720001220703125,52.93999862670898,51.83000183105469,52.650001525878906,50.04072570800781,1208200,94,73.0,,0.73,68.62,-3.8000030517578196,-0.06697220548726113
27,2018-10-05,39,0.02543609022556391,1.3403666551366307,WH,52.59000015258789,53.4900016784668,51.869998931884766,52.45000076293945,49.85063552856445,742600,82,73.0,,0.73,59.86,0.5500030517578196,0.010389177673312933
28,2018-10-10,1,0.007578947368421052,-0.7020396098137748,WH,52.84999847412109,52.84999847412109,51.34000015258789,51.40999984741211,48.8621826171875,1336500,90,73.0,,0.73,65.7,-0.6400032043457102,-0.011964912773658631
29,2018-10-11,1,0.007578947368421052,0.0,WH,51.22999954223633,52.02000045776367,49.68000030517578,49.91999816894531,47.44601821899414,1276400,81,73.0,,0.73,59.13,-0.8299980163574148,-0.015704787896329564
30,2018-10-16,3,0.008518796992481203,0.12400793650793651,WH,50.720001220703125,51.720001220703125,50.5,51.58000183105469,49.02375793457031,920800,79,73.0,,0.73,57.67,-0.2999992370605469,-0.005766997970408028
31,2018-10-19,9,0.011338345864661654,0.3309796999117387,WH,50.13999938964844,50.15999984741211,47.93999862670898,48.0,45.62117004394531,1278300,83,73.0,,0.73,60.59,-1.5600013732910156,-0.03016243883355829
32,2018-10-22,37,0.02449624060150376,1.160477453580902,WH,48.22999954223633,48.70500183105469,47.880001068115234,48.15999984741211,45.77323913574219,914900,62,73.0,,0.73,45.26,-1.4549980163574219,-0.02900713757542983
33,2018-10-23,1,0.007578947368421052,-0.6906077348066298,WH,47.43999862670898,47.65999984741211,46.150001525878906,46.68000030517578,44.36659240722656,1539500,98,73.0,,0.73,71.53999999999999,-1.0450019836425781,-0.021455742621002805
34,2018-10-26,15,0.014157894736842105,0.8680555555555556,WH,45.27000045776367,46.16999816894531,44.959999084472656,45.650001525878906,43.38764572143555,1131000,89,73.0,,0.73,64.97,-1.4900016784667969,-0.031263149039806426
35,2018-10-29,16,0.01462781954887218,0.03319171534784915,WH,46.060001373291016,46.54999923706055,44.970001220703125,45.31999969482422,43.07398986816406,1848800,80,73.0,,0.73,58.4,0.3800010681152344,0.008230476135709042
36,2018-10-30,1,0.007578947368421052,-0.481881264456438,WH,46.34999847412109,48.2400016784668,45.70000076293945,47.4900016784668,45.136451721191406,1676000,100,73.0,,0.73,73.0,1.69000244140625,0.036305101377118065
37,2018-11-02,24,0.018387218045112782,1.4260912698412698,WH,50.13999938964844,50.869998931884766,48.91999816894531,49.47999954223633,47.027828216552734,864700,73,80.0,,0.8,58.400000000000006,2.6299972534179688,0.054519012477396656
