,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,IT_unscaled,IT_monthly,isPartial,scale,IT,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,1,0.05732502308402586,-0.031209525147074868,IT,87.06999969482422,88.62000274658203,86.81999969482422,88.31999969482422,88.31999969482422,336000,98,77.0,,0.77,75.46000000000001,,
1,2016-05-03,0,0.056401662049861495,-0.016107469033390887,IT,87.87999725341797,88.30999755859375,86.31999969482422,87.11000061035156,87.11000061035156,254800,97,77.0,,0.77,74.69,-0.31000518798828125,-0.0034981401306742876
2,2016-05-04,1,0.05732502308402586,0.01637116710050268,IT,86.62000274658203,87.88999938964844,86.16999816894531,87.58999633789062,87.58999633789062,304000,94,77.0,,0.77,72.38,-0.4199981689453125,-0.004755952673044073
3,2016-05-13,7,0.062865189289012,0.07926065659527914,IT,97.97000122070312,98.56999969482422,97.1500015258789,97.5999984741211,97.5999984741211,291400,95,77.0,,0.77,73.15,10.680000305175781,0.12151553509321844
4,2016-05-19,8,0.06378855032317636,0.01468795440858961,IT,97.31999969482422,98.45999908447266,96.76000213623048,98.12999725341795,98.12999725341795,247000,96,77.0,,0.77,73.92,-0.1100006103515625,-0.001115964397809921
5,2016-05-23,1,0.05732502308402586,-0.1013273887931907,IT,99.2300033569336,99.2300033569336,98.43000030517578,98.83999633789062,98.83999633789062,230800,96,77.0,,0.77,73.92,0.7700042724609375,0.007820478159870081
6,2016-05-24,2,0.058248384118190215,0.016107469033390664,IT,99.4000015258789,101.30999755859376,99.38999938964844,101.23999786376952,101.23999786376952,269600,97,77.0,,0.77,74.69,2.0799942016601705,0.020961343659118503
7,2016-05-25,3,0.05917174515235457,0.01585213131905583,IT,101.47000122070312,101.98999786376952,100.9499969482422,101.5199966430664,101.5199966430664,289600,93,77.0,,0.77,71.61,0.6800003051757528,0.006712075032698106
8,2016-05-27,18,0.07302216066481995,0.2340714386030618,IT,101.86000061035156,102.5500030517578,101.4499969482422,102.3499984741211,102.3499984741211,302200,93,77.0,,0.77,71.61,0.5600051879882812,0.005490785368348572
9,2016-05-31,2,0.058248384118190215,-0.09988156899676104,IT,102.70999908447266,103.0,101.58999633789062,101.62000274658205,101.62000274658205,560400,92,77.0,,0.77,70.84,0.4499969482422017,0.004388073474898668
