,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,AL_unscaled,AL_monthly,isPartial,scale,AL,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-11,1,0.13749851632047477,-0.13124097718281869,AL,31.26000022888184,31.65999984741211,30.959999084472656,30.989999771118164,28.6268367767334,660500,90,96.0,,0.96,86.39999999999999,,
1,2016-06-29,1,0.13749851632047477,0.0,AL,25.489999771118164,26.459999084472656,25.38999938964844,26.350000381469727,24.381437301635746,1327300,96,100.0,,1.0,96.0,-5.200000762939453,-0.16424512912196054
2,2016-06-30,34,0.2354213649851632,0.7121738567451497,AL,26.520000457763672,27.01000022888184,26.100000381469727,26.780000686645508,24.77931404113769,1134600,100,100.0,,1.0,100.0,0.5500011444091832,0.020786136184408832
3,2016-07-19,2,0.1404658753709199,-0.4033427026481968,AL,29.34000015258789,29.540000915527344,29.07999992370605,29.299999237060547,27.11104965209961,552800,81,100.0,,1.0,81.0,2.5300006866455043,0.0936690361053818
4,2016-08-01,5,0.14936795252225518,0.06337537233031232,AL,28.76000022888184,29.049999237060547,28.399999618530277,28.57999992370605,26.4448356628418,705400,96,93.0,False,0.93,89.28,-0.4900016784667969,-0.016587734031153434
5,2016-08-18,2,0.1404658753709199,-0.059598307408069484,AL,28.0,28.11000061035156,27.8799991607666,28.059999465942383,25.963682174682617,1307600,88,93.0,,0.93,81.84,-0.9399986267089879,-0.03235795701880029
6,2016-08-22,1,0.13749851632047477,-0.021125124110104254,AL,28.209999084472656,28.40999984741211,28.0,28.350000381469727,26.23202514648437,651300,94,93.0,,0.93,87.42,0.2999992370605504,0.010672331218309461
7,2016-09-07,1,0.13749851632047477,0.0,AL,29.100000381469727,29.729999542236328,28.950000762939453,29.71999931335449,27.49966812133789,618700,90,91.0,,0.91,81.9,1.3199996948242188,0.04646250270728025
8,2016-09-19,1,0.13749851632047477,0.0,AL,28.270000457763672,28.450000762939453,27.770000457763672,27.920000076293945,25.87767791748047,866900,91,91.0,,0.91,82.81,-1.279998779296875,-0.043054113656423976
9,2016-10-03,3,0.143433234421365,0.04316205192394862,AL,28.479999542236328,28.739999771118164,28.190000534057617,28.520000457763672,26.43379211425781,680700,50,92.0,,0.92,46.0,0.28999900817871094,0.010193286481611663
10,2016-10-05,16,0.18200890207715134,0.2689451145085544,AL,28.350000381469727,28.88999938964844,28.280000686645508,28.559999465942383,26.47086524963379,871900,51,92.0,,0.92,46.92,0.149999618530277,0.005219193449020665
11,2017-01-11,1,0.13749851632047477,-0.24455059751862662,AL,35.869998931884766,36.45000076293945,35.619998931884766,35.95000076293945,33.38882827758789,637800,92,86.0,,0.86,79.12,7.560001373291012,0.2616822960543166
12,2017-01-30,6,0.1523353115727003,0.10790512980987121,AL,36.2400016784668,36.4900016784668,35.689998626708984,36.47999954223633,33.881065368652344,500600,98,86.0,,0.86,84.28,0.04000091552734375,0.0010974187843644234
13,2017-02-03,-1,0.13156379821958458,-0.1363538967995792,AL,36.72999954223633,37.209999084472656,36.47999954223633,37.0,34.364017486572266,563900,67,93.0,,0.93,62.31,0.7199974060058594,0.01973136127397712
14,2017-02-06,2,0.1404658753709199,0.06766357669666423,AL,36.93000030517578,37.20000076293945,36.650001525878906,37.02999877929688,34.39188003540039,360000,62,93.0,,0.93,57.66,-0.009998321533203125,-0.0002686998596937995
15,2017-02-23,1,0.13749851632047477,-0.14722932808215405,AL,40.06999969482422,40.22999954223633,39.18000030517578,39.27000045776367,36.47230529785156,1022800,68,93.0,,0.93,63.24,3.029998779296875,0.08145157841812511
16,2017-02-27,14,0.17607418397626112,0.280553337505665,AL,38.02000045776367,38.91999816894531,37.970001220703125,38.91999816894531,36.14723587036133,1384300,68,93.0,,0.93,63.24,-1.3100013732910156,-0.0325627986129029
17,2017-03-15,14,0.17607418397626112,0.0,AL,39.0099983215332,39.31999969482422,38.86000061035156,39.16999816894531,36.379425048828125,466400,92,91.0,,0.91,83.72,0.40000152587890625,0.010277531980925625
