,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,BABA_unscaled,BABA_monthly,isPartial,scale,BABA,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-03,2,0.006291005291005291,0.059400059400059435,BABA,75.95999908447266,76.2699966430664,75.42500305175781,75.91000366210938,75.91000366210938,8019200,71,60.0,,0.6,42.6,,
1,2016-05-04,1,0.0059382716049382715,-0.056069526212503495,BABA,75.63999938964844,75.91000366210938,75.01000213623047,75.81999969482422,75.81999969482422,14326600,80,60.0,,0.6,48.0,-0.35999298095703125,-0.004719981602224976
2,2016-05-05,1,0.0059382716049382715,0.0,BABA,79.5199966430664,79.94000244140625,78.0999984741211,78.83000183105469,78.83000183105469,27950900,95,60.0,,0.6,57.0,4.029998779296875,0.053089165918568604
3,2016-05-06,1,0.0059382716049382715,0.0,BABA,78.3499984741211,79.72000122070312,78.25,79.19999694824219,79.19999694824219,12862100,76,60.0,,0.6,45.6,-0.220001220703125,-0.002752079234227933
4,2016-05-09,1,0.0059382716049382715,0.0,BABA,78.94000244140625,79.9800033569336,78.88999938964844,79.41000366210938,79.41000366210938,11795800,63,60.0,,0.6,37.8,0.26000213623046875,0.003261441699061951
5,2016-05-18,1,0.0059382716049382715,0.0,BABA,78.70999908447266,80.0,78.47000122070312,79.02999877929688,79.02999877929688,9085800,78,60.0,,0.6,46.8,0.01999664306640625,0.00025002053297207283
6,2016-05-25,4,0.00699647266313933,0.1782001782001783,BABA,78.52999877929688,79.19999694824219,74.12000274658203,75.58999633789062,75.58999633789062,49606600,96,60.0,,0.6,57.6,-0.8000030517578125,-0.0100000381469727
7,2016-05-26,2,0.006291005291005291,-0.10083186286866652,BABA,75.58999633789062,78.86499786376953,75.58999633789062,78.3499984741211,78.3499984741211,26968600,85,60.0,,0.6,51.0,-0.33499908447265625,-0.004229786583092698
8,2016-05-27,1,0.0059382716049382715,-0.056069526212503495,BABA,78.48999786376953,81.0,78.38999938964844,80.97000122070312,80.97000122070312,24552900,75,60.0,,0.6,45.0,2.1350021362304688,0.027071605833534074
9,2016-05-31,7,0.008054673721340389,0.3564003564003566,BABA,81.0,82.02999877929688,80.19999694824219,82.0,82.0,78861400,76,60.0,,0.6,45.6,1.029998779296875,0.012716034312307167
10,2016-06-01,12,0.009818342151675485,0.21896211955331735,BABA,82.0,82.0,76.55000305175781,76.69000244140625,76.69000244140625,62531500,100,54.0,False,0.54,54.0,-0.029998779296875,-0.00036570498285126707
11,2016-06-02,5,0.007349206349206349,-0.25148194718879113,BABA,76.6500015258789,77.75,76.55999755859375,77.30000305175781,77.30000305175781,45379500,87,54.0,,0.54,46.98,-4.25,-0.05182926829268297
12,2016-06-03,1,0.0059382716049382715,-0.19198464122870174,BABA,77.23999786376953,77.80000305175781,75.70999908447266,76.62000274658203,76.62000274658203,23685700,81,54.0,,0.54,43.74,0.0500030517578125,0.000643126067624511
13,2016-06-09,2,0.006291005291005291,0.059400059400059435,BABA,77.38999938964844,78.06999969482422,76.77999877929688,77.55999755859375,77.55999755859375,8994400,85,54.0,,0.54,45.900000000000006,0.26999664306640625,0.00347039373361957
14,2016-06-10,5,0.007349206349206349,0.1682085786375105,BABA,76.43000030517578,77.05000305175781,75.76000213623047,75.91999816894531,75.91999816894531,10421100,77,54.0,,0.54,41.580000000000005,-1.0199966430664062,-0.013065154951371505
15,2016-06-13,3,0.006643738977072311,-0.09599232061435081,BABA,75.25,76.45500183105469,74.8499984741211,75.44999694824219,75.44999694824219,11300800,75,54.0,,0.54,40.5,-0.595001220703125,-0.00772227381098789
16,2016-06-15,7,0.008054673721340389,0.21237058667374575,BABA,78.30999755859375,78.76899719238281,77.51000213623047,78.38999938964844,78.38999938964844,14734800,84,54.0,,0.54,45.36,2.313995361328125,0.030266108245493806
17,2016-06-17,4,0.00699647266313933,-0.13137727173199043,BABA,78.44999694824219,78.44999694824219,76.4800033569336,77.0,77.0,15582600,76,54.0,,0.54,41.040000000000006,-0.319000244140625,-0.004049819795998055
18,2016-06-21,2,0.006291005291005291,-0.053092646668436494,BABA,78.75,79.08000183105469,78.4000015258789,78.62000274658203,78.62000274658203,8881800,76,54.0,,0.54,41.040000000000006,0.6300048828125,0.008030655287700528
19,2016-06-23,2,0.006291005291005291,0.0,BABA,79.16000366210938,79.45999908447266,78.55000305175781,79.13999938964844,79.13999938964844,8279500,83,54.0,,0.54,44.82,0.37999725341796875,0.004805225652748435
20,2016-06-27,1,0.0059382716049382715,-0.056069526212503495,BABA,75.80000305175781,75.97000122070312,73.30000305175781,74.2300033569336,74.2300033569336,15131300,74,54.0,,0.54,39.96,-3.4899978637695312,-0.043921443543679994
