,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,MC_unscaled,MC_monthly,isPartial,scale,MC,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-05,2,0.005830917874396135,4.8309178743961345,MC,27.190000534057617,27.614999771118164,26.950000762939453,27.09000015258789,16.660951614379883,73600,80,83.0,,0.83,66.39999999999999,,
1,2016-05-06,1,0.001,-0.8285004142502072,MC,26.989999771118164,27.354999542236328,26.84000015258789,27.1200008392334,16.679407119750977,183500,80,83.0,,0.83,66.39999999999999,-0.26000022888183594,-0.009415181279623375
2,2016-05-10,1,0.001,0.0,MC,27.190000534057617,27.65999984741211,27.190000534057617,27.34000015258789,16.814706802368164,80900,74,83.0,,0.83,61.42,0.30500030517578125,0.011149709752502845
3,2016-05-18,1,0.001,0.0,MC,26.09000015258789,26.940000534057617,26.09000015258789,26.76000022888184,16.646371841430664,83400,72,83.0,,0.83,59.76,-0.7199993133544922,-0.02603034408266114
4,2016-05-23,1,0.001,0.0,MC,26.61000061035156,26.68000030517578,26.26000022888184,26.479999542236328,16.472196578979492,65300,86,83.0,,0.83,71.38,-0.26000022888183594,-0.0096510847708835
5,2016-05-25,1,0.001,0.0,MC,27.13999938964844,27.559999465942383,26.93000030517578,27.09000015258789,16.851654052734375,131200,81,83.0,,0.83,67.22999999999999,0.8799991607666016,0.0329834764130752
6,2016-07-19,1,0.001,0.0,MC,25.100000381469727,25.200000762939453,24.809999465942383,25.0,15.55154514312744,80900,87,82.0,,0.82,71.33999999999999,-2.3599987030029297,-0.0856313043808048
7,2016-07-20,1,0.001,0.0,MC,25.200000762939453,25.420000076293945,24.86000061035156,25.11000061035156,15.619976043701172,56400,93,82.0,,0.82,76.25999999999999,0.2199993133544922,0.008730131218013026
8,2016-07-21,1,0.001,0.0,MC,25.200000762939453,25.479999542236328,24.790000915527344,24.8799991607666,15.47689723968506,84400,87,82.0,,0.82,71.33999999999999,0.05999946594238281,0.002360325167675148
9,2016-07-26,1,0.001,0.0,MC,24.989999771118164,25.38500022888184,24.90999984741211,25.1299991607666,15.632416725158691,60300,91,82.0,,0.82,74.61999999999999,-0.09499931335448863,-0.0037283875612719175
10,2016-07-27,1,0.001,0.0,MC,25.100000381469727,25.53499984741211,25.059999465942383,25.38999938964844,15.794149398803713,69800,89,82.0,,0.82,72.97999999999999,0.14999961853026988,0.005908986298121421
11,2016-08-09,1,0.001,0.0,MC,26.989999771118164,27.100000381469727,26.790000915527344,26.82999992370605,16.689916610717773,90300,72,84.0,,0.84,60.48,1.5650005340576172,0.06128844892929286
12,2016-08-23,1,0.001,0.0,MC,26.61000061035156,27.343000411987305,26.5,26.86000061035156,16.91391372680664,67600,75,84.0,,0.84,63.0,0.24300003051757812,0.008966790667786606
13,2016-09-01,1,0.001,0.0,MC,26.950000762939453,27.049999237060547,26.280000686645508,26.489999771118164,16.680917739868164,65700,97,75.0,False,0.75,72.75,-0.2930011749267578,-0.01071576529685836
14,2016-09-09,1,0.001,0.0,MC,26.350000381469727,26.38999938964844,25.700000762939453,25.71999931335449,16.196044921875,76300,78,75.0,,0.75,58.5,-0.6599998474121058,-0.02439925567568435
15,2016-09-12,1,0.001,0.0,MC,25.780000686645508,26.450000762939453,25.559999465942383,26.420000076293945,16.636838912963867,323400,82,75.0,,0.75,61.5,0.06000137329101207,0.002273640571380575
16,2016-09-15,1,0.001,0.0,MC,25.770000457763672,26.21999931335449,25.520000457763672,26.09000015258789,16.429033279418945,64100,87,75.0,,0.75,65.25,-0.2300014495849645,-0.008695706727813501
17,2016-09-16,2,0.005830917874396135,4.8309178743961345,MC,26.100000381469727,26.38999938964844,25.93000030517578,26.149999618530277,16.46681785583496,148600,83,75.0,,0.75,62.25,0.17000007629395242,0.006483603384664027
18,2016-09-23,1,0.001,-0.8285004142502072,MC,26.700000762939453,26.84000015258789,26.36000061035156,26.40999984741211,16.630538940429688,34300,81,75.0,,0.75,60.75,0.4500007629394496,0.0170519429081899
19,2016-09-28,1,0.001,0.0,MC,26.31999969482422,26.57999992370605,26.170000076293945,26.399999618530277,16.62424087524414,52600,83,75.0,,0.75,62.25,-0.2600002288818395,-0.00968704274976584
20,2016-10-06,1,0.001,0.0,MC,26.3700008392334,26.57200050354004,26.15999984741211,26.239999771118164,16.52349090576172,41800,84,77.0,,0.77,64.68,-0.007999420166012072,-0.00030095636527360803
21,2016-10-17,1,0.001,0.0,MC,24.549999237060547,24.700000762939453,24.167999267578125,24.25,15.270374298095703,36600,89,77.0,,0.77,68.53,-1.871999740600586,-0.07045008675019371
22,2016-10-19,2,0.005830917874396135,4.8309178743961345,MC,24.5,24.950000762939453,24.350000381469727,24.799999237060547,15.61671543121338,50500,86,77.0,,0.77,66.22,0.25,0.010121457177244553
23,2016-10-20,1,0.001,-0.8285004142502072,MC,24.700000762939453,25.200000762939453,24.549999237060547,24.75,15.58523178100586,53200,89,77.0,,0.77,68.53,0.25,0.010020039773760203
24,2016-10-24,2,0.005830917874396135,4.8309178743961345,MC,25.299999237060547,25.450000762939453,24.799999237060547,25.049999237060547,15.77413845062256,42400,82,77.0,,0.77,63.14,0.25,0.00992063462028403
25,2016-10-25,1,0.001,-0.8285004142502072,MC,25.200000762939453,25.200000762939453,24.649999618530277,25.100000381469727,15.805622100830078,85900,84,77.0,,0.77,64.68,-0.25,-0.009823182416719312
26,2016-10-28,2,0.005830917874396135,4.8309178743961345,MC,26.399999618530277,26.799999237060547,25.649999618530277,26.149999618530277,16.46681785583496,76100,89,77.0,,0.77,68.53,1.5999984741210938,0.06349200101906916
27,2016-11-02,1,0.001,-0.8285004142502072,MC,25.149999618530277,25.225000381469727,24.600000381469727,24.649999618530277,15.522260665893556,48000,77,75.0,,0.75,57.75,-1.5749988555908203,-0.05876861568760139
28,2016-11-07,1,0.001,0.0,MC,25.5,27.399999618530277,25.100000381469727,25.25,15.900081634521484,93500,76,75.0,,0.75,57.0,2.1749992370605504,0.08622395259340832
29,2016-11-10,1,0.001,0.0,MC,26.75,28.600000381469727,26.200000762939453,27.399999618530277,17.253952026367188,208900,77,75.0,,0.75,57.75,1.2000007629394496,0.04379564889219578
30,2016-11-14,2,0.005830917874396135,4.8309178743961345,MC,28.299999237060547,29.649999618530277,28.0,28.399999618530277,17.88365364074707,360300,80,75.0,,0.75,60.0,1.0499992370605504,0.036713259547396904
31,2016-11-16,4,0.015492753623188405,1.657000828500414,MC,28.350000381469727,29.049999237060547,28.27899932861328,28.799999237060547,18.135536193847656,135100,83,75.0,,0.75,62.25,-0.6000003814697301,-0.020236100815824276
32,2016-11-22,1,0.001,-0.9354536950420954,MC,29.100000381469727,29.25,29.0,29.100000381469727,18.531436920166016,138700,79,75.0,,0.75,59.25,0.20000076293945312,0.006884708027265596
33,2016-11-25,1,0.001,0.0,MC,29.299999237060547,29.75,29.049999237060547,29.75,18.94536781311035,36000,90,75.0,,0.75,67.5,0.5,0.017094017094017033
34,2016-11-29,1,0.001,0.0,MC,28.299999237060547,29.100000381469727,28.25,28.549999237060547,18.181182861328125,126700,75,75.0,,0.75,56.25,-0.6499996185302734,-0.021848726673286523
35,2016-12-05,2,0.005830917874396135,4.8309178743961345,MC,29.049999237060547,29.399999618530277,28.75,28.799999237060547,18.34038734436035,201500,90,76.0,,0.76,68.4,0.2999992370605504,0.01030925199752164
36,2016-12-07,1,0.001,-0.8285004142502072,MC,29.100000381469727,30.100000381469727,29.100000381469727,29.899999618530277,19.040891647338867,211800,83,76.0,,0.76,63.08,0.7000007629394496,0.02380955006877805
37,2016-12-15,1,0.001,0.0,MC,31.100000381469727,32.45000076293945,30.700000762939453,32.400001525878906,20.6329402923584,336900,85,76.0,,0.76,64.6,2.3500003814697266,0.07807310138495693
38,2016-12-16,2,0.005830917874396135,4.8309178743961345,MC,32.650001525878906,32.82500076293945,32.099998474121094,32.79999923706055,20.88766288757324,475100,81,76.0,,0.76,61.56,0.375,0.011556240098098192
39,2016-12-21,1,0.001,-0.8285004142502072,MC,34.0,34.349998474121094,33.29999923706055,34.29999923706055,22.64358711242676,246200,94,76.0,,0.76,71.44,1.5249977111816406,0.04645842119532917
40,2016-12-27,2,0.005830917874396135,4.8309178743961345,MC,34.20000076293945,34.900001525878906,33.95000076293945,34.20000076293945,22.577571868896484,246400,80,76.0,,0.76,60.8,0.5500030517578125,0.016011734386893073
41,2016-12-30,1,0.001,-0.8285004142502072,MC,34.25,34.625,33.849998474121094,33.900001525878906,22.37952041625977,214000,89,76.0,,0.76,67.64,-0.27500152587890625,-0.007879699537405083
42,2017-01-03,1,0.001,0.0,MC,34.400001525878906,34.5,33.45000076293945,34.0,22.445539474487305,199000,78,75.0,,0.75,58.5,-0.125,-0.0036101083032491488
43,2017-01-06,1,0.001,0.0,MC,33.70000076293945,33.75,32.900001525878906,33.75,22.280500411987305,3607000,79,75.0,,0.75,59.25,-0.75,-0.021739130434782594
44,2017-01-09,8,0.034816425120772945,33.81642512077295,MC,33.849998474121094,34.349998474121094,33.5,33.95000076293945,22.41253089904785,613200,73,75.0,,0.75,54.75,0.5999984741210938,0.017777732566550908
45,2017-01-10,2,0.005830917874396135,-0.832523935063133,MC,34.0,34.650001525878906,33.849998474121094,34.20000076293945,22.577571868896484,414300,70,75.0,,0.75,52.5,0.3000030517578125,0.008733713685135536
46,2017-01-11,4,0.015492753623188405,1.657000828500414,MC,34.400001525878906,34.42499923706055,33.70000076293945,34.150001525878906,22.544567108154297,440800,72,75.0,,0.75,54.0,-0.22500228881835938,-0.006493572262913583
47,2017-01-13,2,0.005830917874396135,-0.6236357966947303,MC,33.95000076293945,34.5,33.95000076293945,34.29999923706055,22.64358711242676,264600,82,75.0,,0.75,61.5,0.07500076293945312,0.002178671448123337
48,2017-01-18,40,0.18940579710144928,31.48301574150787,MC,33.650001525878906,34.54999923706055,33.25,34.20000076293945,22.577571868896484,301600,71,75.0,,0.75,53.25,0.049999237060546875,0.001449253248131832
49,2017-01-24,2,0.005830917874396135,-0.9692146810518529,MC,33.900001525878906,34.599998474121094,33.70000076293945,34.400001525878906,22.709606170654297,299600,87,75.0,,0.75,65.25,0.049999237060546875,0.0014471559526667566
