,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,BB_unscaled,BB_monthly,isPartial,scale,BB,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-04,1,0.0029054878048780488,-0.3796919071382079,BB,6.849999904632568,6.889999866485596,6.650000095367432,6.760000228881836,6.760000228881836,4194800,90,60.0,,0.6,54.0,,
1,2016-05-05,1,0.0029054878048780488,0.0,BB,6.840000152587891,6.889999866485596,6.659999847412109,6.679999828338623,6.679999828338623,2929100,88,60.0,,0.6,52.8,0.0,0.0
2,2016-05-13,15,0.004683943089430894,0.6121021336131516,BB,6.639999866485596,6.699999809265137,6.510000228881836,6.53000020980835,6.53000020980835,2978600,84,60.0,,0.6,50.4,-0.19000005722045898,-0.027576206226745947
3,2016-05-24,2,0.0030325203252032523,-0.040205853972338335,BB,6.860000133514404,6.96999979019165,6.840000152587891,6.940000057220459,6.940000057220459,3067200,86,60.0,,0.6,51.6,0.26999998092651367,0.04029850576311089
4,2016-05-26,1,0.0029054878048780488,-0.04189008042895448,BB,7.139999866485596,7.210000038146973,7.099999904632568,7.170000076293945,7.170000076293945,3137900,85,60.0,,0.6,51.0,0.24000024795532227,0.03443332212047645
5,2016-06-02,1,0.0029054878048780488,0.0,BB,7.210000038146973,7.329999923706055,7.210000038146973,7.309999942779541,7.309999942779541,2450800,73,58.0,,0.58,42.34,0.11999988555908203,0.016643534663548065
6,2016-06-22,17,0.004938008130081301,0.34635633139373767,BB,7.039999961853027,7.130000114440918,6.71999979019165,6.739999771118164,6.739999771118164,8202600,85,58.0,,0.58,49.3,-0.19999980926513672,-0.02728510386723393
7,2016-06-24,3,0.0031595528455284553,-0.36015641078411187,BB,6.650000095367432,6.820000171661377,6.619999885559082,6.670000076293945,6.670000076293945,6313500,98,58.0,,0.58,56.84,-0.309999942779541,-0.04347825214640255
8,2016-07-05,3,0.0031595528455284553,0.0,BB,6.75,6.820000171661377,6.519999980926514,6.539999961853027,6.539999961853027,3416900,81,64.0,,0.64,51.84,0.0,0.0
9,2016-07-12,2,0.0030325203252032523,-0.040205853972338335,BB,6.730000019073486,6.809999942779541,6.699999809265137,6.760000228881836,6.760000228881836,2744400,73,64.0,,0.64,46.72,-0.010000228881835938,-0.0014663091833031494
