,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,MF_unscaled,MF_monthly,isPartial,scale,MF,Stock_Price_Change,Stock_Price_Change_Percent
0,2021-06-25,4,0.005232804232804233,-0.16820857863751038,MF,10.649999618530272,11.0,8.119999885559082,9.65999984741211,9.65999984741211,11130600,76,16.0,,0.16,12.16,,
1,2021-06-28,2,0.0031164021164021166,0.5141388174807195,MF,8.859999656677246,9.170000076293944,8.600000381469727,8.84000015258789,8.84000015258789,3138900,86,16.0,,0.16,13.76,-1.8299999237060565,-0.16636362942782335
2,2021-06-29,10,0.011582010582010582,2.7164685908319184,MF,8.920000076293945,8.960000038146973,8.149999618530273,8.649999618530273,8.649999618530273,2939700,66,16.0,,0.16,10.56,-0.21000003814697088,-0.02290076732822044
3,2021-06-30,9,0.010523809523809526,-0.09136592051164905,MF,8.449999809265137,10.15999984741211,8.3100004196167,8.649999618530273,8.649999618530273,7470300,69,16.0,,0.16,11.04,1.1999998092651367,0.13392854957100098
4,2021-07-01,3,0.004174603174603175,-0.603318250377074,MF,8.755000114440918,8.960000038146973,8.220000267028809,8.84000015258789,8.84000015258789,1570400,63,16.0,False,0.16,10.08,-1.1999998092651367,-0.11811021922119347
5,2021-07-02,2,0.0031164021164021166,-0.2534854245880861,MF,8.579999923706055,8.699999809265137,8.180000305175781,8.59000015258789,8.59000015258789,1133800,65,16.0,,0.16,10.4,-0.26000022888183594,-0.029017882564162045
6,2021-07-06,5,0.006291005291005291,0.5069708491761722,MF,8.180000305175781,8.220000267028809,7.71999979019165,8.220000267028809,8.220000267028809,1383000,57,16.0,,0.16,9.12,-0.4799995422363281,-0.0551723623861633
7,2021-07-07,2,0.0031164021164021166,-0.5046257359125315,MF,8.010000228881836,8.15999984741211,7.699999809265137,7.980000019073486,7.980000019073486,603600,63,16.0,,0.16,10.08,-0.06000041961669922,-0.007299320884132654
8,2021-07-08,6,0.007349206349206349,1.3582342954159592,MF,7.5,7.590000152587891,7.380000114440918,7.489999771118164,7.489999771118164,751300,70,16.0,,0.16,11.2,-0.5699996948242188,-0.06985290508369191
9,2021-07-09,3,0.004174603174603175,-0.4319654427645788,MF,7.769999980926514,7.769999980926514,7.329999923706055,7.570000171661377,7.570000171661377,549900,75,16.0,,0.16,12.0,0.17999982833862305,0.02371539192621097
10,2021-07-12,3,0.004174603174603175,0.0,MF,7.829999923706055,7.829999923706055,7.369999885559082,7.449999809265137,7.449999809265137,394200,58,16.0,,0.16,9.28,0.059999942779541016,0.007722000376682914
11,2021-07-13,8,0.009465608465608465,1.2674271229404308,MF,7.409999847412109,7.679999828338623,7.269999980926514,7.300000190734863,7.300000190734863,344100,100,16.0,,0.16,16.0,-0.15000009536743164,-0.019157100489016865
12,2021-07-14,6,0.007349206349206349,-0.22358859698155387,MF,7.300000190734863,7.331999778747559,7.165999889373779,7.300000190734863,7.300000190734863,253200,92,16.0,,0.16,14.72,-0.34800004959106445,-0.045312507469983276
13,2021-07-15,12,0.0136984126984127,0.8639308855291579,MF,7.150000095367432,7.559999942779541,7.130000114440918,7.489999771118164,7.489999771118164,355200,62,16.0,,0.16,9.92,0.22800016403198242,0.031096586321901043
14,2021-07-16,5,0.006291005291005291,-0.540749324063345,MF,7.480000019073486,8.25,7.300000190734863,8.100000381469727,8.100000381469727,769700,65,16.0,,0.16,10.4,0.690000057220459,0.09126984952949235
