,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,RS_unscaled,RS_monthly,isPartial,scale,RS,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-24,1,0.05063680387409201,0.0,RS,72.93000030517578,73.93000030517578,72.61000061035156,73.41000366210938,64.59068298339844,642000,85,95.0,,0.95,80.75,,
1,2016-05-27,1,0.05063680387409201,0.0,RS,74.16000366210938,74.47000122070312,72.91000366210938,73.80999755859375,65.29842376708984,483500,77,95.0,,0.95,73.14999999999999,0.5400009155273438,0.007304219035550785
2,2016-06-01,60,0.12206537530266344,1.249274974345246,RS,74.06999969482422,74.80000305175781,73.33000183105469,74.61000061035156,66.00616455078125,577500,78,99.0,False,0.99,77.22,0.3300018310546875,0.004431339138516677
3,2016-06-03,5,0.05547941888619855,-0.5454942177612918,RS,75.0,75.44000244140625,74.41000366210938,75.31999969482422,66.63428497314453,807500,82,99.0,,0.99,81.17999999999999,0.6399993896484375,0.008556141223758917
4,2016-06-06,2,0.05184745762711865,-0.06546501985772257,RS,75.37000274658203,76.41000366210938,75.33000183105469,75.77999877929688,67.04125213623047,584700,84,99.0,,0.99,83.16,0.970001220703125,0.012857916083135246
5,2016-06-08,1,0.05063680387409201,-0.023350301218885816,RS,76.91000366210938,78.30000305175781,76.81999969482422,77.4800033569336,68.54521179199219,881500,86,99.0,,0.99,85.14,1.8899993896484375,0.024734973158830886
6,2016-06-20,1,0.05063680387409201,0.0,RS,76.69000244140625,77.83999633789062,76.69000244140625,77.54000091552734,68.59829711914062,693400,84,99.0,,0.99,83.16,-0.4600067138671875,-0.005874925874052805
7,2016-06-24,1,0.05063680387409201,0.0,RS,75.01000213623047,76.7300033569336,73.80000305175781,74.16000366210938,65.60806274414062,943800,91,99.0,,0.99,90.09,-1.1099929809570312,-0.014259931053166253
8,2016-07-05,8,0.059111380145278454,0.2575593674341936,RS,78.08000183105469,78.33000183105469,76.47000122070312,77.02999877929688,68.14710235595703,525700,96,96.0,,0.96,92.16,1.5999984741210938,0.020852318573194806
9,2016-07-06,3,0.05305811138014528,-0.10240445664195308,RS,77.2300033569336,79.18000030517578,77.16000366210938,78.77999877929688,69.69530487060547,651000,97,96.0,,0.96,93.12,0.8499984741210938,0.010851505863033184
10,2016-07-22,2,0.05184745762711865,-0.022817505590288834,RS,76.62999725341797,76.69999694824219,75.26000213623047,76.33000183105469,67.52782440185547,1047200,100,96.0,,0.96,96.0,-2.4800033569335938,-0.03132108294234859
11,2016-07-27,1,0.05063680387409201,-0.023350301218885816,RS,77.80000305175781,78.43000030517578,76.51000213623047,77.11000061035156,68.2178955078125,498100,87,96.0,,0.96,83.52,1.7300033569335938,0.02255545535550696
12,2016-07-28,1,0.05063680387409201,0.0,RS,77.41000366210938,78.75,76.43000030517578,78.5999984741211,69.53605651855469,950900,98,96.0,,0.96,94.08,0.31999969482421875,0.004080067494314443
13,2016-07-29,1,0.05063680387409201,0.0,RS,78.51000213623047,79.19999694824219,77.26000213623047,78.44000244140625,69.39447784423828,866200,86,96.0,,0.96,82.56,0.4499969482421875,0.005714246961805447
14,2016-08-01,-2,0.04700484261501211,-0.07172572084349438,RS,78.2699966430664,78.2699966430664,76.80000305175781,77.4000015258789,68.47443389892578,614700,100,95.0,False,0.95,95.0,-0.9300003051757812,-0.011742428548116579
15,2016-08-04,1,0.05063680387409201,0.07726781023025797,RS,76.91999816894531,77.11000061035156,76.37999725341797,76.48999786376953,67.66937255859375,466400,87,95.0,,0.95,82.64999999999999,-1.1599960327148438,-0.014820443113147896
16,2016-08-25,3,0.05305811138014528,0.047817147228996326,RS,72.47000122070312,73.0199966430664,72.04000091552734,72.12999725341797,64.17321014404297,473000,90,95.0,,0.95,85.5,-4.090003967285156,-0.05304116113229673
