,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,KR_unscaled,KR_monthly,isPartial,scale,KR,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-31,1,0.025344569288389514,-0.4483573815928915,KR,35.720001220703125,36.04999923706055,35.619998931884766,35.7599983215332,31.91211700439453,9953500,81,72.0,,0.72,58.32,,
1,2016-06-07,3,0.02908988764044944,0.14777597162701328,KR,36.11000061035156,36.52000045776367,35.91999816894531,36.290000915527344,32.38508605957031,3577200,77,69.0,,0.69,53.13,0.470001220703125,0.013037482126211808
2,2016-06-14,1,0.025344569288389514,-0.1287498390627011,KR,35.959999084472656,36.18000030517578,35.40999984741211,35.7599983215332,31.91211700439453,8839800,81,69.0,,0.69,55.88999999999999,-0.3400001525878906,-0.009309971202796419
3,2016-06-15,1,0.025344569288389514,0.0,KR,35.47999954223633,36.0099983215332,35.13999938964844,35.709999084472656,31.86749649047852,13499800,75,69.0,,0.69,51.74999999999999,-0.17000198364257812,-0.004698783366739123
4,2016-07-28,2,0.027217228464419478,0.07388798581350686,KR,35.22999954223633,35.2400016784668,34.380001068115234,34.400001525878906,30.698457717895508,14382900,81,68.0,,0.68,55.080000000000005,-0.7699966430664062,-0.021382856955201923
5,2016-08-16,1,0.025344569288389514,-0.06880418329434435,KR,32.540000915527344,32.540000915527344,32.060001373291016,32.099998474121094,28.75210189819336,11198200,72,74.0,,0.74,53.28,-2.700000762939453,-0.076617498136763
6,2016-08-17,1,0.025344569288389514,0.0,KR,32.119998931884766,32.209999084472656,31.450000762939453,31.8799991607666,28.55504608154297,9413300,83,74.0,,0.74,61.42,-0.3300018310546875,-0.01014142046004729
7,2016-08-22,16,0.053434456928838955,1.1083197872026007,KR,32.63999938964844,32.88999938964844,32.45000076293945,32.86000061035156,29.432838439941406,7744600,83,74.0,,0.74,61.42,0.6800003051757812,0.021111466144175806
8,2016-08-26,47,0.1114868913857678,1.0864232144108783,KR,32.77000045776367,32.939998626708984,32.459999084472656,32.68000030517578,29.27161407470703,6549100,79,74.0,,0.74,58.46,0.049999237060546875,0.0015201957430344137
9,2016-09-07,2,0.027217228464419478,-0.7558705949541439,KR,31.65999984741211,31.75,31.100000381469727,31.31999969482422,28.05345916748047,19365500,72,88.0,,0.88,63.36,-1.1899986267089844,-0.036126250040098284
10,2016-09-08,3,0.02908988764044944,0.06880418329434423,KR,31.0,31.729999542236328,30.700000762939453,31.309999465942383,28.04449844360352,18294900,64,88.0,,0.88,56.32,-0.020000457763671875,-0.0006299356775959497
11,2016-09-13,1,0.025344569288389514,-0.1287498390627011,KR,30.809999465942383,31.15999984741211,30.450000762939453,30.950000762939453,27.722043991088867,14350900,64,88.0,,0.88,56.32,-0.5699996948242188,-0.017964062497557998
12,2016-09-14,4,0.030962546816479402,0.22166395744052014,KR,30.950000762939453,31.11000061035156,30.65999984741211,30.709999084472656,27.507078170776367,9834000,66,88.0,,0.88,58.08,-0.04999923706055043,-0.0016045968326505733
13,2016-09-15,1,0.025344569288389514,-0.18144429660094352,KR,30.76000022888184,31.270000457763672,30.459999084472656,31.25,27.990758895874023,10378500,59,88.0,,0.88,51.92,0.15999984741211293,0.00514303581719866
14,2016-09-16,1,0.025344569288389514,0.0,KR,31.299999237060547,31.350000381469727,30.84000015258789,31.07999992370605,27.83848571777344,11413900,67,88.0,,0.88,58.96,0.07999992370605469,0.002558360170608509
