,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,LIFE_unscaled,LIFE_monthly,isPartial,scale,LIFE,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-24,2,0.07874798927613941,0.0,LIFE,45.36000061035156,47.040000915527344,44.52000045776367,46.619998931884766,46.619998931884766,12636,98,95.0,,0.95,93.1,,
1,2016-05-26,7,0.08545040214477212,0.08511217785040692,LIFE,46.47999954223633,46.900001525878906,44.2400016784668,44.93999862670898,44.93999862670898,8336,92,95.0,,0.95,87.39999999999999,-0.1399993896484375,-0.002976177443105188
2,2016-06-03,0,0.07606702412868632,-0.10981081165877082,LIFE,49.70000076293945,49.97999954223633,47.040000915527344,48.58000183105469,48.58000183105469,6971,96,89.0,,0.89,85.44,3.079998016357422,0.06567159735928607
3,2016-06-09,2,0.07874798927613941,0.03524477496211187,LIFE,44.93999862670898,46.34000015258789,43.2599983215332,43.81999969482422,43.81999969482422,17707,93,89.0,,0.89,82.77,-3.6399993896484375,-0.07282912010778242
4,2016-06-21,26,0.11091957104557641,0.40853845368195296,LIFE,38.63999938964844,39.47999954223633,36.959999084472656,38.91999816894531,38.91999816894531,13036,92,89.0,,0.89,81.88,-6.8600006103515625,-0.1480362664601429
5,2016-07-12,1,0.07740750670241286,-0.049385967800348984,LIFE,39.20000076293945,39.20000076293945,37.93999862670898,38.36000061035156,38.36000061035156,6457,75,96.0,,0.96,72.0,-0.279998779296875,-0.007092167744260691
6,2016-07-15,100,0.21011528150134048,1.7144044609150417,LIFE,36.81999969482422,37.93999862670898,36.76399993896485,37.79999923706055,37.79999923706055,2179,71,96.0,,0.96,68.16,-1.2600021362304759,-0.03214291101294342
7,2016-07-19,1,0.07740750670241286,-0.6315950646268486,LIFE,38.08000183105469,39.060001373291016,36.68000030517578,36.68000030517578,36.68000030517578,7279,71,96.0,,0.96,68.16,1.1200027465820384,0.029520368664261776
8,2016-09-06,4,0.08142895442359249,0.05195165033075888,LIFE,41.15999984741211,44.09999847412109,41.02000045776367,44.09999847412109,44.09999847412109,15386,95,91.0,,0.91,86.45,5.039997100830071,0.12903217930443778
9,2016-09-16,25,0.10957908847184987,0.3457017746024431,LIFE,44.79999923706055,47.18000030517578,44.09999847412109,44.93999862670898,44.93999862670898,28536,100,91.0,,0.91,91.0,3.0800018310546946,0.06984131377832381
