,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,TTD_unscaled,TTD_monthly,isPartial,scale,TTD,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-09-21,30,0.04273913043478261,,TTD,2.875,3.039999961853028,2.7799999713897705,3.009999990463257,3.009999990463257,63438000,100,20.0,,0.2,20.0,,
1,2016-09-22,5,0.021,-0.508646998982706,TTD,3.0999999046325684,3.1700000762939453,2.8410000801086426,2.890000104904175,2.890000104904175,22728000,58,20.0,,0.2,11.6,0.13000011444091752,0.04276319607638279
2,2016-09-26,1,0.017521739130434782,-0.16563146997929612,TTD,2.7100000381469727,2.8420000076293945,2.700000047683716,2.7769999504089355,2.7769999504089355,3061000,31,20.0,,0.2,6.2,-0.3280000686645508,-0.1034700507162184
3,2016-09-27,1,0.017521739130434782,0.0,TTD,2.8329999446868896,3.0848000049591064,2.733999967575073,2.997999906539917,2.997999906539917,10158000,36,20.0,,0.2,7.2,0.24279999732971191,0.08543279263825165
4,2016-09-28,6,0.021869565217391307,0.2481389578163773,TTD,3.072999954223633,3.3399999141693115,3.002000093460083,3.33899998664856,3.33899998664856,20565000,43,20.0,,0.2,8.6,0.2551999092102051,0.08272818620330247
5,2016-09-29,2,0.018391304347826088,-0.1590457256461233,TTD,3.259999990463257,3.319499969482422,2.880000114440918,2.8989999294281006,2.8989999294281006,17033000,43,20.0,,0.2,8.6,-0.02049994468688965,-0.006137708147812337
6,2016-09-30,13,0.027956521739130435,0.520094562647754,TTD,2.934999942779541,3.095000028610229,2.9189999103546143,2.9210000038146973,2.9210000038146973,9490000,17,20.0,,0.2,3.4000000000000004,-0.22449994087219283,-0.06763065007866143
7,2016-10-03,1,0.017521739130434782,0.0,TTD,2.9119999408721924,2.9316999912261963,2.61899995803833,2.638000011444092,2.638000011444092,10804000,43,19.0,,0.19,8.17,-0.16330003738403276,-0.05276253178497081
8,2016-10-04,1,0.017521739130434782,0.0,TTD,2.638999938964844,2.7249999046325684,2.36299991607666,2.382999897003174,2.382999897003174,13381000,43,19.0,,0.19,8.17,-0.20670008659362793,-0.07050519739817396
9,2016-10-05,2,0.018391304347826088,0.04962779156327546,TTD,2.441999912261963,2.5199999809265137,2.3499999046325684,2.4779999256134038,2.4779999256134038,9634000,74,19.0,,0.19,14.06,-0.2049999237060547,-0.07522933243320473
10,2016-10-07,-2,0.01491304347826087,-0.18912529550827428,TTD,2.5280001163482666,2.6489999294281006,2.502000093460083,2.625999927520752,2.625999927520752,4485000,64,19.0,,0.19,12.16,0.12899994850158691,0.051190456142050644
11,2016-10-11,1,0.017521739130434782,0.17492711370262382,TTD,2.50600004196167,2.5924999713897705,2.3499999046325684,2.552000045776367,2.552000045776367,5394000,50,19.0,,0.19,9.5,-0.05649995803833008,-0.021328788049657654
12,2016-10-12,6,0.021869565217391307,0.2481389578163773,TTD,2.532000064849853,2.696000099182129,2.532000064849853,2.690000057220459,2.690000057220459,3318000,57,19.0,,0.19,10.83,0.1035001277923584,0.03992290412133537
13,2016-10-17,1,0.017521739130434782,-0.19880715705765417,TTD,2.70199990272522,2.7249999046325684,2.614000082015991,2.627000093460083,2.627000093460083,3376000,75,19.0,,0.19,14.25,0.028999805450439453,0.010756603999843017
14,2016-10-18,5,0.021,0.19851116625310183,TTD,2.627000093460083,2.6507999897003174,2.5810000896453857,2.588000059127808,2.588000059127808,1716000,37,19.0,,0.19,7.03,-0.07419991493225098,-0.027229327533593417
15,2016-10-19,2,0.018391304347826088,-0.12422360248447206,TTD,2.575000047683716,2.621999979019165,2.525099992752075,2.5460000038146973,2.5460000038146973,1116000,51,19.0,,0.19,9.69,-0.028800010681152344,-0.010864648707203384
16,2016-10-26,2,0.018391304347826088,0.0,TTD,2.8949999809265137,2.9089999198913574,2.7890000343322754,2.818000078201294,2.818000078201294,1825000,49,19.0,,0.19,9.31,0.2869999408721924,0.10945840700561438
17,2016-10-27,1,0.017521739130434782,-0.047281323877068626,TTD,2.815999984741211,2.8596999645233154,2.5439999103546143,2.552000045776367,2.552000045776367,3674000,37,19.0,,0.19,7.03,-0.04929995536804199,-0.01694738973037968
18,2016-11-01,1,0.017521739130434782,-0.09029345372460507,TTD,2.5439999103546143,2.569999933242798,2.5,2.5239999294281006,2.5239999294281006,889000,68,18.0,False,0.18,12.24,-0.2897000312805176,-0.10130434481744932
19,2016-11-03,1,0.017521739130434782,0.0,TTD,2.4260001182556152,2.451200008392334,2.200999975204468,2.289999961853028,2.289999961853028,4019000,68,18.0,,0.18,12.24,-0.11879992485046387,-0.04622565289352498
20,2016-11-07,1,0.017521739130434782,0.0,TTD,2.4159998893737797,2.434000015258789,2.227499961853028,2.289999961853028,2.289999961853028,2068000,63,18.0,,0.18,11.34,-0.017199993133544922,-0.007016968454086281
21,2016-11-08,7,0.02273913043478261,0.29776674937965253,TTD,2.4260001182556152,2.430000066757202,2.255000114440918,2.2799999713897705,2.2799999713897705,5774000,77,18.0,,0.18,13.86,-0.003999948501586914,-0.0016433642056331577
22,2016-11-10,1,0.017521739130434782,-0.22944550669216057,TTD,2.390000104904175,2.434000015258789,2.31850004196167,2.3429999351501465,2.3429999351501465,5620000,61,18.0,,0.18,10.98,0.003999948501586914,0.0016460692969959556
23,2016-11-11,1,0.017521739130434782,0.0,TTD,2.500999927520752,2.6489999294281006,2.4019999504089355,2.5450000762939453,2.5450000762939453,11264000,51,18.0,,0.18,9.18,0.21499991416931152,0.08833192802854284
24,2016-11-14,3,0.019260869565217394,0.09925558312655092,TTD,2.556999921798706,2.734999895095825,2.549999952316284,2.57699990272522,2.57699990272522,6952000,64,18.0,,0.18,11.52,0.08599996566772461,0.03246506906713709
25,2016-11-17,1,0.017521739130434782,-0.09029345372460507,TTD,2.556999921798706,2.6459999084472656,2.5409998893737797,2.5929999351501465,2.5929999351501465,6080000,44,18.0,,0.18,7.92,-0.08899998664855957,-0.032541129821667236
26,2016-11-18,1,0.017521739130434782,0.0,TTD,2.5969998836517334,2.924999952316284,2.5969998836517334,2.9100000858306885,2.9100000858306885,8259000,62,18.0,,0.18,11.16,0.27900004386901855,0.10544219709846558
27,2017-02-07,1,0.017521739130434782,0.0,TTD,2.946000099182129,2.946000099182129,2.811000108718872,2.8550000190734863,2.8550000190734863,1215000,60,18.0,,0.18,10.8,0.021000146865844727,0.0071795375070740075
28,2017-02-09,1,0.017521739130434782,0.0,TTD,2.836999893188477,2.9110000133514404,2.8359999656677246,2.9040000438690186,2.9040000438690186,1194000,62,18.0,,0.18,11.16,-0.03500008583068848,-0.011880544688510075
29,2017-02-16,2,0.018391304347826088,0.04962779156327546,TTD,3.213000059127808,3.3499999046325684,3.1540000438690186,3.3359999656677246,3.3359999656677246,5570000,95,18.0,,0.18,17.099999999999998,0.43899989128112793,0.15080724468142703
30,2017-02-28,1,0.017521739130434782,0.0,TTD,3.811000108718872,4.227000236511231,3.776000022888184,4.2210001945495605,4.2210001945495605,44078000,100,18.0,,0.18,18.0,0.877000331878663,0.2617911512970188
