,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,OIL_unscaled,OIL_monthly,isPartial,scale,OIL,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,1,0.07792307692307693,-0.029925784055542137,OIL,16.040000915527344,16.06999969482422,16.030000686645508,16.030000686645508,16.030000686645508,1200,91,79.0,,0.79,71.89,,
1,2016-05-10,1,0.07792307692307693,0.7602085143353607,OIL,15.869999885559082,15.899999618530272,15.869999885559082,15.899999618530272,15.899999618530272,500,88,79.0,,0.79,69.52000000000001,-0.1700000762939471,-0.010578723056771433
2,2016-05-18,3,0.08273076923076923,0.06169792694965448,OIL,17.219999313354492,17.219999313354492,17.219999313354492,17.219999313354492,17.219999313354492,100,92,79.0,,0.79,72.68,1.3199996948242205,0.08301885072285531
3,2016-05-26,1,0.07792307692307693,-0.05811250581125049,OIL,17.479999542236328,17.479999542236328,17.350000381469727,17.350000381469727,17.350000381469727,1200,93,79.0,,0.79,73.47,0.26000022888183594,0.015098736309484106
4,2016-06-02,1,0.07792307692307693,0.0,OIL,17.15999984741211,17.15999984741211,17.15999984741211,17.15999984741211,17.15999984741211,0,93,72.0,,0.72,66.96,-0.31999969482421875,-0.018306619176448713
5,2016-06-08,1,0.07792307692307693,0.0,OIL,17.989999771118164,18.059999465942383,17.989999771118164,18.059999465942383,18.059999465942383,2600,94,72.0,,0.72,67.67999999999999,0.8999996185302734,0.052447530683748855
6,2016-06-20,2,0.08032692307692307,0.03084896347482724,OIL,17.209999084472656,17.350000381469727,17.209999084472656,17.350000381469727,17.350000381469727,300,91,72.0,,0.72,65.52,-0.7099990844726562,-0.03931335024741145
7,2016-06-21,1,0.07792307692307693,-0.029925784055542137,OIL,17.1299991607666,17.25,17.1299991607666,17.25,17.25,8800,98,72.0,,0.72,70.56,-0.10000038146972656,-0.005763710620809492
8,2016-06-23,1,0.07792307692307693,0.0,OIL,17.510000228881836,17.510000228881836,17.510000228881836,17.510000228881836,17.510000228881836,200,92,72.0,,0.72,66.24,0.26000022888183594,0.015072477036628174
9,2016-06-28,4,0.08513461538461539,0.09254689042448172,OIL,16.540000915527344,16.770000457763672,16.540000915527344,16.770000457763672,16.770000457763672,1200,94,72.0,,0.72,67.67999999999999,-0.7399997711181641,-0.042261551196188574
10,2016-07-14,1,0.07792307692307693,0.0,OIL,15.989999771118164,15.989999771118164,15.989999771118164,15.989999771118164,15.989999771118164,100,90,73.0,,0.73,65.7,-0.7800006866455078,-0.04651166758223946
11,2016-07-21,5,0.08753846153846154,0.12339585389930896,OIL,15.760000228881836,15.760000228881836,15.470000267028809,15.479999542236328,15.479999542236328,7000,92,73.0,,0.73,67.16,-0.22999954223632812,-0.01438396157151689
12,2016-07-25,1,0.07792307692307693,-0.10984182776801399,OIL,15.06999969482422,15.06999969482422,15.020000457763672,15.020000457763672,15.020000457763672,1200,94,73.0,,0.73,68.62,-0.6900005340576154,-0.043781759139388754
13,2016-07-26,1,0.07792307692307693,0.0,OIL,14.9399995803833,14.9399995803833,14.9399995803833,14.9399995803833,14.9399995803833,100,94,73.0,,0.73,68.62,-0.13000011444091975,-0.008626417854910029
14,2016-07-27,1,0.07792307692307693,0.0,OIL,14.84000015258789,14.890000343322754,14.579999923706056,14.579999923706056,14.579999923706056,4000,92,73.0,,0.73,67.16,-0.049999237060546875,-0.003346669241289457
15,2016-08-02,1,0.07792307692307693,0.0,OIL,13.760000228881836,13.850000381469728,13.760000228881836,13.789999961853027,13.789999961853027,3000,97,72.0,,0.72,69.84,-1.0399999618530256,-0.06984552974301317
16,2016-08-15,22,0.12840384615384615,0.647828232971372,OIL,15.850000381469728,15.850000381469728,15.0,15.260000228881836,15.260000228881836,6200,89,72.0,,0.72,64.08,2.0,0.14440432815264415
