,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,AAL_unscaled,AAL_monthly,isPartial,scale,AAL,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-04,7,0.017074450084602368,0.32933737320511125,AAL,34.16999816894531,34.29999923706055,33.0,33.209999084472656,31.915586471557617,13412400,100,7.0,,0.07,7.000000000000001,,
1,2016-05-05,2,0.012844331641285955,-0.24774551580616389,AAL,33.279998779296875,33.52000045776367,32.72999954223633,32.810001373291016,31.531173706054688,11606100,57,7.0,,0.07,3.99,-0.779998779296875,-0.02274048969814846
2,2016-05-13,3,0.01369035532994924,0.06586747464102238,AAL,31.09000015258789,32.0099983215332,31.07999992370605,31.51000022888184,30.28184700012207,10132500,63,7.0,,0.07,4.41,-1.5100021362304688,-0.04504779581173102
3,2016-05-27,2,0.012844331641285955,-0.06179705846001737,AAL,31.600000381469727,31.84000015258789,31.40999984741211,31.649999618530277,30.4163875579834,8573700,61,7.0,,0.07,4.2700000000000005,-0.1699981689453125,-0.005310783438278177
4,2016-06-15,5,0.015382402707275804,0.19760242392306693,AAL,30.649999618530277,31.100000381469727,30.450000762939453,30.489999771118164,29.301603317260746,8152300,50,8.0,,0.08,4.0,-0.7399997711181641,-0.023241198730271306
5,2016-06-16,2,0.012844331641285955,-0.16499835001649987,AAL,29.799999237060547,29.799999237060547,29.020000457763672,29.13999938964844,28.00421714782715,18236700,71,8.0,,0.08,5.68,-1.3000011444091797,-0.04180067937181631
6,2016-06-17,2,0.012844331641285955,0.0,AAL,29.100000381469727,29.549999237060547,28.850000381469727,29.34000015258789,28.19642639160156,15301900,81,8.0,,0.08,6.48,-0.25,-0.008389261959748318
7,2016-06-28,8,0.017920473773265652,0.39520484784613363,AAL,26.1200008392334,26.8799991607666,25.76000022888184,26.770000457763672,25.72659683227539,20026100,100,8.0,,0.08,8.0,-2.6700000762939453,-0.09035533486394565
8,2016-07-07,2,0.012844331641285955,-0.24774551580616389,AAL,28.38999938964844,29.46999931335449,28.309999465942383,29.399999618530277,28.254085540771484,11779800,44,10.0,,0.1,4.4,2.590000152587887,0.09635417535161928
9,2016-07-08,2,0.012844331641285955,0.0,AAL,29.799999237060547,30.280000686645508,29.700000762939453,30.040000915527344,28.8691463470459,13659300,54,10.0,,0.1,5.4,0.8100013732910192,0.027485625794499535
10,2016-07-12,1,0.011998307952622675,-0.06586747464102205,AAL,32.779998779296875,34.88999938964844,32.75,34.65999984741211,33.30906295776367,25515700,94,10.0,,0.1,9.4,4.60999870300293,0.1522456604512592
11,2016-07-13,7,0.017074450084602368,0.42307149908334485,AAL,35.0,35.290000915527344,34.119998931884766,34.45000076293945,33.10725784301758,15215100,79,10.0,,0.1,7.9,0.40000152587890625,0.01146464697266758
12,2016-07-19,2,0.012844331641285955,0.07051191651389077,AAL,35.779998779296875,36.08000183105469,35.33000183105469,36.0099983215332,34.606449127197266,7956300,63,10.0,,0.1,6.300000000000001,0.7900009155273438,0.022385970389129373
13,2016-07-20,62,0.06360575296108291,3.952048478461336,AAL,36.06999969482422,36.72999954223633,35.38999938964844,35.91999816894531,34.51995086669922,13098400,58,10.0,,0.1,5.800000000000001,0.6499977111816406,0.01801545671270377
