,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,UP_unscaled,UP_monthly,isPartial,scale,UP,Stock_Price_Change,Stock_Price_Change_Percent
0,2020-11-18,4,0.022614468460520513,-0.019132531042531542,UP,9.890000343322754,10.074999809265137,9.890000343322754,9.916000366210938,9.916000366210938,500,99,83.0,,0.83,82.17,,
1,2020-11-19,7,0.02393780326422585,0.058517174790801096,UP,9.920000076293944,9.920000076293944,9.920000076293944,9.920000076293944,9.920000076293944,500,98,83.0,,0.83,81.33999999999999,-0.15499973297119318,-0.01538458917176877
2,2020-11-20,7,0.02393780326422585,0.0,UP,10.220000267028809,10.220000267028809,9.652000427246094,9.652000427246094,9.652000427246094,800,98,83.0,,0.83,81.33999999999999,0.30000019073486506,0.030241954478587463
3,2020-11-23,4,0.022614468460520513,-0.16322000424372007,UP,9.720000267028809,9.720000267028809,9.699999809265137,9.699999809265137,9.699999809265137,180600,98,83.0,,0.83,81.33999999999999,-0.5,-0.04892367778238438
4,2020-11-24,11,0.0257022496691663,0.13654007451186922,UP,9.710000038146973,9.850000381469728,9.649999618530272,9.850000381469728,9.850000381469728,19400,97,83.0,,0.83,80.50999999999999,0.13000011444091975,0.013374497003039387
5,2020-11-25,9,0.024820026466696076,-0.03432474642593564,UP,10.109999656677246,10.119999885559082,9.880000114440918,9.880000114440918,9.880000114440918,1400,93,83.0,,0.83,77.19,0.2699995040893537,0.027411116104857136
6,2020-11-27,22,0.030554477282752537,0.2095447640002095,UP,9.755000114440918,9.899999618530272,9.649999618530272,9.850000381469728,9.850000381469728,26700,92,83.0,,0.83,76.36,-0.22000026702881037,-0.02173915706686358
7,2020-11-30,15,0.02746669607410675,0.2387252073925239,UP,9.899999618530272,10.119999885559082,9.65999984741211,9.904999732971191,9.904999732971191,700,98,83.0,,0.83,81.33999999999999,0.22000026702881037,0.022222250051103565
8,2020-12-01,3,0.0221733568592854,-0.19271845439799573,UP,10.041999816894531,10.114999771118164,9.88700008392334,10.0600004196167,10.0600004196167,3800,93,91.0,False,0.91,84.63000000000001,-0.005000114440917969,-0.0004940824602234217
9,2020-12-02,3,0.0221733568592854,0.0,UP,10.0,10.0,9.779999732971191,9.779999732971191,9.779999732971191,377100,93,91.0,,0.91,84.63000000000001,-0.11499977111816406,-0.011369231213086972
