,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,DAL_unscaled,DAL_monthly,isPartial,scale,DAL,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-09,1,0.04911715481171548,-0.33823778116015557,DAL,42.11000061035156,42.84000015258789,41.9900016784668,42.400001525878906,38.78073120117188,10512100,85,29.0,,0.29,24.65,,
1,2016-05-17,1,0.04911715481171548,0.0,DAL,42.790000915527344,44.400001525878906,42.75,43.66999816894531,39.94232177734375,16203000,86,29.0,,0.29,24.94,1.5600013732910156,0.03641459775290823
2,2016-05-18,1,0.04911715481171548,0.0,DAL,43.45000076293945,44.65999984741211,43.45000076293945,43.86000061035156,40.1161003112793,10382900,100,29.0,,0.29,29.0,0.2599983215332031,0.005855817851304845
3,2016-06-07,1,0.04911715481171548,0.0,DAL,41.34999847412109,42.810001373291016,41.0,42.09999847412109,38.50633239746094,11445900,97,30.0,,0.3,29.1,-1.8499984741210938,-0.041424059123195356
4,2016-06-13,1,0.04911715481171548,0.0,DAL,41.59000015258789,41.70000076293945,40.52999877929688,40.56999969482422,37.10694122314453,9946500,89,30.0,,0.3,26.7,-1.1100006103515625,-0.02592853479897539
5,2016-06-14,5,0.05748535564853557,0.17037226339551914,DAL,40.40999984741211,40.560001373291016,38.63999938964844,39.11000061035156,35.77156448364258,15065800,79,30.0,,0.3,23.7,-1.1399993896484375,-0.027338114359499066
6,2016-06-16,5,0.05748535564853557,0.0,DAL,38.369998931884766,38.56999969482422,37.84000015258789,38.02000045776367,34.774600982666016,13086600,86,30.0,,0.3,25.8,-1.9900016784667969,-0.049063156091933124
7,2016-06-28,8,0.06376150627615063,0.1091782516922628,DAL,34.27000045776367,34.66999816894531,33.599998474121094,34.66999816894531,31.7105655670166,19678200,100,30.0,,0.3,30.0,-3.9000015258789062,-0.10111489646711758
8,2016-07-06,1,0.04911715481171548,-0.2035416242621616,DAL,34.959999084472656,35.61000061035156,34.08000183105469,35.58000183105469,32.54288482666016,14540000,74,30.0,,0.3,22.2,0.94000244140625,0.027112849467878952
9,2016-07-11,2,0.0512092050209205,-0.29004002552352226,DAL,37.66999816894531,38.45000076293945,37.59999847412109,38.119998931884766,34.86606979370117,11994100,83,30.0,,0.3,24.9,2.8400001525878906,0.07975288132295977
10,2016-07-12,2,0.0512092050209205,0.0,DAL,39.20000076293945,40.40999984741211,39.130001068115234,40.209999084472656,36.77767181396485,19533000,97,30.0,,0.3,29.1,1.9599990844726562,0.05097526776545158
11,2016-07-13,3,0.05330125523012552,0.04085301086690096,DAL,40.5,40.59999847412109,39.41999816894531,39.560001373291016,36.18315124511719,13885600,96,30.0,,0.3,28.8,0.18999862670897727,0.004701772517357261
12,2016-07-14,2,0.0512092050209205,-0.0392495486301907,DAL,40.33000183105469,41.34999847412109,40.15999984741211,40.97999954223633,37.48193740844727,18543000,93,30.0,,0.3,27.9,0.75,0.018472907098212366
13,2016-07-20,1,0.04911715481171548,-0.04085301086690085,DAL,40.68999862670898,41.220001220703125,39.93999862670898,40.209999084472656,36.77767181396485,9541900,88,30.0,,0.3,26.4,-0.12999725341796164,-0.0031438272845238924
14,2016-07-21,1,0.04911715481171548,0.0,DAL,39.11000061035156,39.2599983215332,38.27000045776367,38.52000045776367,35.23192596435547,17399700,91,30.0,,0.3,27.3,-1.9600028991699219,-0.04754980206515602
15,2016-07-22,1,0.04911715481171548,0.0,DAL,39.06999969482422,39.18999862670898,38.43000030517578,38.959999084472656,35.634361267089844,9579300,75,30.0,,0.3,22.5,-0.06999969482422586,-0.0017829775297222294
16,2016-08-02,1,0.04911715481171548,0.0,DAL,38.81999969482422,38.84999847412109,36.290000915527344,36.38999938964844,33.283748626708984,19993500,83,29.0,,0.29,24.07,-0.3400001525878906,-0.00867568676963848
17,2016-08-03,3,0.05330125523012552,0.08518613169775957,DAL,36.380001068115234,36.869998931884766,36.16999816894531,36.47999954223633,33.366058349609375,10994100,78,29.0,,0.29,22.62,-1.979999542236321,-0.05096524118412116
18,2016-08-08,8,0.06376150627615063,0.19624774315095372,DAL,37.459999084472656,38.2400016784668,37.36000061035156,37.43999862670898,34.244110107421875,10029100,100,29.0,,0.29,29.0,1.3700027465820312,0.037157656259036775
19,2016-09-14,1,0.04911715481171548,-0.22967386311437754,DAL,37.43000030517578,37.88999938964844,36.93000030517578,37.119998931884766,34.13797378540039,9468400,86,29.0,,0.29,24.94,-0.3500022888183594,-0.009152779117565957
20,2016-10-11,1,0.04911715481171548,-0.04085301086690085,DAL,40.25,40.2599983215332,38.790000915527344,38.93999862670898,35.8117561340332,12166600,76,30.0,,0.3,22.8,2.3699989318847656,0.06254945817001656
21,2016-10-13,4,0.05539330543933055,0.12777919754663936,DAL,38.52999877929688,40.880001068115234,37.90999984741211,40.0099983215332,36.795806884765625,24274100,97,30.0,,0.3,29.1,0.6200027465820312,0.015399969508951061
22,2016-10-20,2,0.0512092050209205,-0.07553440592189753,DAL,40.81999969482422,41.540000915527344,40.72999954223633,41.459999084472656,38.12931442260742,14613500,92,30.0,,0.3,27.6,0.6599998474121094,0.01614480993560652
23,2016-10-27,4,0.05539330543933055,0.08170602173380193,DAL,41.619998931884766,42.25,40.91999816894531,41.470001220703125,38.138519287109375,9546700,80,30.0,,0.3,24.0,0.7099990844726562,0.017091937140696123
24,2016-12-05,3,0.05330125523012552,-0.03776720296094882,DAL,48.5099983215332,48.810001373291016,47.59000015258789,47.81999969482422,44.18125534057617,9240200,81,28.0,,0.28,22.680000000000003,6.560001373291016,0.1552663046932785
25,2016-12-21,1,0.04911715481171548,-0.0784990972603814,DAL,50.68000030517578,51.150001525878906,50.45000076293945,50.91999816894531,47.045372009277344,4077700,82,28.0,,0.28,22.96,2.3400001525878906,0.04794099747492209
26,2016-12-22,2,0.0512092050209205,0.042593065848879785,DAL,50.77000045776367,50.84999847412109,49.65999984741211,49.79999923706055,46.010589599609375,5407300,66,28.0,,0.28,18.48,-0.3000030517578196,-0.0058651621272393095
27,2016-12-23,1,0.04911715481171548,-0.04085301086690085,DAL,49.93999862670898,50.13999938964844,49.77999877929688,49.88999938964844,46.09374237060547,4046300,67,28.0,,0.28,18.76,-0.7099990844726491,-0.01396261761608486
