,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,TTWO_unscaled,TTWO_monthly,isPartial,scale,TTWO,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-02,2,0.05403030303030303,0.0,TTWO,34.2400016784668,35.45000076293945,34.22999954223633,35.43000030517578,35.43000030517578,1640700,15,15.0,,0.15,2.25,,
1,2016-05-18,8,0.07675757575757576,0.4206393718452046,TTWO,35.970001220703125,36.09999847412109,35.16999816894531,35.68000030517578,35.68000030517578,3061300,63,15.0,,0.15,9.45,0.6499977111816335,0.018335619102755052
2,2016-05-19,6,0.06918181818181818,-0.09869719699960533,TTWO,33.31999969482422,37.36000061035156,33.060001373291016,37.290000915527344,37.290000915527344,5189800,96,15.0,,0.15,14.4,1.2600021362304759,0.034903107742060735
3,2016-07-11,2,0.05403030303030303,0.07539203860072385,TTWO,39.9900016784668,40.86000061035156,39.9900016784668,40.68999862670898,40.68999862670898,1260600,76,12.0,,0.12,9.12,3.5,0.09368308198127373
4,2016-07-26,2,0.05403030303030303,0.07539203860072385,TTWO,40.790000915527344,40.90999984741211,40.0,40.18000030517578,40.18000030517578,618800,50,12.0,,0.12,6.0,0.049999237060546875,0.0012236719606870672
5,2016-08-04,1,0.05024242424242424,-0.07010656197420084,TTWO,40.90999984741211,41.209999084472656,40.45000076293945,40.56999969482422,40.56999969482422,2013200,64,12.0,,0.12,7.68,0.2999992370605469,0.007333151752126454
6,2016-08-05,2,0.05403030303030303,0.07539203860072385,TTWO,42.5,42.97999954223633,40.959999084472656,41.369998931884766,41.369998931884766,3343100,91,12.0,,0.12,10.92,1.7700004577636719,0.0429507521738961
7,2016-08-09,4,0.06160606060606061,0.14021312394840146,TTWO,41.20000076293945,41.619998931884766,40.650001525878906,41.38999938964844,41.38999938964844,1919500,64,12.0,,0.12,7.68,-1.3600006103515625,-0.03164263901434183
8,2016-08-12,3,0.05781818181818182,-0.06148548942449583,TTWO,41.40999984741211,41.40999984741211,40.900001525878906,41.34000015258789,41.34000015258789,919300,22,12.0,,0.12,2.64,-0.20999908447265625,-0.005045629261460127
9,2016-08-22,2,0.05403030303030303,-0.06551362683438144,TTWO,40.7599983215332,41.29999923706055,40.630001068115234,41.290000915527344,41.290000915527344,922600,66,12.0,,0.12,7.92,-0.1100006103515625,-0.002656377946314792
10,2016-10-04,1,0.05024242424242424,0.0,TTWO,45.290000915527344,45.650001525878906,45.16999816894531,45.5,45.5,1139100,11,16.0,,0.16,1.76,4.350002288818359,0.105326933878364
11,2016-10-06,1,0.05024242424242424,0.0,TTWO,45.790000915527344,46.0,45.06999969482422,45.4900016784668,45.4900016784668,974300,56,16.0,,0.16,8.96,0.34999847412109375,0.007666998081537368
12,2016-10-17,2,0.05403030303030303,0.07539203860072385,TTWO,44.5,45.84999847412109,44.5,44.84999847412109,44.84999847412109,7107600,56,16.0,,0.16,8.96,-0.15000152587891336,-0.00326090273649815
13,2016-10-21,2,0.05403030303030303,0.0,TTWO,44.83000183105469,45.08000183105469,44.380001068115234,44.9900016784668,44.9900016784668,1356400,23,16.0,,0.16,3.68,-0.7699966430663991,-0.016793820473102183
14,2016-11-16,1,0.05024242424242424,-0.07010656197420084,TTWO,46.27999877929688,46.75,46.04999923706055,46.470001220703125,46.470001220703125,1767100,10,19.0,,0.19,1.9,1.6699981689453125,0.03704521076116918
15,2016-11-17,2,0.05403030303030303,0.07539203860072385,TTWO,46.70000076293945,48.7400016784668,46.70000076293945,48.630001068115234,48.630001068115234,7124700,21,19.0,,0.19,3.99,1.9900016784667969,0.04256688082281923
