,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,RAD_unscaled,RAD_monthly,isPartial,scale,RAD,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-24,1,0.03201736972704715,-0.2366443826539667,RAD,154.0,155.0,151.60000610351562,152.60000610351562,152.60000610351562,976820,84,65.0,,0.65,54.6,,
1,2016-06-10,3,0.034498759305210916,0.07750135627373456,RAD,151.39999389648438,157.60000610351562,151.39999389648438,156.60000610351562,156.60000610351562,2600405,80,62.0,,0.62,49.6,2.600006103515625,0.016774232925907295
2,2016-06-14,2,0.03325806451612903,-0.035963461123498464,RAD,157.1999969482422,157.39999389648438,155.60000610351562,156.60000610351562,156.60000610351562,518140,79,62.0,,0.62,48.98,-0.20001220703125,-0.0012691129396269485
3,2016-06-15,3,0.034498759305210916,0.03730508095202567,RAD,155.60000610351562,157.1999969482422,155.60000610351562,156.39999389648438,156.39999389648438,814965,90,62.0,,0.62,55.8,-0.1999969482421875,-0.0012706286912165243
4,2016-06-16,1,0.03201736972704715,-0.07192692224699693,RAD,154.0,156.8000030517578,154.0,156.1999969482422,156.1999969482422,1326185,81,62.0,,0.62,50.22,-0.399993896484375,-0.002544490485048012
5,2016-06-17,3,0.034498759305210916,0.07750135627373456,RAD,156.60000610351562,157.0,155.0,155.60000610351562,155.60000610351562,858640,80,62.0,,0.62,49.6,0.1999969482421875,0.0012754907165160034
6,2016-07-15,3,0.034498759305210916,0.0,RAD,140.39999389648438,147.60000610351562,140.39999389648438,143.8000030517578,143.8000030517578,1900100,67,60.0,,0.6,40.2,-9.399993896484375,-0.059872572589072415
7,2016-07-19,2,0.03325806451612903,-0.035963461123498464,RAD,141.0,142.8000030517578,139.0,141.39999389648438,141.39999389648438,1427430,83,60.0,,0.6,49.8,-4.8000030517578125,-0.03252034453434538
8,2016-07-20,3,0.034498759305210916,0.03730508095202567,RAD,141.8000030517578,141.8000030517578,137.8000030517578,137.8000030517578,137.8000030517578,856160,82,60.0,,0.6,49.2,-1.0,-0.007002800970792311
9,2016-07-21,8,0.04070223325062035,0.17981730561749276,RAD,137.0,137.8000030517578,136.0,137.1999969482422,137.1999969482422,661820,78,60.0,,0.6,46.8,-4.0,-0.02820874410376406
10,2016-07-22,1,0.03201736972704715,-0.21337560202401995,RAD,136.8000030517578,138.39999389648438,136.1999969482422,136.39999389648438,136.39999389648438,538770,83,60.0,,0.6,49.8,0.5999908447265625,0.004354069894332291
11,2016-07-25,2,0.03325806451612903,0.03875067813686739,RAD,137.0,138.8000030517578,136.60000610351562,138.39999389648438,138.39999389648438,318175,74,60.0,,0.6,44.4,0.4000091552734375,0.002890239688685403
12,2016-07-26,2,0.03325806451612903,0.0,RAD,137.60000610351562,140.0,137.0,139.39999389648438,139.39999389648438,618270,87,60.0,,0.6,52.2,1.1999969482421875,0.008645510964396141
13,2016-08-10,2,0.03325806451612903,0.0,RAD,147.0,150.8000030517578,145.39999389648438,149.60000610351562,149.60000610351562,2110050,88,60.0,,0.6,52.8,10.800003051757812,0.07714287894112726
14,2016-08-31,2,0.03325806451612903,0.0,RAD,149.1999969482422,150.60000610351562,147.8000030517578,150.60000610351562,150.60000610351562,434975,76,60.0,,0.6,45.6,-0.1999969482421875,-0.0013262396829895051
15,2016-09-16,1,0.03201736972704715,0.0,RAD,161.1999969482422,161.8000030517578,160.1999969482422,160.60000610351562,160.60000610351562,518550,64,64.0,,0.64,40.96,11.199996948242188,0.07436916662900939
16,2016-10-12,2,0.03325806451612903,-0.035963461123498464,RAD,146.8000030517578,146.8000030517578,139.1999969482422,142.8000030517578,142.8000030517578,1244215,87,64.0,,0.64,55.68,-15.0,-0.09270704398690088
17,2016-11-03,4,0.03573945409429281,0.07461016190405134,RAD,130.39999389648438,130.60000610351562,128.39999389648438,128.60000610351562,128.60000610351562,491315,75,62.0,,0.62,46.5,-16.199996948242188,-0.11035420035059873
