,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,JPM_unscaled,JPM_monthly,isPartial,scale,JPM,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-09,1,0.028415143603133162,0.0,JPM,61.369998931884766,61.88999938964844,61.04999923706055,61.209999084472656,51.99579620361328,11197100,55,23.0,,0.23,12.65,,
1,2016-05-17,52,0.09499477806788512,2.3431039235504914,JPM,61.43000030517578,62.15999984741211,61.150001525878906,61.65999984741211,52.378055572509766,12180900,56,23.0,,0.23,12.88,0.2700004577636719,0.004362586208214392
2,2016-05-18,25,0.0597467362924282,-0.3710524145892312,JPM,61.70000076293945,64.16999816894531,61.68999862670898,64.04000091552734,54.39978790283203,24007100,100,23.0,,0.23,23.0,2.009998321533203,0.03233588041292257
3,2016-05-19,2,0.029720626631853788,-0.5025564829786304,JPM,63.52999877929688,64.22000122070312,62.900001525878906,63.38999938964844,53.84762573242188,16076200,68,23.0,,0.23,15.64,0.0500030517578125,0.0007792278819482856
4,2016-05-20,7,0.03624804177545692,0.21962575770886406,JPM,63.86000061035156,64.19000244140625,63.369998931884766,63.5099983215332,53.94956970214844,11862000,69,23.0,,0.23,15.87,-0.029998779296875,-0.0004671251748155081
5,2016-05-26,10,0.0401644908616188,0.35140121233418253,JPM,65.56999969482422,65.58000183105469,64.91000366210938,65.02999877929688,55.240753173828125,9428400,72,23.0,,0.23,16.560000000000002,1.3899993896484375,0.02165445297992097
6,2016-05-27,1,0.028415143603133162,-0.2925307157251511,JPM,65.20999908447266,65.45999908447266,65.05000305175781,65.43000030517578,55.58055114746094,10116000,60,23.0,,0.23,13.8,-0.12000274658203125,-0.001829867996819834
7,2016-06-08,1,0.028415143603133162,-0.04392515154177279,JPM,64.93000030517578,65.4800033569336,64.91999816894531,65.25,55.42763137817383,9428000,51,32.0,,0.32,16.32,0.0200042724609375,0.00030559536725816017
8,2016-06-15,11,0.04146997389033943,0.45943214187264525,JPM,62.40999984741211,62.97999954223633,61.90999984741211,61.970001220703125,52.641387939453125,16982100,33,32.0,,0.32,10.56,-2.5000038146972656,-0.038179653123559976
9,2016-06-16,1,0.028415143603133162,-0.31480198954857397,JPM,61.45000076293945,62.29999923706055,60.900001525878906,62.220001220703125,52.853759765625,16791200,31,32.0,,0.32,9.92,-0.6800003051757812,-0.010797083361675064
