,Date,Sentiment,Normalized_Sentiment,Sentiment_Change_Percentual,Ticker,Open,High,Low,Close,Adj Close,Volume,VC_unscaled,VC_monthly,isPartial,scale,VC,Stock_Price_Change,Stock_Price_Change_Percent
0,2016-05-13,3,0.014598326359832638,0.024469022217872283,VC,73.7699966430664,74.79000091552734,72.9000015258789,73.2300033569336,73.2300033569336,601600,86,52.0,,0.52,44.72,,
1,2016-05-16,4,0.014947001394700139,0.02388458966274931,VC,73.16000366210938,74.41999816894531,73.16000366210938,73.69999694824219,73.69999694824219,675100,82,52.0,,0.52,42.64,-0.37000274658203125,-0.004947222115960881
2,2016-05-17,5,0.015295676429567643,0.02332742371932439,VC,73.36000061035156,73.73999786376953,72.05999755859375,72.41999816894531,72.41999816894531,683300,75,52.0,,0.52,39.0,-0.6800003051757812,-0.009137333000628023
3,2016-05-18,1,0.013900976290097629,-0.09118263882556765,VC,72.30000305175781,72.79000091552734,71.51000213623047,72.16999816894531,72.16999816894531,638200,86,52.0,,0.52,44.72,-0.9499969482421875,-0.01288306178143983
4,2016-06-01,15,0.01878242677824268,0.35115882411959487,VC,74.5999984741211,74.72000122070312,73.37000274658203,74.04000091552734,74.04000091552734,657500,76,57.0,False,0.57,43.31999999999999,1.9300003051757812,0.026514634989708963
5,2016-06-03,2,0.014249651324965133,-0.24133066013217497,VC,74.22000122070312,74.45999908447266,73.44000244140625,73.47000122070312,73.47000122070312,363800,70,57.0,,0.57,39.9,-0.26000213623046875,-0.0034796859205407094
6,2016-06-08,1,0.013900976290097629,-0.04776917932549929,VC,74.69000244140625,75.61000061035156,74.25,75.05999755859375,75.05999755859375,510900,73,57.0,,0.57,41.61,1.1500015258789062,0.015444554660472898
7,2016-06-09,8,0.016341701534170153,0.17557941205979732,VC,74.55000305175781,74.87000274658203,73.93000030517578,74.52999877929688,74.52999877929688,292500,86,57.0,,0.57,49.02,-0.7399978637695312,-0.009787036870731347
8,2016-06-27,1,0.013900976290097629,-0.14935563710847488,VC,67.36000061035156,67.41999816894531,64.11000061035156,64.55000305175781,64.55000305175781,755500,69,57.0,,0.57,39.33,-7.450004577636719,-0.09950586756158264
9,2016-07-01,23,0.021571827057182708,0.5518210093307918,VC,66.0,67.25,65.55000305175781,66.11000061035156,66.11000061035156,555400,89,52.0,False,0.52,46.28,-0.1699981689453125,-0.00252147988078133
10,2016-07-13,1,0.013900976290097629,-0.3555957845736084,VC,67.18000030517578,67.33999633789062,66.5999984741211,66.9800033569336,66.9800033569336,365000,82,52.0,,0.52,42.64,0.089996337890625,0.001338235507667207
11,2016-07-15,5,0.015295676429567643,0.10033109260559847,VC,67.75,68.22000122070312,67.33999633789062,67.33999633789062,67.33999633789062,474700,79,52.0,,0.52,41.08,0.8800048828125,0.01306808628852485
12,2016-07-21,2,0.014249651324965133,-0.06838697911917568,VC,68.45999908447266,69.20999908447266,67.66999816894531,67.94999694824219,67.94999694824219,521100,84,52.0,,0.52,43.68,0.9899978637695312,0.014511841777409495
13,2016-07-22,3,0.014598326359832638,0.024469022217872283,VC,67.73999786376953,68.3499984741211,67.45999908447266,67.98999786376953,67.98999786376953,627300,78,52.0,,0.52,40.56,-0.8600006103515625,-0.012425958990432973
14,2016-07-27,4,0.014947001394700139,0.02388458966274931,VC,70.29000091552734,70.75,69.0,69.12000274658203,69.12000274658203,603700,71,52.0,,0.52,36.92,2.4000015258789062,0.03511341008716484
15,2016-08-05,3,0.014598326359832638,-0.02332742371932428,VC,71.0,71.94999694824219,70.79000091552734,70.94999694824219,70.94999694824219,652700,100,47.0,,0.47,47.0,1.1999969482421875,0.01696108760766335
16,2016-08-15,3,0.014598326359832638,0.0,VC,70.66999816894531,71.33000183105469,70.66999816894531,71.0,71.0,212500,91,47.0,,0.47,42.77,-0.6199951171875,-0.008617027706526503
17,2016-08-18,2,0.014249651324965133,-0.023884589662749645,VC,70.69999694824219,70.94000244140625,70.37000274658203,70.47000122070312,70.47000122070312,285700,86,47.0,,0.47,40.42,-0.3899993896484375,-0.0054675365153102895
18,2016-08-25,17,0.019479776847977685,0.36703533326808246,VC,71.1500015258789,71.26000213623047,70.0999984741211,71.12000274658203,71.12000274658203,187000,96,47.0,,0.47,45.12,0.31999969482421875,0.004510849785895221
19,2016-09-09,2,0.014249651324965133,-0.2684900121715472,VC,71.83999633789062,72.25,70.30999755859375,70.41000366210938,70.41000366210938,244000,39,62.0,,0.62,24.18,0.9899978637695312,0.01389275658281508
20,2016-09-21,2,0.014249651324965133,0.0,VC,71.87000274658203,72.52999877929688,71.41999816894531,71.76000213623047,71.76000213623047,293200,57,62.0,,0.62,35.34,0.279998779296875,0.003875415630406609
21,2016-10-21,2,0.014249651324965133,-0.2269804040251192,VC,67.2300033569336,67.94999694824219,66.91000366210938,67.77999877929688,67.77999877929688,255100,90,52.0,,0.52,46.8,-4.5800018310546875,-0.06314631060440623
22,2016-10-26,2,0.014249651324965133,0.0,VC,66.86000061035156,68.13999938964844,66.4000015258789,68.02999877929688,68.02999877929688,548000,79,52.0,,0.52,41.08,0.19000244140625,0.0027962097121354557
23,2016-11-04,2,0.014249651324965133,0.0,VC,68.37000274658203,69.54000091552734,68.02999877929688,68.73999786376953,68.73999786376953,210500,75,50.0,,0.5,37.5,1.4000015258789062,0.020545957417363647
24,2016-11-16,8,0.016341701534170153,0.14681413330723303,VC,76.76000213623047,79.02999877929688,76.5,78.5999984741211,78.5999984741211,791000,83,50.0,,0.5,41.5,9.489997863769531,0.13646818721353426
25,2016-11-17,16,0.01913110181311018,0.17069215669539983,VC,78.75,82.26000213623047,77.81999969482422,80.73999786376953,80.73999786376953,843400,71,50.0,,0.5,35.5,3.2300033569335938,0.04087059859324893
26,2016-12-14,4,0.014947001394700139,0.07524831945419885,VC,83.16000366210938,83.5,82.16999816894531,82.30000305175781,82.30000305175781,304600,70,54.0,,0.54,37.8,1.2399978637695312,0.015074128757205374
27,2017-01-09,6,0.015644351464435147,-0.08185315543914218,VC,83.48999786376953,83.48999786376953,81.45999908447266,81.68000030517578,81.68000030517578,201200,72,55.0,,0.55,39.6,-0.01000213623046875,-0.00011978606264029246
28,2017-01-10,1,0.013900976290097629,-0.11143799589908177,VC,85.0,87.77999877929688,83.77999877929688,86.52999877929688,86.52999877929688,615000,77,55.0,,0.55,42.35,4.290000915527344,0.051383411489928754
29,2017-01-18,5,0.015295676429567643,0.10033109260559847,VC,88.56999969482422,88.56999969482422,87.33000183105469,88.2699966430664,88.2699966430664,267700,69,55.0,,0.55,37.95,0.7900009155273438,0.008999782712615811
30,2017-01-24,27,0.02296652719665272,0.5015045135406218,VC,91.19000244140624,92.4000015258789,91.19000244140624,91.41999816894533,91.41999816894533,382500,73,55.0,,0.55,40.150000000000006,3.8300018310546875,0.043242653768220674
31,2017-01-25,2,0.014249651324965133,-0.3795469727333455,VC,92.47000122070312,93.37000274658205,91.37999725341795,91.9499969482422,91.9499969482422,414900,74,55.0,,0.55,40.7,0.9700012207031392,0.010497848535548693
32,2017-01-26,-9,0.010414225941422595,-0.2691592443965939,VC,91.9499969482422,92.4499969482422,90.47000122070312,90.61000061035156,90.61000061035156,181600,75,55.0,,0.55,41.25,-0.9200057983398438,-0.009853333739711423
33,2017-02-02,2,0.014249651324965133,0.3682871300388375,VC,91.4000015258789,91.62999725341795,90.3000030517578,90.91000366210938,90.91000366210938,206900,79,57.0,,0.57,45.03,-0.8199996948242472,-0.008869656267088022
34,2017-02-03,7,0.01599302649930265,0.12234511108936075,VC,91.6999969482422,91.6999969482422,89.4800033569336,89.69000244140625,89.69000244140625,336000,72,57.0,,0.57,41.04,0.06999969482424717,0.0007639386327891184
35,2017-02-07,1,0.013900976290097629,-0.1308101508677073,VC,89.45999908447266,89.45999908447266,88.29000091552734,89.12000274658203,89.12000274658203,294000,79,57.0,,0.57,45.03,-2.2399978637695455,-0.02442745843311045
